□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 가음동,3*,다가구,25m미만,349.52,244.4,201707,26,"        80,000",2000,가음로
경상남도 창원성산구 가음동,*,단독,12m미만,268.46,271,201806,27,"        72,680",2016,가음정로11번길
경상남도 창원성산구 가음동,*,단독,12m미만,100,274.8,201801,25,"        40,700",2012,가음정로23번길
경상남도 창원성산구 귀곡동,7**,단독,8m미만,98.7,186,201708,28,"        13,000",2004,삼귀로
경상남도 창원성산구 귀곡동,7**,단독,12m미만,195.8,240,201806,8,"        72,649",1994,삼귀로
경상남도 창원성산구 귀산동,6**,단독,8m미만,29.75,99,201709,5,"        13,120",1969,삼귀로486번길
경상남도 창원성산구 귀산동,1**,단독,8m미만,56.65,204,201805,8,"        16,671",2009,
경상남도 창원성산구 귀산동,1**,단독,8m미만,59.36,337,201709,28,"        19,300",2017,귀산로80번길
경상남도 창원성산구 귀산동,4**,단독,8m미만,56.2,380,201709,26,"        32,000",1945,귀산로52번길
경상남도 창원성산구 귀산동,1**,단독,8m미만,64.76,587,201806,15,"        34,600",2004,귀산로86번길
경상남도 창원성산구 남양동,2*,단독,12m미만,309.41,257.5,201803,29,"        56,500",1995,가음로57번길
경상남도 창원성산구 남양동,4*,단독,12m미만,380.44,298.3,201803,22,"        59,500",1995,가음로101번길
경상남도 창원성산구 대방동,3**,단독,12m미만,461.2,641.8,201804,23,"       150,000",2001,대암로145번길
경상남도 창원성산구 반지동,5*,다가구,12m미만,197.1,232.7,201709,16,"        39,000",1990,충혼로179번길
경상남도 창원성산구 반지동,3*,단독,-,85.76,206.1,201707,14,"        36,000",1985,
경상남도 창원성산구 반지동,3*,단독,12m미만,194.81,207.9,201804,9,"        33,000",1984,창원천로234번길
경상남도 창원성산구 반지동,9*,단독,12m미만,162.65,218.8,201707,12,"        39,950",1987,창원천로138번길
경상남도 창원성산구 반지동,1**,단독,-,147.92,224.6,201806,20,"        35,150",1986,
경상남도 창원성산구 반지동,3*,단독,12m미만,214.02,224.8,201802,22,"        53,500",2003,창원천로234번길
경상남도 창원성산구 반지동,1**,단독,12m미만,221.26,227.5,201709,8,"        60,159",2017,창원천로170번길
경상남도 창원성산구 반지동,1**,단독,12m미만,225.15,228.1,201709,5,"        36,000",1986,창원천로174번길
경상남도 창원성산구 반지동,1**,단독,12m미만,225.15,228.1,201802,26,"        36,000",1986,창원천로174번길
경상남도 창원성산구 반지동,8*,단독,12m미만,227.18,228.4,201708,30,"        67,000",2017,창원천로192번길
경상남도 창원성산구 반지동,1**,단독,12m미만,189.27,232.2,201707,15,"        35,300",1985,창원천로174번길
경상남도 창원성산구 반지동,5*,단독,12m미만,234.58,235.7,201806,21,"        63,413",2014,반송로81번길
