□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150101 ~ 20150630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 교방동,3**,다가구,8m미만,110.81,180.9,201506,15,"        16,500",1985,교방서1길
경상남도 창원마산합포구 교방동,2**,다가구,12m미만,314.31,183,201504,23,"        59,500",2015,교방서1길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,15.27,26,201505,22,"         5,400",1955,성호북5길
경상남도 창원마산합포구 교방동,*,단독,8m미만,23.82,26,201506,22,"         4,300",1978,교방동13길
경상남도 창원마산합포구 교방동,6*,단독,8m미만,20.52,36,201502,26,"         6,600",1940,교방동18길
경상남도 창원마산합포구 교방동,2**,단독,8m미만,66.03,46,201505,26,"         8,700",1942,교방천남길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,18.23,63,201503,19,"         5,000",1983,교방동20길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,49.59,69,201502,16,"         8,500",1972,교방동16길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,39.67,76,201504,7,"        10,000",1940,교방동16길
경상남도 창원마산합포구 교방동,*,단독,8m미만,30.21,86,201505,3,"        10,000",1950,교방동10길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,41.32,89,201506,29,"        10,750",1976,교방동17길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,50.57,91,201506,10,"        11,000",1978,교방동19길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,45.58,96,201501,13,"        13,000",1976,천하장사로
경상남도 창원마산합포구 교방동,3**,단독,8m미만,60.43,100.2,201504,4,"        12,400",1982,교방천북길
경상남도 창원마산합포구 교방동,3**,단독,8m미만,84.9,104.2,201501,14,"        16,000",1985,교방동1길
경상남도 창원마산합포구 교방동,2**,단독,8m미만,53.58,106,201504,13,"        10,000",1976,교방서7길
경상남도 창원마산합포구 교방동,3**,단독,8m미만,84.9,106.9,201503,3,"        16,000",1985,교방동5길
경상남도 창원마산합포구 교방동,3**,단독,8m미만,99.16,110.5,201505,9,"        13,000",1985,교방동1길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,58.34,112,201505,23,"        13,800",1971,교방동20길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,61.2,112,201506,2,"        12,400",1984,교방동19길
경상남도 창원마산합포구 교방동,3**,단독,8m미만,120.92,124.2,201506,12,"        16,800",1980,교방서7길
경상남도 창원마산합포구 교방동,1**,단독,8m미만,50.84,126,201505,5,"        13,100",1976,교방동20길
경상남도 창원마산합포구 교방동,2**,단독,8m미만,66.68,126,201504,15,"         8,150",1974,교방천북길
경상남도 창원마산합포구 교방동,5**,단독,12m미만,160.89,138.9,201503,13,"        40,500",1985,교방시장1길
경상남도 창원마산합포구 교방동,3**,단독,12m미만,228.6,144,201505,9,"        30,000",1988,교방동1길
