□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산회원구 구암동,4**,단독,8m미만,107.93,96.3,201707,26,"        13,400",1982,구암북15길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,95.6,97,201802,13,"        10,000",1979,구암동5길
경상남도 창원마산회원구 구암동,4**,단독,8m미만,61.15,98,201801,19,"        12,300",1976,구암북15길
경상남도 창원마산회원구 구암동,4**,단독,8m미만,72.6,98.6,201802,23,"        10,500",1976,구암북15길
경상남도 창원마산회원구 구암동,7*,단독,12m미만,90.16,101.9,201802,8,"        20,000",1983,구암남3길
경상남도 창원마산회원구 구암동,2*,단독,12m미만,107.9,102.9,201804,13,"        15,500",1982,구암남2길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,109.92,103.2,201711,11,"        23,000",1984,구암북5길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,112.33,103.3,201709,25,"        16,900",1991,구암북12길
경상남도 창원마산회원구 구암동,1*,단독,8m미만,68.35,103.5,201710,11,"        14,000",1985,구암서2길
경상남도 창원마산회원구 구암동,8*,단독,12m미만,109.19,104,201802,6,"        19,000",1981,구암남6길
경상남도 창원마산회원구 구암동,9**,단독,8m미만,112.41,106,201806,15,"        11,500",1982,구암동1길
경상남도 창원마산회원구 구암동,2*,단독,25m미만,113.55,109,201709,20,"        34,000",1982,구암서1길
경상남도 창원마산회원구 구암동,2*,단독,12m미만,111.89,111.4,201805,16,"        20,000",1977,구암남5길
경상남도 창원마산회원구 구암동,1*,단독,12m미만,124.89,112,201712,29,"        14,950",1996,구암서8길
경상남도 창원마산회원구 구암동,4**,단독,8m미만,61.15,112.1,201707,20,"        11,000",1976,구암북15길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,119.07,115.6,201712,7,"        25,500",1982,구암북1길
경상남도 창원마산회원구 구암동,8*,단독,12m미만,120.24,118.7,201710,24,"        19,400",1982,구암남6길
경상남도 창원마산회원구 구암동,*,단독,12m미만,120.03,120.1,201709,29,"        24,089",1982,구암서3길
경상남도 창원마산회원구 구암동,1*,단독,12m미만,137.04,120.4,201804,26,"        18,000",1993,구암서3길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,84.26,122.9,201806,27,"        10,300",1987,구암북20길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,47.8,126,201801,15,"         5,000",1976,구암동5길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,122.16,128.7,201711,28,"        12,500",1982,구암북14길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,129.04,128.7,201801,26,"        18,700",1988,구암북12길
경상남도 창원마산회원구 구암동,1*,단독,25m미만,61.62,131.6,201711,8,"        20,000",1977,금강로
