□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20170701 ~ 20180630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원진해구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원진해구 가주동,6**,단독,8m미만,29.75,227,201708,16,"        12,000",1986,가주로
경상남도 창원진해구 가주동,2**,단독,12m미만,84.88,420,201711,2,"        24,700",1995,가주로
경상남도 창원진해구 경화동,1***,다가구,25m미만,156.89,170.7,201710,10,"        27,480",1936,중초로
경상남도 창원진해구 경화동,9**,단독,12m미만,24.79,24,201708,9,"         1,500",1971,충장로363번길
경상남도 창원진해구 경화동,8**,단독,12m미만,56.61,42,201708,9,"         6,800",1982,조천북로146번길
경상남도 창원진해구 경화동,5**,단독,8m미만,31.74,76,201708,16,"         8,000",1938,경화로26번길
경상남도 창원진해구 경화동,8**,단독,8m미만,27.54,86,201803,19,"         4,700",1930,진해대로650번길
경상남도 창원진해구 경화동,9**,단독,8m미만,31.74,90,201802,7,"         8,609",1945,경화시장로
경상남도 창원진해구 경화동,1***,단독,8m미만,59.61,90.1,201712,29,"         9,650",1977,경화로37번길
경상남도 창원진해구 경화동,1***,단독,8m미만,57.52,103,201806,16,"         8,300",1980,
경상남도 창원진해구 경화동,5**,단독,12m미만,56.63,106,201802,27,"        10,000",1969,충장로329번길
경상남도 창원진해구 경화동,1***,단독,12m미만,106.45,107.7,201805,18,"         8,700",1980,경화로37번길
경상남도 창원진해구 경화동,1***,단독,12m미만,65.23,110,201806,16,"         9,000",1977,
경상남도 창원진해구 경화동,1***,단독,8m미만,29.75,112.5,201707,10,"        11,300",1975,충장로273번길
경상남도 창원진해구 경화동,1***,단독,8m미만,63.02,115,201711,7,"        15,000",1984,조천북로
경상남도 창원진해구 경화동,1***,단독,12m미만,97.77,116.5,201711,4,"        10,550",1989,충장로235번길
경상남도 창원진해구 경화동,1***,단독,8m미만,202.96,130.6,201710,19,"        11,000",1994,진해대로
경상남도 창원진해구 경화동,1***,단독,8m미만,99.07,135.2,201801,19,"         9,800",1973,진해대로
경상남도 창원진해구 경화동,1***,단독,8m미만,66.91,141.3,201803,7,"        15,500",1976,경화로37번길
경상남도 창원진해구 경화동,1***,단독,25m이상,79.14,142.5,201708,14,"        12,900",1978,태백로
경상남도 창원진해구 경화동,1***,단독,8m미만,78.32,144.3,201803,27,"        16,700",1979,태백로
경상남도 창원진해구 경화동,1***,단독,8m미만,117.19,146.2,201803,21,"        11,500",1979,태백로
경상남도 창원진해구 경화동,9**,단독,8m미만,119.52,149,201803,29,"        25,500",2012,경화로18번길
경상남도 창원진해구 경화동,1***,단독,8m미만,78.34,150.6,201806,18,"        11,700",1983,중초로15번길
경상남도 창원진해구 경화동,5**,단독,25m미만,50,152,201711,8,"         9,441",1990,경화로
경상남도 창원진해구 경화동,5**,단독,8m미만,28.93,155,201801,11,"        11,200",1964,충장로337번길
