행정동,소계,year,소계_Lag1,소계_YoY_Change
교방동,19137.0,201501,,
교방동,19075.0,201502,19137.0,-62.0
교방동,19037.0,201503,19075.0,-38.0
교방동,18995.0,201504,19037.0,-42.0
교방동,18971.0,201505,18995.0,-24.0
교방동,18942.0,201506,18971.0,-29.0
교방동,18933.0,201507,18942.0,-9.0
교방동,18902.0,201508,18933.0,-31.0
교방동,18893.0,201509,18902.0,-9.0
교방동,18823.0,201510,18893.0,-70.0
교방동,18700.0,201511,18823.0,-123.0
교방동,18504.0,201512,18700.0,-196.0
교방동,18458.0,201601,18504.0,-46.0
교방동,18352.0,201602,18458.0,-106.0
교방동,18297.0,201603,18352.0,-55.0
교방동,18318.0,201604,18297.0,21.0
교방동,18277.0,201605,18318.0,-41.0
교방동,18247.0,201606,18277.0,-30.0
교방동,18255.0,201607,18247.0,8.0
교방동,18216.0,201608,18255.0,-39.0
교방동,18175.0,201609,18216.0,-41.0
교방동,18085.0,201610,18175.0,-90.0
교방동,17888.0,201611,18085.0,-197.0
교방동,17646.0,201612,17888.0,-242.0
교방동,17547.0,201701,17646.0,-99.0
교방동,17514.0,201702,17547.0,-33.0
교방동,17463.0,201703,17514.0,-51.0
교방동,17245.0,201704,17463.0,-218.0
교방동,16952.0,201705,17245.0,-293.0
교방동,16768.0,201706,16952.0,-184.0
교방동,16630.0,201707,16768.0,-138.0
교방동,16563.0,201708,16630.0,-67.0
교방동,16462.0,201709,16563.0,-101.0
교방동,16363.0,201710,16462.0,-99.0
교방동,16329.0,201711,16363.0,-34.0
교방동,16245.0,201712,16329.0,-84.0
교방동,16172.0,201801,16245.0,-73.0
교방동,16101.0,201802,16172.0,-71.0
교방동,16038.0,201803,16101.0,-63.0
교방동,15981.0,201804,16038.0,-57.0
교방동,15944.0,201805,15981.0,-37.0
교방동,15923.0,201806,15944.0,-21.0
교방동,15861.0,201807,15923.0,-62.0
교방동,15805.0,201808,15861.0,-56.0
교방동,15760.0,201809,15805.0,-45.0
교방동,15689.0,201810,15760.0,-71.0
교방동,15675.0,201811,15689.0,-14.0
교방동,15654.0,201812,15675.0,-21.0
교방동,15598.0,201901,15654.0,-56.0
교방동,15516.0,201902,15598.0,-82.0
교방동,15458.0,201903,15516.0,-58.0
교방동,15421.0,201904,15458.0,-37.0
교방동,15402.0,201905,15421.0,-19.0
교방동,15371.0,201906,15402.0,-31.0
교방동,15359.0,201907,15371.0,-12.0
교방동,15226.0,201908,15359.0,-133.0
교방동,15246.0,201909,15226.0,20.0
교방동,15180.0,201910,15246.0,-66.0
교방동,15167.0,201911,15180.0,-13.0
교방동,15092.0,201912,15167.0,-75.0
교방동,14936.0,202001,15092.0,-156.0
교방동,14844.0,202002,14936.0,-92.0
교방동,14801.0,202003,14844.0,-43.0
교방동,14751.0,202004,14801.0,-50.0
교방동,14713.0,202005,14751.0,-38.0
교방동,14660.0,202006,14713.0,-53.0
교방동,14617.0,202007,14660.0,-43.0
교방동,14829.0,202008,14617.0,212.0
교방동,15105.0,202009,14829.0,276.0
교방동,15176.0,202010,15105.0,71.0
교방동,15329.0,202011,15176.0,153.0
교방동,15558.0,202012,15329.0,229.0
교방동,15772.0,202101,15558.0,214.0
교방동,15922.0,202102,15772.0,150.0
교방동,15972.0,202103,15922.0,50.0
교방동,16024.0,202104,15972.0,52.0
교방동,16014.0,202105,16024.0,-10.0
교방동,16065.0,202106,16014.0,51.0
교방동,16046.0,202107,16065.0,-19.0
교방동,16111.0,202108,16046.0,65.0
교방동,16143.0,202109,16111.0,32.0
교방동,16103.0,202110,16143.0,-40.0
교방동,16129.0,202111,16103.0,26.0
교방동,16162.0,202112,16129.0,33.0
교방동,16177.0,202201,16162.0,15.0
교방동,16187.0,202202,16177.0,10.0
교방동,16187.0,202203,16187.0,0.0
교방동,16179.0,202204,16187.0,-8.0
교방동,16215.0,202205,16179.0,36.0
교방동,16222.0,202206,16215.0,7.0
교방동,16203.0,202207,16222.0,-19.0
교방동,16178.0,202208,16203.0,-25.0
교방동,16115.0,202209,16178.0,-63.0
교방동,16086.0,202210,16115.0,-29.0
교방동,16052.0,202211,16086.0,-34.0
교방동,16056.0,202212,16052.0,4.0
교방동,16064.0,202301,16056.0,8.0
교방동,16037.0,202302,16064.0,-27.0
교방동,16032.0,202303,16037.0,-5.0
교방동,16022.0,202304,16032.0,-10.0
교방동,16001.0,202305,16022.0,-21.0
교방동,15978.0,202306,16001.0,-23.0
교방동,15973.0,202307,15978.0,-5.0
교방동,16048.0,202308,15973.0,75.0
교방동,17210.0,202309,16048.0,1162.0
교방동,18309.0,202310,17210.0,1099.0
교방동,18646.0,202311,18309.0,337.0
교방동,18915.0,202312,18646.0,269.0
교방동,19033.0,202401,18915.0,118.0
교방동,19087.0,202402,19033.0,54.0
교방동,19131.0,202403,19087.0,44.0
교방동,19108.0,202404,19131.0,-23.0
교방동,19104.0,202405,19108.0,-4.0
교방동,19098.0,202406,19104.0,-6.0
교방동,19121.0,202407,19098.0,23.0
교방동,19139.0,202408,19121.0,18.0
교방동,19105.0,202409,19139.0,-34.0
교방동,19053.0,202410,19105.0,-52.0
교방동,19030.0,202411,19053.0,-23.0
교방동,19037.0,202412,19030.0,7.0
교방동,19014.0,202501,19037.0,-23.0
교방동,18922.0,202502,19014.0,-92.0
교방동,18924.0,202503,18922.0,2.0
교방동,18896.0,202504,18924.0,-28.0
교방동,18893.0,202505,18896.0,-3.0
교방동,18875.0,202506,18893.0,-18.0
교방동,18894.0,202507,18875.0,19.0
교방동,18827.0,202508,18894.0,-67.0
