행정동,소계,year,소계_Lag1,소계_YoY_Change
가포동,1432.0,201501,,
가포동,1401.0,201502,1432.0,-31.0
가포동,1356.0,201503,1401.0,-45.0
가포동,1340.0,201504,1356.0,-16.0
가포동,1328.0,201505,1340.0,-12.0
가포동,1329.0,201506,1328.0,1.0
가포동,1330.0,201507,1329.0,1.0
가포동,1311.0,201508,1330.0,-19.0
가포동,1304.0,201509,1311.0,-7.0
가포동,1314.0,201510,1304.0,10.0
가포동,1287.0,201511,1314.0,-27.0
가포동,1244.0,201512,1287.0,-43.0
가포동,1208.0,201601,1244.0,-36.0
가포동,1168.0,201602,1208.0,-40.0
가포동,1141.0,201603,1168.0,-27.0
가포동,1123.0,201604,1141.0,-18.0
가포동,1097.0,201605,1123.0,-26.0
가포동,1085.0,201606,1097.0,-12.0
가포동,1074.0,201607,1085.0,-11.0
가포동,1055.0,201608,1074.0,-19.0
가포동,1055.0,201609,1055.0,0.0
가포동,1041.0,201610,1055.0,-14.0
가포동,1037.0,201611,1041.0,-4.0
가포동,1029.0,201612,1037.0,-8.0
가포동,1014.0,201701,1029.0,-15.0
가포동,1014.0,201702,1014.0,0.0
가포동,1015.0,201703,1014.0,1.0
가포동,1009.0,201704,1015.0,-6.0
가포동,1002.0,201705,1009.0,-7.0
가포동,994.0,201706,1002.0,-8.0
가포동,974.0,201707,994.0,-20.0
가포동,965.0,201708,974.0,-9.0
가포동,951.0,201709,965.0,-14.0
가포동,944.0,201710,951.0,-7.0
가포동,935.0,201711,944.0,-9.0
가포동,924.0,201712,935.0,-11.0
가포동,915.0,201801,924.0,-9.0
가포동,913.0,201802,915.0,-2.0
가포동,914.0,201803,913.0,1.0
가포동,899.0,201804,914.0,-15.0
가포동,888.0,201805,899.0,-11.0
가포동,877.0,201806,888.0,-11.0
가포동,865.0,201807,877.0,-12.0
가포동,854.0,201808,865.0,-11.0
가포동,813.0,201809,854.0,-41.0
가포동,774.0,201810,813.0,-39.0
가포동,754.0,201811,774.0,-20.0
가포동,740.0,201812,754.0,-14.0
가포동,738.0,201901,740.0,-2.0
가포동,720.0,201902,738.0,-18.0
가포동,713.0,201903,720.0,-7.0
가포동,713.0,201904,713.0,0.0
가포동,714.0,201905,713.0,1.0
가포동,723.0,201906,714.0,9.0
가포동,725.0,201907,723.0,2.0
가포동,681.0,201908,725.0,-44.0
가포동,723.0,201909,681.0,42.0
가포동,720.0,201910,723.0,-3.0
가포동,716.0,201911,720.0,-4.0
가포동,705.0,201912,716.0,-11.0
가포동,706.0,202001,705.0,1.0
가포동,702.0,202002,706.0,-4.0
가포동,707.0,202003,702.0,5.0
가포동,707.0,202004,707.0,0.0
가포동,693.0,202005,707.0,-14.0
가포동,681.0,202006,693.0,-12.0
가포동,681.0,202007,681.0,0.0
가포동,678.0,202008,681.0,-3.0
가포동,670.0,202009,678.0,-8.0
가포동,668.0,202010,670.0,-2.0
가포동,689.0,202011,668.0,21.0
가포동,974.0,202012,689.0,285.0
가포동,1008.0,202101,974.0,34.0
가포동,1017.0,202102,1008.0,9.0
가포동,1011.0,202103,1017.0,-6.0
가포동,1010.0,202104,1011.0,-1.0
가포동,995.0,202105,1010.0,-15.0
가포동,990.0,202106,995.0,-5.0
가포동,993.0,202107,990.0,3.0
가포동,1047.0,202108,993.0,54.0
가포동,1116.0,202109,1047.0,69.0
가포동,1237.0,202110,1116.0,121.0
가포동,1346.0,202111,1237.0,109.0
가포동,1577.0,202112,1346.0,231.0
가포동,1659.0,202201,1577.0,82.0
가포동,1731.0,202202,1659.0,72.0
가포동,1854.0,202203,1731.0,123.0
가포동,1866.0,202204,1854.0,12.0
가포동,1869.0,202205,1866.0,3.0
가포동,1877.0,202206,1869.0,8.0
가포동,1905.0,202207,1877.0,28.0
가포동,2129.0,202208,1905.0,224.0
가포동,2177.0,202209,2129.0,48.0
가포동,2213.0,202210,2177.0,36.0
가포동,2251.0,202211,2213.0,38.0
가포동,2280.0,202212,2251.0,29.0
가포동,2328.0,202301,2280.0,48.0
