행정동,소계,year,소계_Lag1,소계_MoM_Change,소계_변화율
구암1동,11590.0,201501,,,
구암1동,11568.0,201502,11590.0,-22.0,-0.1898188093183779
구암1동,11544.0,201503,11568.0,-24.0,-0.2074688796680498
구암1동,11551.0,201504,11544.0,7.0,0.060637560637560636
구암1동,11533.0,201505,11551.0,-18.0,-0.15583066401177387
구암1동,11475.0,201506,11533.0,-58.0,-0.5029047082285615
구암1동,11472.0,201507,11475.0,-3.0,-0.026143790849673207
구암1동,11492.0,201508,11472.0,20.0,0.17433751743375175
구암1동,11468.0,201509,11492.0,-24.0,-0.20884093282283328
구암1동,11409.0,201510,11468.0,-59.0,-0.5144750610394141
구암1동,11378.0,201511,11409.0,-31.0,-0.2717153124726093
구암1동,11334.0,201512,11378.0,-44.0,-0.3867111970469327
구암1동,11264.0,201601,11334.0,-70.0,-0.61761072878066
구암1동,11195.0,201602,11264.0,-69.0,-0.6125710227272727
구암1동,11162.0,201603,11195.0,-33.0,-0.2947744528807503
구암1동,11156.0,201604,11162.0,-6.0,-0.05375380756136893
구암1동,11112.0,201605,11156.0,-44.0,-0.39440659734671923
구암1동,11116.0,201606,11112.0,4.0,0.03599712023038157
구암1동,11088.0,201607,11116.0,-28.0,-0.2518891687657431
구암1동,11065.0,201608,11088.0,-23.0,-0.20743145743145744
구암1동,11056.0,201609,11065.0,-9.0,-0.08133755083596927
구암1동,11046.0,201610,11056.0,-10.0,-0.09044862518089725
구암1동,11025.0,201611,11046.0,-21.0,-0.19011406844106463
구암1동,11002.0,201612,11025.0,-23.0,-0.20861678004535145
구암1동,10999.0,201701,11002.0,-3.0,-0.027267769496455194
구암1동,10971.0,201702,10999.0,-28.0,-0.25456859714519503
구암1동,10923.0,201703,10971.0,-48.0,-0.4375170905113481
구암1동,10874.0,201704,10923.0,-49.0,-0.4485947084134395
구암1동,10855.0,201705,10874.0,-19.0,-0.1747287106860401
구암1동,10785.0,201706,10855.0,-70.0,-0.6448641179180101
구암1동,10763.0,201707,10785.0,-22.0,-0.2039870190078813
구암1동,10745.0,201708,10763.0,-18.0,-0.1672396172070984
구암1동,10710.0,201709,10745.0,-35.0,-0.32573289902280134
구암1동,10721.0,201710,10710.0,11.0,0.1027077497665733
구암1동,10709.0,201711,10721.0,-12.0,-0.11192985728943196
구암1동,10647.0,201712,10709.0,-62.0,-0.5789522831263424
구암1동,10642.0,201801,10647.0,-5.0,-0.04696158542312388
구암1동,10648.0,201802,10642.0,6.0,0.05638037962788949
