행정동,소계,year,소계_Lag1,소계_MoM_Change,소계_변화율
대산면,7930.0,201501,,,
대산면,7915.0,201502,7930.0,-15.0,-0.18915510718789408
대산면,7898.0,201503,7915.0,-17.0,-0.21478205938092232
대산면,7885.0,201504,7898.0,-13.0,-0.16459863256520638
대산면,7913.0,201505,7885.0,28.0,0.35510462904248574
대산면,7906.0,201506,7913.0,-7.0,-0.08846202451661822
대산면,7857.0,201507,7906.0,-49.0,-0.6197824437136352
대산면,7850.0,201508,7857.0,-7.0,-0.08909252895507191
대산면,7837.0,201509,7850.0,-13.0,-0.16560509554140126
대산면,7814.0,201510,7837.0,-23.0,-0.29347964782442265
대산면,7797.0,201511,7814.0,-17.0,-0.21755822882006653
대산면,7794.0,201512,7797.0,-3.0,-0.038476337052712584
대산면,7758.0,201601,7794.0,-36.0,-0.4618937644341801
대산면,7758.0,201602,7758.0,0.0,0.0
대산면,7755.0,201603,7758.0,-3.0,-0.038669760247486466
대산면,7731.0,201604,7755.0,-24.0,-0.3094777562862669
대산면,7689.0,201605,7731.0,-42.0,-0.543267365153279
대산면,7714.0,201606,7689.0,25.0,0.3251398101183509
대산면,7699.0,201607,7714.0,-15.0,-0.1944516463572725
대산면,7658.0,201608,7699.0,-41.0,-0.532536693077023
대산면,7624.0,201609,7658.0,-34.0,-0.4439801514755811
대산면,7647.0,201610,7624.0,23.0,0.3016789087093389
대산면,7668.0,201611,7647.0,21.0,0.2746174970576697
대산면,7680.0,201612,7668.0,12.0,0.1564945226917058
대산면,7644.0,201701,7680.0,-36.0,-0.46875
대산면,7592.0,201702,7644.0,-52.0,-0.6802721088435374
대산면,7578.0,201703,7592.0,-14.0,-0.18440463645943098
대산면,7597.0,201704,7578.0,19.0,0.2507257851675904
대산면,7573.0,201705,7597.0,-24.0,-0.3159141766486771
대산면,7551.0,201706,7573.0,-22.0,-0.29050574409084906
대산면,7540.0,201707,7551.0,-11.0,-0.14567606939478214
대산면,7491.0,201708,7540.0,-49.0,-0.649867374005305
대산면,7479.0,201709,7491.0,-12.0,-0.16019223067681218
대산면,7466.0,201710,7479.0,-13.0,-0.1738200294156973
대산면,7467.0,201711,7466.0,1.0,0.013394053040450042
대산면,7439.0,201712,7467.0,-28.0,-0.37498325967590734
대산면,7399.0,201801,7439.0,-40.0,-0.5377066810055114
대산면,7350.0,201802,7399.0,-49.0,-0.6622516556291391
대산면,7295.0,201803,7350.0,-55.0,-0.7482993197278911
대산면,7276.0,201804,7295.0,-19.0,-0.26045236463331045
대산면,7261.0,201805,7276.0,-15.0,-0.2061572292468389
대산면,7243.0,201806,7261.0,-18.0,-0.24789973832805398
대산면,7223.0,201807,7243.0,-20.0,-0.2761286759629988
대산면,7245.0,201808,7223.0,22.0,0.3045825834140939
대산면,7287.0,201809,7245.0,42.0,0.5797101449275363
대산면,7288.0,201810,7287.0,1.0,0.013723068478111704
대산면,7292.0,201811,7288.0,4.0,0.054884742041712405
대산면,7319.0,201812,7292.0,27.0,0.3702687877125617
대산면,7492.0,201901,7319.0,173.0,2.363710889465774
대산면,7709.0,201902,7492.0,217.0,2.8964228510411103
대산면,7812.0,201903,7709.0,103.0,1.3361006615644053
대산면,7858.0,201904,7812.0,46.0,0.5888376856118792
대산면,7840.0,201905,7858.0,-18.0,-0.22906592008144566
대산면,7829.0,201906,7840.0,-11.0,-0.14030612244897958
대산면,7832.0,201907,7829.0,3.0,0.038319070123898326
대산면,7462.0,201908,7832.0,-370.0,-4.724208375893769
대산면,7804.0,201909,7462.0,342.0,4.583221656392388
대산면,7767.0,201910,7804.0,-37.0,-0.47411583803177854
대산면,7766.0,201911,7767.0,-1.0,-0.012874983906270118
대산면,7754.0,201912,7766.0,-12.0,-0.1545197012619109
대산면,7755.0,202001,7754.0,1.0,0.012896569512509674
대산면,7738.0,202002,7755.0,-17.0,-0.2192134107027724
대산면,7716.0,202003,7738.0,-22.0,-0.2843111915223572
대산면,7716.0,202004,7716.0,0.0,0.0
대산면,7673.0,202005,7716.0,-43.0,-0.5572835666148264
대산면,7675.0,202006,7673.0,2.0,0.026065424214779094
대산면,7631.0,202007,7675.0,-44.0,-0.5732899022801303
대산면,7588.0,202008,7631.0,-43.0,-0.5634910234569519
대산면,7547.0,202009,7588.0,-41.0,-0.540326831839747
대산면,7538.0,202010,7547.0,-9.0,-0.11925268318537167
대산면,7534.0,202011,7538.0,-4.0,-0.05306447333510214
대산면,7529.0,202012,7534.0,-5.0,-0.06636580833554552
대산면,7514.0,202101,7529.0,-15.0,-0.19922964537123122
대산면,7505.0,202102,7514.0,-9.0,-0.11977641735427201
대산면,7465.0,202103,7505.0,-40.0,-0.5329780146568954
