행정동,소계,year,소계_Lag1,소계_MoM_Change
경화동,11162.0,201501,,
경화동,11126.0,201502,11162.0,-36.0
경화동,11187.0,201503,11126.0,61.0
경화동,11163.0,201504,11187.0,-24.0
경화동,11163.0,201505,11163.0,0.0
경화동,11121.0,201506,11163.0,-42.0
경화동,11061.0,201507,11121.0,-60.0
경화동,11045.0,201508,11061.0,-16.0
경화동,10972.0,201509,11045.0,-73.0
경화동,10937.0,201510,10972.0,-35.0
경화동,10792.0,201511,10937.0,-145.0
경화동,10780.0,201512,10792.0,-12.0
경화동,10754.0,201601,10780.0,-26.0
경화동,10684.0,201602,10754.0,-70.0
경화동,10661.0,201603,10684.0,-23.0
경화동,10691.0,201604,10661.0,30.0
경화동,10649.0,201605,10691.0,-42.0
경화동,10618.0,201606,10649.0,-31.0
경화동,10599.0,201607,10618.0,-19.0
경화동,10586.0,201608,10599.0,-13.0
경화동,10625.0,201609,10586.0,39.0
경화동,10612.0,201610,10625.0,-13.0
경화동,10643.0,201611,10612.0,31.0
경화동,10622.0,201612,10643.0,-21.0
경화동,10568.0,201701,10622.0,-54.0
경화동,10828.0,201702,10568.0,260.0
경화동,11272.0,201703,10828.0,444.0
경화동,11500.0,201704,11272.0,228.0
경화동,11582.0,201705,11500.0,82.0
경화동,11588.0,201706,11582.0,6.0
경화동,11562.0,201707,11588.0,-26.0
경화동,11611.0,201708,11562.0,49.0
경화동,11591.0,201709,11611.0,-20.0
경화동,11595.0,201710,11591.0,4.0
경화동,11574.0,201711,11595.0,-21.0
경화동,11543.0,201712,11574.0,-31.0
경화동,11509.0,201801,11543.0,-34.0
경화동,11474.0,201802,11509.0,-35.0
경화동,11447.0,201803,11474.0,-27.0
경화동,11417.0,201804,11447.0,-30.0
경화동,11404.0,201805,11417.0,-13.0
경화동,11356.0,201806,11404.0,-48.0
경화동,11301.0,201807,11356.0,-55.0
경화동,11281.0,201808,11301.0,-20.0
경화동,11252.0,201809,11281.0,-29.0
경화동,11228.0,201810,11252.0,-24.0
경화동,11362.0,201811,11228.0,134.0
경화동,11517.0,201812,11362.0,155.0
경화동,11571.0,201901,11517.0,54.0
경화동,11554.0,201902,11571.0,-17.0
경화동,11614.0,201903,11554.0,60.0
경화동,11625.0,201904,11614.0,11.0
경화동,11679.0,201905,11625.0,54.0
경화동,11727.0,201906,11679.0,48.0
경화동,11735.0,201907,11727.0,8.0
경화동,11635.0,201908,11735.0,-100.0
경화동,11683.0,201909,11635.0,48.0
경화동,11689.0,201910,11683.0,6.0
경화동,11712.0,201911,11689.0,23.0
경화동,11697.0,201912,11712.0,-15.0
경화동,11666.0,202001,11697.0,-31.0
경화동,11627.0,202002,11666.0,-39.0
경화동,11605.0,202003,11627.0,-22.0
경화동,11603.0,202004,11605.0,-2.0
경화동,11563.0,202005,11603.0,-40.0
경화동,11537.0,202006,11563.0,-26.0
경화동,11519.0,202007,11537.0,-18.0
경화동,11507.0,202008,11519.0,-12.0
경화동,11539.0,202009,11507.0,32.0
경화동,11501.0,202010,11539.0,-38.0
경화동,11482.0,202011,11501.0,-19.0
경화동,11460.0,202012,11482.0,-22.0
경화동,11418.0,202101,11460.0,-42.0
경화동,11356.0,202102,11418.0,-62.0
경화동,11368.0,202103,11356.0,12.0
경화동,11314.0,202104,11368.0,-54.0
경화동,11295.0,202105,11314.0,-19.0
경화동,11271.0,202106,11295.0,-24.0
경화동,11228.0,202107,11271.0,-43.0
경화동,11190.0,202108,11228.0,-38.0
경화동,11193.0,202109,11190.0,3.0
경화동,11225.0,202110,11193.0,32.0
경화동,11188.0,202111,11225.0,-37.0
경화동,11156.0,202112,11188.0,-32.0
경화동,11132.0,202201,11156.0,-24.0
경화동,11085.0,202202,11132.0,-47.0
경화동,11089.0,202203,11085.0,4.0
경화동,11084.0,202204,11089.0,-5.0
경화동,11056.0,202205,11084.0,-28.0
경화동,11063.0,202206,11056.0,7.0
경화동,11052.0,202207,11063.0,-11.0
경화동,11009.0,202208,11052.0,-43.0
경화동,10997.0,202209,11009.0,-12.0
경화동,10975.0,202210,10997.0,-22.0
경화동,10978.0,202211,10975.0,3.0
경화동,10980.0,202212,10978.0,2.0
경화동,10944.0,202301,10980.0,-36.0
