행정동,소계,year,소계_Lag1,소계_MoM_Change,소계_변화율
충무동,21034.0,201501,,,
충무동,20992.0,201502,21034.0,-42.0,-0.19967671389179423
충무동,21008.0,201503,20992.0,16.0,0.07621951219512195
충무동,21078.0,201504,21008.0,70.0,0.3332063975628332
충무동,21141.0,201505,21078.0,63.0,0.29888983774551664
충무동,21153.0,201506,21141.0,12.0,0.05676174258549738
충무동,21176.0,201507,21153.0,23.0,0.10873162199215242
충무동,21154.0,201508,21176.0,-22.0,-0.1038911975821685
충무동,20855.0,201509,21154.0,-299.0,-1.4134442658598847
충무동,20767.0,201510,20855.0,-88.0,-0.42196116039319104
충무동,20718.0,201511,20767.0,-49.0,-0.23595126883998652
충무동,20616.0,201512,20718.0,-102.0,-0.4923255140457573
충무동,20490.0,201601,20616.0,-126.0,-0.6111757857974389
충무동,20363.0,201602,20490.0,-127.0,-0.6198145436798438
충무동,20369.0,201603,20363.0,6.0,0.0294652065019889
충무동,20317.0,201604,20369.0,-52.0,-0.25528990132063434
충무동,20287.0,201605,20317.0,-30.0,-0.14765959541270857
충무동,20271.0,201606,20287.0,-16.0,-0.07886824074530487
충무동,20179.0,201607,20271.0,-92.0,-0.4538503280548567
충무동,20095.0,201608,20179.0,-84.0,-0.41627434461568963
충무동,20025.0,201609,20095.0,-70.0,-0.34834535954217466
충무동,20056.0,201610,20025.0,31.0,0.15480649188514356
충무동,20048.0,201611,20056.0,-8.0,-0.03988831272437176
충무동,20041.0,201612,20048.0,-7.0,-0.034916201117318434
충무동,20082.0,201701,20041.0,41.0,0.20458060975001247
충무동,19920.0,201702,20082.0,-162.0,-0.806692560501942
충무동,19870.0,201703,19920.0,-50.0,-0.25100401606425704
충무동,19802.0,201704,19870.0,-68.0,-0.34222445898339204
충무동,19756.0,201705,19802.0,-46.0,-0.2322997677002323
충무동,19680.0,201706,19756.0,-76.0,-0.38469325774448265
충무동,19591.0,201707,19680.0,-89.0,-0.45223577235772355
충무동,19517.0,201708,19591.0,-74.0,-0.3777244653157062
충무동,19455.0,201709,19517.0,-62.0,-0.3176717733258185
충무동,19448.0,201710,19455.0,-7.0,-0.0359804677460807
충무동,19361.0,201711,19448.0,-87.0,-0.44734677087618263
충무동,19333.0,201712,19361.0,-28.0,-0.14462062909973658
충무동,19283.0,201801,19333.0,-50.0,-0.2586251487094605
충무동,19149.0,201802,19283.0,-134.0,-0.6949126173313281
충무동,19109.0,201803,19149.0,-40.0,-0.2088881925949136
충무동,19013.0,201804,19109.0,-96.0,-0.5023810769794338
충무동,19005.0,201805,19013.0,-8.0,-0.04207647399147951
충무동,18945.0,201806,19005.0,-60.0,-0.31570639305445936
충무동,18872.0,201807,18945.0,-73.0,-0.38532594352071786
충무동,18777.0,201808,18872.0,-95.0,-0.503391267486223
충무동,18774.0,201809,18777.0,-3.0,-0.015976993129892952
충무동,18796.0,201810,18774.0,22.0,0.11718333865984873
충무동,18759.0,201811,18796.0,-37.0,-0.19685039370078738
충무동,18690.0,201812,18759.0,-69.0,-0.3678234447465217
충무동,18622.0,201901,18690.0,-68.0,-0.36383092562867847
충무동,18412.0,201902,18622.0,-210.0,-1.1276984212222103
