행정동,소계,year,소계_Lag1,소계_MoM_Change,소계_변화율
반월중앙동,18115.0,201501,,,
반월중앙동,18100.0,201502,18115.0,-15.0,-0.08280430582390284
반월중앙동,18059.0,201503,18100.0,-41.0,-0.22651933701657456
반월중앙동,18030.0,201504,18059.0,-29.0,-0.1605847499861565
반월중앙동,18021.0,201505,18030.0,-9.0,-0.04991680532445924
반월중앙동,18000.0,201506,18021.0,-21.0,-0.1165307141668054
반월중앙동,17993.0,201507,18000.0,-7.0,-0.03888888888888889
반월중앙동,17980.0,201508,17993.0,-13.0,-0.07225031956872116
반월중앙동,17991.0,201509,17980.0,11.0,0.06117908787541713
반월중앙동,17958.0,201510,17991.0,-33.0,-0.18342504585626146
반월중앙동,17847.0,201511,17958.0,-111.0,-0.6181089208152355
반월중앙동,17664.0,201512,17847.0,-183.0,-1.025382417212977
반월중앙동,17478.0,201601,17664.0,-186.0,-1.0529891304347827
반월중앙동,17428.0,201602,17478.0,-50.0,-0.28607392150131594
반월중앙동,17406.0,201603,17428.0,-22.0,-0.12623364700481982
반월중앙동,17404.0,201604,17406.0,-2.0,-0.01149029070435482
반월중앙동,17372.0,201605,17404.0,-32.0,-0.18386577798207307
반월중앙동,17394.0,201606,17372.0,22.0,0.12664057103384757
반월중앙동,17388.0,201607,17394.0,-6.0,-0.03449465332873405
반월중앙동,17381.0,201608,17388.0,-7.0,-0.040257648953301126
반월중앙동,17365.0,201609,17381.0,-16.0,-0.09205454231632243
반월중앙동,17380.0,201610,17365.0,15.0,0.08638065073423554
반월중앙동,17360.0,201611,17380.0,-20.0,-0.11507479861910241
반월중앙동,17334.0,201612,17360.0,-26.0,-0.14976958525345624
반월중앙동,17297.0,201701,17334.0,-37.0,-0.21345332871812622
반월중앙동,17272.0,201702,17297.0,-25.0,-0.1445337341735561
반월중앙동,17235.0,201703,17272.0,-37.0,-0.21421954608615099
반월중앙동,17152.0,201704,17235.0,-83.0,-0.4815781839280534
