,,2015년 3월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
 합  계 ,"1,089,889 ","556,840 ","533,049 ","1,073,376 ","545,717 ","527,659 ","413,347 ","16,513 ","11,123 ","5,390 "
의창구," 263,864 "," 135,290 "," 128,574 "," 259,895 "," 132,763 "," 127,132 "," 100,779 "," 3,969 "," 2,527 "," 1,442 "
동읍            ," 23,703 "," 12,056 "," 11,647 "," 23,429 ","11,887 ","11,542 ","8,750 ", 274 , 169 , 105 
북면            ," 27,024 "," 13,769 "," 13,255 "," 26,825 ","13,656 ","13,169 ","9,992 ", 199 , 113 , 86 
대산면          ," 7,898 "," 4,111 "," 3,787 "," 7,545 ","3,807 ","3,738 ","3,369 ", 353 , 304 , 49 
의창동          ," 38,453 "," 19,597 "," 18,856 "," 38,243 ","19,520 ","18,723 ","15,015 ", 210 , 77 , 133 
팔룡동          ," 43,976 "," 23,057 "," 20,919 "," 42,444 ","21,806 ","20,638 ","15,189 "," 1,532 "," 1,251 ", 281 
명곡동          ," 53,592 "," 27,204 "," 26,388 "," 53,015 ","26,956 ","26,059 ","19,682 ", 577 , 248 , 329 
봉림동          ," 37,973 "," 19,681 "," 18,292 "," 37,410 ","19,432 ","17,978 ","16,453 ", 563 , 249 , 314 
용지동          ," 31,245 "," 15,815 "," 15,430 "," 30,984 ","15,699 ","15,285 ","12,329 ", 261 , 116 , 145 
성산구," 241,918 "," 125,098 "," 116,820 "," 237,208 "," 121,555 "," 115,653 "," 83,971 "," 4,710 "," 3,543 "," 1,167 "
반송동          ," 48,465 "," 24,541 "," 23,924 "," 48,209 ","24,416 ","23,793 ","16,038 ", 256 , 125 , 131 
중앙동          ," 25,457 "," 13,554 "," 11,903 "," 24,478 ","12,981 ","11,497 ","11,575 ", 979 , 573 , 406 
상남동          ," 32,442 "," 16,454 "," 15,988 "," 32,228 ","16,365 ","15,863 ","10,619 ", 214 , 89 , 125 
사파동          ," 54,922 "," 27,627 "," 27,295 "," 54,628 ","27,507 ","27,121 ","19,146 ", 294 , 120 , 174 
가음정동        ," 39,076 "," 20,035 "," 19,041 "," 38,720 ","19,815 ","18,905 ","13,282 ", 356 , 220 , 136 
성주동          ," 29,991 "," 15,944 "," 14,047 "," 29,156 ","15,218 ","13,938 ","9,450 ", 835 , 726 , 109 
웅남동          ," 11,565 "," 6,943 "," 4,622 "," 9,789 ","5,253 ","4,536 ","3,861 "," 1,776 "," 1,690 ", 86 
마산합포구," 183,969 "," 92,038 "," 91,931 "," 181,993 "," 90,828 "," 91,165 "," 75,105 "," 1,976 "," 1,210 ", 766 
구산면          ," 5,200 "," 2,738 "," 2,462 "," 4,982 ","2,538 ","2,444 ","2,357 ", 218 , 200 , 18 
진동면          ," 12,732 "," 6,520 "," 6,212 "," 12,561 ","6,424 ","6,137 ","5,002 ", 171 , 96 , 75 
진북면          ," 4,655 "," 2,644 "," 2,011 "," 4,151 ","2,206 ","1,945 ","1,860 ", 504 , 438 , 66 
진전면          ," 4,502 "," 2,266 "," 2,236 "," 4,366 ","2,161 ","2,205 ","2,168 ", 136 , 105 , 31 
현동            ," 3,831 "," 2,027 "," 1,804 "," 3,749 ","1,956 ","1,793 ","1,475 ", 82 , 71 , 11 
가포동          ," 1,356 ", 688 , 668 ," 1,342 ",685 ,657 ,613 , 14 , 3 , 11 
월영동          ," 31,532 "," 15,692 "," 15,840 "," 31,288 ","15,594 ","15,694 ","11,297 ", 244 , 98 , 146 
문화동          ," 13,246 "," 6,554 "," 6,692 "," 13,154 ","6,520 ","6,634 ","5,701 ", 92 , 34 , 58 
반월동          ," 9,108 "," 4,461 "," 4,647 "," 9,068 ","4,450 ","4,618 ","3,465 ", 40 , 11 , 29 
