,,2015년 4월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
 합  계 ,"1,089,631 ","556,683 ","532,948 ","1,073,138 ","545,576 ","527,562 ","413,677 ","16,493 ","11,107 ","5,386 "
의창구," 263,677 "," 135,164 "," 128,513 ","259,721 ","132,644 ","127,077 ","100,815 "," 3,956 "," 2,520 "," 1,436 "
동읍            ," 23,687 "," 12,056 "," 11,631 ","23,413 ","11,888 ","11,525 ","8,761 ", 274 , 168 , 106 
북면            ," 27,778 "," 14,137 "," 13,641 ","27,581 ","14,027 ","13,554 ","10,262 ", 197 , 110 , 87 
대산면          ," 7,885 "," 4,103 "," 3,782 ","7,530 ","3,795 ","3,735 ","3,366 ", 355 , 308 , 47 
의창동          ," 38,515 "," 19,619 "," 18,896 ","38,301 ","19,539 ","18,762 ","15,060 ", 214 , 80 , 134 
팔룡동          ," 42,994 "," 22,547 "," 20,447 ","41,470 ","21,304 ","20,166 ","14,870 "," 1,524 "," 1,243 ", 281 
명곡동          ," 53,579 "," 27,198 "," 26,381 ","52,999 ","26,951 ","26,048 ","19,708 ", 580 , 247 , 333 
봉림동          ," 38,010 "," 19,706 "," 18,304 ","37,447 ","19,455 ","17,992 ","16,479 ", 563 , 251 , 312 
용지동          ," 31,229 "," 15,798 "," 15,431 ","30,980 ","15,685 ","15,295 ","12,309 ", 249 , 113 , 136 
성산구," 242,105 "," 125,194 "," 116,911 ","237,376 ","121,629 ","115,747 ","84,144 "," 4,729 "," 3,565 "," 1,164 "
반송동          ," 48,467 "," 24,533 "," 23,934 ","48,203 ","24,405 ","23,798 ","16,043 ", 264 , 128 , 136 
중앙동          ," 25,646 "," 13,662 "," 11,984 ","24,649 ","13,077 ","11,572 ","11,657 ", 997 , 585 , 412 
상남동          ," 32,429 "," 16,457 "," 15,972 ","32,226 ","16,375 ","15,851 ","10,634 ", 203 , 82 , 121 
사파동          ," 54,939 "," 27,631 "," 27,308 ","54,655 ","27,513 ","27,142 ","19,183 ", 284 , 118 , 166 
가음정동        ," 39,103 "," 20,061 "," 19,042 ","38,704 ","19,803 ","18,901 ","13,298 ", 399 , 258 , 141 
성주동          ," 29,979 "," 15,934 "," 14,045 ","29,148 ","15,211 ","13,937 ","9,467 ", 831 , 723 , 108 
웅남동          ," 11,542 "," 6,916 "," 4,626 ","9,791 ","5,245 ","4,546 ","3,862 "," 1,751 "," 1,671 ", 80 
마산합포구," 183,901 "," 92,010 "," 91,891 ","181,918 ","90,798 ","91,120 ","75,119 "," 1,983 "," 1,212 ", 771 
구산면          ," 5,187 "," 2,733 "," 2,454 ","4,971 ","2,536 ","2,435 ","2,355 ", 216 , 197 , 19 
진동면          ," 12,788 "," 6,552 "," 6,236 ","12,614 ","6,454 ","6,160 ","5,012 ", 174 , 98 , 76 
진북면          ," 4,632 "," 2,632 "," 2,000 ","4,130 ","2,196 ","1,934 ","1,854 ", 502 , 436 , 66 
진전면          ," 4,507 "," 2,265 "," 2,242 ","4,376 ","2,164 ","2,212 ","2,170 ", 131 , 101 , 30 
현동            ," 3,880 "," 2,049 "," 1,831 ","3,800 ","1,980 ","1,820 ","1,491 ", 80 , 69 , 11 
가포동          ," 1,340 ", 678 , 662 ,"1,326 ",675 ,651 ,604 , 14 , 3 , 11 
월영동          ," 31,500 "," 15,675 "," 15,825 ","31,240 ","15,567 ","15,673 ","11,278 ", 260 , 108 , 152 
문화동          ," 13,233 "," 6,561 "," 6,672 ","13,143 ","6,529 ","6,614 ","5,709 ", 90 , 32 , 58 
반월동          ," 9,104 "," 4,455 "," 4,649 ","9,063 ","4,443 ","4,620 ","3,464 ", 41 , 12 , 29 
중앙동          ," 8,926 "," 4,317 "," 4,609 ","8,891 ","4,305 ","4,586 ","3,414 ", 35 , 12 , 23 
