Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,2015년 8월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1089009,556446,532563,1070199,543803,526396,414549,18810,12643,6167
의창구,261724,134094,127630,257750,131557,126193,100587,3974,2537,1437
동읍            ,23377,11910,11467,23114,11745,11369,8740,263,165,98
북면            ,28870,14626,14244,28661,14513,14148,10614,209,113,96
대산면          ,7850,4109,3741,7448,3763,3685,3352,402,346,56
의창동          ,38430,19593,18837,38205,19503,18702,15181,225,90,135
팔룡동          ,40922,21459,19463,39464,20267,19197,14192,1458,1192,266
명곡동          ,53378,27073,26305,52769,26814,25955,19729,609,259,350
봉림동          ,37849,19626,18223,37313,19382,17931,16542,537,244,292
용지동          ,31048,15698,15350,30776,15570,15206,12237,272,128,144
성산구,243286,125947,117339,236601,121176,115425,84318,6685,4771,1914
반송동          ,48393,24462,23931,48128,24333,23795,16058,265,129,136
중앙동          ,25850,13803,12047,24828,13211,11617,11829,1022,592,430
상남동          ,32412,16428,15984,32217,16353,15864,10684,195,75,120
사파동          ,54618,27463,27155,54338,27340,26998,19178,280,123,157
가음정동        ,38908,19975,18933,38493,19698,18795,13290,415,277,138
성주동          ,29612,15714,13898,28842,15044,13798,9375,770,670,100
웅남동          ,11462,6830,4632,9755,5197,4558,3904,1707,1633,74
마산합포구,183647,91846,91801,181616,90574,91042,75342,2031,1272,759
구산면          ,5175,2723,2452,4951,2517,2434,2358,224,206,18
진동면          ,12850,6589,6261,12662,6478,6184,5052,188,111,77
진북면          ,4659,2640,2019,4136,2183,1953,1870,523,457,66
진전면          ,4522,2274,2248,4379,2163,2216,2184,143,111,32
현동            ,3954,2081,1873,3879,2016,1863,1524,75,65,10
가포동          ,1311,671,640,1283,653,630,590,28,18,10
월영동          ,31433,15641,15792,31195,15539,15656,11302,238,102,136
문화동          ,13284,6594,6690,13189,6561,6628,5750,95,33,62
반월동          ,9058,4432,4626,9014,4419,4595,3443,44,13,31
중앙동          ,8922,4326,4596,8888,4313,4575,3441,34,13,21
완월동          ,11374,5582,5792,11337,5569,5768,4429,37,13,24
자산동          ,13417,6603,6814,13382,6596,6786,5219,35,7,28
동서동          ,11646,5698,5948,11548,5658,5890,4989,98,40,58
성호동          ,4498,2222,2276,4475,2220,2255,2116,23,2,21
교방동          ,11252,5581,5671,11225,5576,5649,4387,27,5,22
노산동          ,7650,3818,3832,7614,3808,3806,3329,36,10,26
오동동          ,6653,3378,3275,6621,3368,3253,3350,32,10,22
합포동          ,7646,3861,3785,7609,3847,3762,3616,37,14,23
산호동          ,14343,7132,7211,14229,7090,7139,6393,114,42,72
마산회원구,214044,108547,105497,211590,107108,104482,83159,2454,1439,1015
내서읍          ,72666,36695,35971,72123,36367,35756,24577,543,328,215
회원1동         ,12409,6217,6192,12339,6202,6137,5473,70,15,55
회원2동         ,13749,6852,6897,13711,6844,6867,5850,38,8,30
석전1동         ,7796,3955,3841,7737,3938,3799,3326,59,17,42
석전2동         ,10021,5022,4999,9899,4970,4929,4273,122,52,70
회성동          ,7825,4029,3796,7779,4020,3759,3406,46,9,37
양덕1동         ,13370,6770,6600,13180,6643,6537,5678,190,127,63
양덕2동         ,29287,14827,14460,29021,14647,14374,10368,266,180,86
합성1동         ,8368,4336,4032,8274,4299,3975,3881,94,37,57
합성2동         ,10447,5258,5189,10303,5195,5108,4908,144,63,81
구암1동         ,11492,5811,5681,11402,5785,5617,4765,90,26,64
구암2동         ,11544,5814,5730,11398,5759,5639,4499,146,55,91
봉암동          ,5070,2961,2109,4424,2439,1985,2155,646,522,124
진해구,186308,96012,90296,182642,93388,89254,71143,3666,2624,1042
중앙동          ,9471,4921,4550,9443,4911,4532,3347,28,10,18
태평동          ,7008,3599,3409,6960,3568,3392,2879,48,31,17
충무동          ,4675,2364,2311,4636,2346,2290,2104,39,18,21
여좌동          ,11791,5884,5907,11708,5855,5853,5133,83,29,54
태백동          ,6695,3407,3288,6665,3399,3266,3080,30,8,22
경화동          ,11045,5599,5446,10995,5581,5414,4225,50,18,32
병암동          ,8854,4403,4451,8799,4379,4420,3499,55,24,31
석동            ,19652,9994,9658,19495,9922,9573,6805,157,72,85
이동            ,11198,5816,5382,11065,5762,5303,5012,133,54,79
자은동          ,15254,7691,7563,15176,7665,7511,5548,78,26,52
덕산동          ,12345,6097,6248,12297,6073,6224,4309,48,24,24
풍호동          ,18021,8982,9039,17906,8918,8988,5941,115,64,51
웅천동          ,5062,3033,2029,4238,2233,2005,2042,824,800,24
웅동1동         ,9450,5235,4215,8589,4412,4177,3209,861,823,38
웅동2동         ,35787,18987,16800,34670,18364,16306,14010,1117,623,494
