Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,2016년 3월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1085564,554032,531532,1068861,542890,525971,417315,16703,11142,5561
의창구,258862,132523,126339,254954,130101,124853,100375,3908,2422,1486
동읍            ,23189,11805,11384,22950,11659,11291,8779,239,146,93
북면            ,29217,14810,14407,29004,14696,14308,10698,213,114,99
대산면          ,7755,4061,3694,7366,3724,3642,3380,389,337,52
의창동          ,38296,19503,18793,38064,19417,18647,15294,232,86,146
팔룡동          ,40018,20919,19099,38679,19852,18827,14002,1339,1067,272
명곡동          ,52644,26694,25950,52022,26417,25605,19618,622,277,345
봉림동          ,37342,19369,17973,36758,19107,17651,16497,584,262,322
용지동          ,30401,15362,15039,30111,15229,14882,12107,290,133,157
성산구,237783,122833,114950,233352,119491,113861,83831,4431,3342,1089
반송동          ,47982,24222,23760,47717,24095,23622,15987,265,127,138
중앙동          ,25527,13679,11848,24520,13084,11436,11830,1007,595,412
상남동          ,32048,16272,15776,31815,16141,15674,10650,233,131,102
사파동          ,53900,27115,26785,53628,26998,26630,19152,272,117,155
가음정동        ,38241,19647,18594,37836,19383,18453,13203,405,264,141
성주동          ,28970,15340,13630,28240,14681,13559,9135,730,659,71
웅남동          ,11115,6558,4557,9596,5109,4487,3874,1519,1449,70
마산합포구,184584,92291,92293,182414,90957,91457,76512,2170,1334,836
구산면          ,5049,2665,2384,4823,2456,2367,2337,226,209,17
진동면          ,12961,6642,6319,12740,6510,6230,5120,221,132,89
진북면          ,4511,2569,1942,4030,2144,1886,1849,481,425,56
진전면          ,4507,2262,2245,4357,2150,2207,2187,150,112,38
현동            ,8949,4523,4426,8860,4459,4401,3509,89,64,25
가포동          ,1141,602,539,1093,565,528,523,48,37,11
월영동          ,30657,15222,15435,30365,15092,15273,11108,292,130,162
문화동          ,12796,6343,6453,12660,6287,6373,5605,136,56,80
반월동          ,8832,4339,4493,8789,4327,4462,3407,43,12,31
중앙동          ,8574,4173,4401,8541,4159,4382,3384,33,14,19
완월동          ,11089,5427,5662,11044,5412,5632,4332,45,15,30
자산동          ,13004,6383,6621,12966,6377,6589,5133,38,6,32
동서동          ,11355,5589,5766,11259,5552,5707,4987,96,37,59
성호동          ,4348,2137,2211,4326,2135,2191,2067,22,2,20
교방동          ,10836,5352,5484,10812,5346,5466,4281,24,6,18
노산동          ,7461,3742,3719,7422,3730,3692,3255,39,12,27
오동동          ,6540,3319,3221,6503,3308,3195,3322,37,11,26
합포동          ,8105,4118,3987,8069,4106,3963,3841,36,12,24
산호동          ,13869,6884,6985,13755,6842,6913,6265,114,42,72
마산회원구,214289,108543,105746,211845,107140,104705,83682,2444,1403,1041
내서읍          ,72158,36412,35746,71630,36114,35516,24670,528,298,230
회원1동         ,12192,6114,6078,12119,6099,6020,5453,73,15,58
회원2동         ,13381,6662,6719,13336,6653,6683,5755,45,9,36
석전1동         ,6700,3420,3280,6648,3401,3247,2875,52,19,33
석전2동         ,9943,4971,4972,9822,4921,4901,4280,121,50,71
회성동          ,7673,3960,3713,7625,3951,3674,3408,48,9,39
양덕1동         ,13031,6538,6493,12858,6429,6429,5582,173,109,64
양덕2동         ,33624,17010,16614,33378,16847,16531,11802,246,163,83
합성1동         ,7826,4053,3773,7740,4015,3725,3667,86,38,48
합성2동         ,10258,5141,5117,10081,5058,5023,4883,177,83,94
구암1동         ,11162,5645,5517,11074,5619,5455,4720,88,26,62
구암2동         ,11450,5759,5691,11296,5697,5599,4496,154,62,92
봉암동          ,4891,2858,2033,4238,2336,1902,2091,653,522,131
진해구,190046,97842,92204,186296,95201,91095,72915,3750,2641,1109
중앙동          ,9170,4735,4435,9127,4709,4418,3226,43,26,17
태평동          ,6770,3457,3313,6726,3429,3297,2826,44,28,16
충무동          ,4429,2225,2204,4386,2209,2177,2042,43,16,27
여좌동          ,11024,5472,5552,10946,5445,5501,4871,78,27,51
태백동          ,6486,3296,3190,6458,3289,3169,3012,28,7,21
경화동          ,10661,5410,5251,10612,5391,5221,4125,49,19,30
병암동          ,8636,4268,4368,8574,4245,4329,3457,62,23,39
석동            ,19265,9771,9494,19090,9682,9408,6745,175,89,86
이동            ,10884,5645,5239,10736,5581,5155,4963,148,64,84
자은동          ,15721,7934,7787,15630,7901,7729,5741,91,33,58
덕산동          ,12007,5916,6091,11954,5893,6061,4265,53,23,30
풍호동          ,24914,12499,12415,24818,12458,12360,8246,96,41,55
웅천동          ,4984,2991,1993,4165,2198,1967,2019,819,793,26
웅동1동         ,9250,5115,4135,8407,4311,4096,3144,843,804,39
웅동2동         ,35845,19108,16737,34667,18460,16207,14233,1178,648,530
