Unnamed: 0,Unnamed: 1,2022년 5월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1040355,528064,512291,1027429,520548,506881,455747,12926,7516,5410
의창구,219569,111993,107576,216665,110386,106279,96406,2904,1607,1297
동읍            ,19749,10122,9627,19591,10035,9556,9144,158,87,71
북면            ,43210,21767,21443,43003,21673,21330,16587,207,94,113
대산면          ,7388,3846,3542,7078,3585,3493,3692,310,261,49
의창동          ,50296,25427,24869,50061,25354,24707,21270,235,73,162
팔룡동          ,26539,13723,12816,25817,13180,12637,11143,722,543,179
명곡동          ,41647,21158,20489,41035,20868,20167,18339,612,290,322
봉림동          ,30740,15950,14790,30080,15691,14389,16231,660,259,401
성산구,253466,129706,123760,250147,127618,122529,106275,3319,2088,1231
반송동          ,40705,20464,20241,40478,20360,20118,15476,227,104,123
용지동          ,29080,14584,14496,28809,14468,14341,13214,271,116,155
중앙동          ,35622,19313,16309,34507,18648,15859,18235,1115,665,450
상남동          ,27415,13752,13663,27241,13683,13558,10714,174,69,105
사파동          ,46068,22901,23167,45823,22809,23014,19372,245,92,153
가음정동        ,40049,20294,19755,39771,20143,19628,16044,278,151,127
성주동          ,26188,13731,12457,25854,13468,12386,9731,334,263,71
웅남동          ,8339,4667,3672,7664,4039,3625,3489,675,628,47
마산합포구,182860,91068,91792,180974,89979,90995,84910,1886,1089,797
구산면          ,4360,2336,2024,4174,2162,2012,2339,186,174,12
진동면          ,12208,6263,5945,12031,6181,5850,5541,177,82,95
진북면          ,3654,2075,1579,3347,1799,1548,1764,307,276,31
진전면          ,3905,1939,1966,3824,1881,1943,2188,81,58,23
현동            ,14069,7000,7069,13979,6943,7036,5678,90,57,33
가포동          ,1869,956,913,1834,929,905,1102,35,27,8
월영동          ,42799,21264,21535,42407,21080,21327,17048,392,184,208
문화동          ,11260,5600,5660,11071,5506,5565,5960,189,94,95
반월중앙동      ,14318,6935,7383,14261,6917,7344,6445,57,18,39
완월동          ,9007,4353,4654,8973,4346,4627,4094,34,7,27
자산동          ,10172,4990,5182,10143,4984,5159,4804,29,6,23
교방동          ,16215,8025,8190,16165,8016,8149,7308,50,9,41
오동동          ,19437,9602,9835,19325,9555,9770,10644,112,47,65
합포동          ,7273,3650,3623,7238,3638,3600,3802,35,12,23
산호동          ,12314,6080,6234,12202,6042,6160,6193,112,38,74
마산회원구,187099,93681,93418,185215,92676,92539,82666,1884,1005,879
내서읍          ,63294,31781,31513,62867,31562,31305,25151,427,219,208
회원1동         ,10171,5006,5165,10128,4998,5130,5209,43,8,35
회원2동         ,10085,4970,5115,10044,4961,5083,4608,41,9,32
석전동          ,16763,8331,8432,16674,8297,8377,7867,89,34,55
회성동          ,5959,3013,2946,5930,3008,2922,3083,29,5,24
양덕1동         ,10945,5479,5466,10856,5446,5410,5484,89,33,56
양덕2동         ,30978,15244,15734,30869,15178,15691,11877,109,66,43
합성1동         ,9234,4681,4553,9176,4659,4517,4557,58,22,36
합성2동         ,7724,3853,3871,7455,3730,3725,4209,269,123,146
구암1동         ,8858,4429,4429,8776,4405,4371,4362,82,24,58
구암2동         ,9391,4709,4682,9267,4650,4617,4417,124,59,65
봉암동          ,3697,2185,1512,3173,1782,1391,1842,524,403,121
진해구,197361,101616,95745,194428,99889,94539,85490,2933,1727,1206
충무동          ,16824,8756,8068,16699,8677,8022,7807,125,79,46
여좌동          ,8530,4215,4315,8439,4178,4261,4386,91,37,54
태백동          ,3861,1935,1926,3845,1930,1915,2040,16,5,11
경화동          ,11056,5590,5466,11003,5563,5440,4638,53,27,26
병암동          ,7425,3658,3767,7389,3645,3744,3428,36,13,23
석동            ,17515,9015,8500,17407,8966,8441,7223,108,49,59
이동            ,8637,4578,4059,8557,4546,4011,4758,80,32,48
자은동          ,21130,10510,10620,21026,10487,10539,8834,104,23,81
덕산동          ,10069,4960,5109,10030,4946,5084,4199,39,14,25
풍호동          ,25515,12751,12764,25447,12721,12726,9176,68,30,38
웅천동          ,13213,6766,6447,13004,6599,6405,5415,209,167,42
웅동1동         ,8137,4395,3742,7579,3883,3696,3442,558,512,46
웅동2동         ,45449,24487,20962,44003,23748,20255,20144,1446,739,707
,,,,,,,,,,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),,,,,,,,,,
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,,,,,,,,,,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,,,,,,,,,,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),,,,,,,,,,
