Unnamed: 0,Unnamed: 1,2024년 11월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
【창원시】,,,,,,,,,,,,,,,"                    (단위 : 세대, 명)",
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,외국인 총계,,,"외  국  인
(출입국관리소 등록신고)",,,국내거소신고 외국인국적동포,,
,소계,남,여,소계,남,여,세대수,소계,남,여,소계,남,여,소계,남,여
합  계,1022029,519609,502420,1000693,506420,494273,459479,21336,13189,8147,17892,11381,6511,3444,1808,1636
의창구,213981,109046,104935,209729,106598,103131,96959,4252,2448,1804,3614,2122,1492,638,326,312
동읍            ,18532,9475,9057,18296,9341,8955,8990,236,134,102,218,123,95,18,11,7
북면            ,43242,21662,21580,42958,21529,21429,16858,284,133,151,243,115,128,41,18,23
대산면          ,7155,3787,3368,6659,3374,3285,3660,496,413,83,486,408,78,10,5,5
의창동          ,48928,24579,24349,48584,24435,24149,21192,344,144,200,273,111,162,71,33,38
팔룡동          ,25829,13321,12508,24939,12699,12240,11216,890,622,268,820,596,224,70,26,44
명곡동          ,39991,20227,19764,38927,19671,19256,18138,1064,556,508,806,412,394,258,144,114
봉림동          ,30304,15995,14309,29366,15549,13817,16905,938,446,492,768,357,411,170,89,81
성산구,249920,128160,121760,244657,124781,119876,107418,5263,3379,1884,4353,2889,1464,910,490,420
반송동          ,39331,19798,19533,38964,19606,19358,15501,367,192,175,243,126,117,124,66,58
용지동          ,26709,13443,13266,26275,13226,13049,12206,434,217,217,325,159,166,109,58,51
중앙동,39713,21604,18109,37753,20402,17351,20017,1960,1202,758,1562,977,585,398,225,173
상남동          ,26631,13231,13400,26380,13124,13256,10828,251,107,144,177,68,109,74,39,35
사파동          ,44984,22329,22655,44628,22182,22446,19731,356,147,209,298,123,175,58,24,34
가음정동        ,37926,19155,18771,37491,18900,18591,15580,435,255,180,368,222,146,67,33,34
성주동          ,26675,14034,12641,26111,13596,12515,10220,564,438,126,516,414,102,48,24,24
웅남동          ,7951,4566,3385,7055,3745,3310,3335,896,821,75,864,800,64,32,21,11
마산합포구,181379,90407,90972,178378,88548,89830,86430,3001,1859,1142,2691,1708,983,310,151,159
구산면          ,4127,2215,1912,3923,2027,1896,2297,204,188,16,200,187,13,4,1,3
진동면          ,11857,6089,5768,11568,5910,5658,5486,289,179,110,261,162,99,28,17,11
진북면          ,3585,2087,1498,3110,1660,1450,1816,475,427,48,464,419,45,11,8,3
진전면          ,3802,1948,1854,3631,1817,1814,2158,171,131,40,163,128,35,8,3,5
현동            ,13716,6814,6902,13608,6752,6856,5698,108,62,46,92,55,37,16,7,9
가포동          ,4968,2531,2437,4885,2471,2414,2545,83,60,23,71,56,15,12,4,8
월영동          ,41780,20685,21095,41024,20290,20734,17062,756,395,361,694,371,323,62,24,38
문화동          ,10979,5484,5495,10825,5414,5411,6086,154,70,84,122,52,70,32,18,14
반월중앙동      ,13308,6395,6913,13244,6379,6865,6214,64,16,48,46,9,37,18,7,11
완월동          ,8442,4086,4356,8390,4065,4325,3992,52,21,31,42,13,29,10,8,2
자산동          ,9036,4382,4654,9001,4374,4627,4381,35,8,27,26,5,21,9,3,6
교방동          ,19030,9401,9629,18954,9379,9575,8570,76,22,54,68,19,49,8,3,5
오동동,18430,9153,9277,18196,9023,9173,10439,234,130,104,189,105,84,45,25,20
합포동          ,6669,3348,3321,6585,3300,3285,3578,84,48,36,70,42,28,14,6,8
산호동          ,11650,5789,5861,11434,5687,5747,6108,216,102,114,183,85,98,33,17,16
마산회원구,182140,91043,91097,179026,89245,89781,82870,3114,1798,1316,2631,1537,1094,483,261,222
내서읍          ,60181,30206,29975,59528,29845,29683,25223,653,361,292,576,324,252,77,37,40
회원1동         ,9620,4702,4918,9554,4682,4872,5092,66,20,46,48,12,36,18,8,10
회원2동         ,9584,4693,4891,9531,4675,4856,4482,53,18,35,38,12,26,15,6,9
석전동          ,16017,7898,8119,15859,7827,8032,7724,158,71,87,112,44,68,46,27,19
회성동          ,5259,2657,2602,5202,2630,2572,2809,57,27,30,35,12,23,22,15,7
양덕1동         ,10514,5231,5283,10339,5163,5176,5424,175,68,107,144,54,90,31,14,17
양덕2동         ,32641,16070,16571,32413,15944,16469,12771,228,126,102,164,98,66,64,28,36
합성1동         ,8711,4400,4311,8629,4366,4263,4433,82,34,48,66,27,39,16,7,9
합성2동         ,8603,4283,4320,8230,4099,4131,4587,373,184,189,338,164,174,35,20,15
구암1동         ,8226,4085,4141,8123,4049,4074,4232,103,36,67,82,26,56,21,10,11
구암2동         ,9028,4534,4494,8765,4381,4384,4369,263,153,110,204,118,86,59,35,24
봉암동          ,3756,2284,1472,2853,1584,1269,1724,903,700,203,824,646,178,79,54,25
