Unnamed: 0,Unnamed: 1,2021년 3월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1048231,532300,515931,1034977,524419,510558,445268,13254,7881,5373
의창구,264150,134595,129555,260953,132831,128122,112122,3197,1764,1433
동읍            ,20061,10227,9834,19896,10137,9759,8957,165,90,75
북면            ,43641,22024,21617,43411,21916,21495,16567,230,108,122
대산면          ,7465,3873,3592,7170,3633,3537,3684,295,240,55
의창동          ,50989,25741,25248,50764,25671,25093,20972,225,70,155
팔룡동          ,38591,19994,18597,37691,19339,18352,15146,900,655,245
명곡동          ,42548,21672,20876,41960,21400,20560,18034,588,272,316
봉림동          ,30781,15991,14790,30258,15776,14482,15572,523,215,308
용지동          ,30074,15073,15001,29803,14959,14844,13190,271,114,157
성산구,216038,110872,105166,212926,108787,104139,86386,3112,2085,1027
반송동          ,41737,21038,20699,41519,20936,20583,15382,218,102,116
중앙동          ,23889,13165,10724,22907,12564,10343,13180,982,601,381
상남동          ,28146,14155,13991,27959,14080,13879,10551,187,75,112
사파동          ,45570,22623,22947,45309,22526,22783,18358,261,97,164
가음정동        ,41206,20947,20259,40920,20786,20134,15890,286,161,125
성주동          ,26831,14079,12752,26446,13777,12669,9597,385,302,83
웅남동          ,8659,4865,3794,7866,4118,3748,3428,793,747,46
마산합포구,180820,90149,90671,178773,88979,89794,81969,2047,1170,877
구산면          ,4451,2384,2067,4253,2200,2053,2324,198,184,14
진동면          ,12398,6363,6035,12220,6276,5944,5481,178,87,91
진북면          ,3815,2155,1660,3486,1862,1624,1773,329,293,36
진전면          ,4057,2037,2020,3950,1957,1993,2214,107,80,27
현동            ,14281,7105,7176,14179,7043,7136,5634,102,62,40
가포동          ,1011,540,471,982,517,465,606,29,23,6
월영동          ,39668,19720,19948,39226,19515,19711,15453,442,205,237
문화동          ,11349,5589,5760,11173,5505,5668,5717,176,84,92
반월중앙동      ,14739,7149,7590,14670,7133,7537,6486,69,16,53
완월동          ,9212,4469,4743,9178,4462,4716,4046,34,7,27
자산동          ,10734,5281,5453,10691,5272,5419,4878,43,9,34
교방동          ,15972,7907,8065,15922,7898,8024,7113,50,9,41
오동동          ,19665,9726,9939,19540,9677,9863,10539,125,49,76
합포동          ,6878,3481,3397,6840,3469,3371,3552,38,12,26
산호동          ,12590,6243,6347,12463,6193,6270,6153,127,50,77
마산회원구,191448,96036,95412,189593,95030,94563,82349,1855,1006,849
내서읍          ,64595,32525,32070,64130,32272,31858,24843,465,253,212
회원1동         ,10416,5165,5251,10361,5152,5209,5200,55,13,42
회원2동         ,10148,4989,5159,10116,4984,5132,4587,32,5,27
석전동          ,17156,8577,8579,17054,8540,8514,7930,102,37,65
회성동          ,6252,3149,3103,6220,3145,3075,3117,32,4,28
양덕1동         ,11258,5634,5624,11172,5598,5574,5454,86,36,50
양덕2동         ,31664,15644,16020,31556,15585,15971,11858,108,59,49
합성1동         ,9442,4796,4646,9393,4777,4616,4553,49,19,30
합성2동         ,7849,3927,3922,7671,3841,3830,4200,178,86,92
구암1동         ,9105,4528,4577,9034,4510,4524,4345,71,18,53
구암2동         ,9701,4840,4861,9566,4775,4791,4392,135,65,70
봉암동          ,3862,2262,1600,3320,1851,1469,1870,542,411,131
진해구,195775,100648,95127,192732,98792,93940,82442,3043,1856,1187
충무동          ,17186,8902,8284,17080,8842,8238,7714,106,60,46
여좌동          ,8724,4306,4418,8625,4263,4362,4339,99,43,56
태백동          ,4980,2515,2465,4961,2508,2453,2609,19,7,12
경화동          ,11368,5771,5597,11313,5748,5565,4621,55,23,32
병암동          ,7542,3727,3815,7506,3717,3789,3368,36,10,26
석동            ,17451,8933,8518,17334,8873,8461,6908,117,60,57
이동            ,8673,4579,4094,8586,4545,4041,4605,87,34,53
자은동          ,21539,10736,10803,21439,10711,10728,8782,100,25,75
덕산동          ,10232,5024,5208,10191,5009,5182,4157,41,15,26
풍호동          ,25951,12961,12990,25879,12932,12947,9131,72,29,43
웅천동          ,13053,6701,6352,12824,6510,6314,5323,229,191,38
웅동1동         ,7048,3877,3171,6418,3287,3131,2760,630,590,40
웅동2동         ,42028,22616,19412,40576,21847,18729,18125,1452,769,683
