Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,2017년 8월말 주민등록인구 및 외국인 현황,,,,,,,,
,,,,,,,,,,
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1072603,546421,526182,1056889,536203,520686,418828,15714,10218,5496
의창구,256334,130989,125345,252448,128567,123881,100499,3886,2422,1464
동읍            ,22796,11591,11205,22555,11450,11105,8874,241,141,100
북면            ,34799,17683,17116,34600,17573,17027,12656,199,110,89
대산면          ,7491,3925,3566,7093,3585,3508,3327,398,340,58
의창동          ,37121,18906,18215,36750,18706,18044,15024,371,200,171
팔룡동          ,38322,19978,18344,37065,18986,18079,13579,1257,992,265
명곡동          ,50352,25436,24916,49758,25172,24586,19051,594,264,330
봉림동          ,35333,18332,17001,34784,18084,16700,15888,549,248,301
용지동          ,30120,15138,14982,29843,15011,14832,12100,277,127,150
성산구,232570,119908,112662,228400,116832,111568,83855,4170,3076,1094
반송동          ,46115,23311,22804,45846,23185,22661,15613,269,126,143
중앙동          ,25496,13746,11750,24469,13152,11317,12437,1027,594,433
상남동          ,30933,15727,15206,30601,15502,15099,10434,332,225,107
사파동          ,51583,25871,25712,51312,25759,25553,18684,271,112,159
가음정동        ,40170,20532,19638,39844,20334,19510,14074,326,198,128
성주동          ,27913,14734,13179,27254,14143,13111,8989,659,591,68
웅남동          ,10360,5987,4373,9074,4757,4317,3624,1286,1230,56
마산합포구,183635,91832,91803,181541,90580,90961,77311,2094,1252,842
구산면          ,4967,2660,2307,4727,2438,2289,2329,240,222,18
진동면          ,13445,6903,6542,13235,6783,6452,5456,210,120,90
진북면          ,4380,2471,1909,3913,2071,1842,1816,467,400,67
진전면          ,4401,2203,2198,4282,2118,2164,2204,119,85,34
현동            ,13032,6564,6468,12924,6492,6432,4966,108,72,36
가포동          ,965,510,455,928,481,447,448,37,29,8
월영동          ,30188,14950,15238,29935,14840,15095,11165,253,110,143
문화동          ,12442,6175,6267,12304,6121,6183,5592,138,54,84
반월중앙동      ,17012,8307,8705,16934,8285,8649,6804,78,22,56
완월동          ,10733,5221,5512,10690,5211,5479,4294,43,10,33
자산동          ,12513,6149,6364,12485,6143,6342,5086,28,6,22
교방동          ,9586,4784,4802,9569,4780,4789,3758,17,4,13
노산동          ,6977,3475,3502,6940,3465,3475,3109,37,10,27
오동동          ,21519,10681,10838,21355,10629,10726,10277,164,52,112
합포동          ,8060,4111,3949,8026,4101,3925,3855,34,10,24
산호동          ,13415,6668,6747,13294,6622,6672,6152,121,46,75
마산회원구,208383,105345,103038,206079,104012,102067,82542,2304,1333,971
내서읍          ,70976,35774,35202,70525,35505,35020,24845,451,269,182
회원1동         ,12271,6137,6134,12210,6119,6091,5606,61,18,43
회원2동         ,10692,5378,5314,10658,5367,5291,4635,34,11,23
석전동          ,15257,7656,7601,15125,7612,7513,6589,132,44,88
회성동          ,7522,3863,3659,7471,3850,3621,3385,51,13,38
양덕1동         ,12664,6319,6345,12519,6230,6289,5545,145,89,56
양덕2동         ,35170,17652,17474,34942,17563,17379,12442,228,133,95
합성1동         ,7470,3946,3678,7396,3813,3583,3619,74,29,45
합성2동         ,9881,4850,4917,9693,4821,4872,4783,188,83,105
구암1동         ,10745,5502,5355,10669,5419,5250,4629,76,21,55
구암2동         ,10975,5487,5398,10809,5466,5343,4410,166,73,93
봉암동          ,4760,2320,1908,4062,2247,1815,2054,698,550,148
진해구,191681,98347,93334,188421,96212,92209,74621,3260,2135,1125
중앙동          ,8785,4558,4227,8755,4543,4212,3127,30,15,15
태평동          ,6518,3355,3163,6478,3329,3149,2781,40,26,14
충무동          ,4214,2110,2104,4184,2100,2084,2011,30,10,20
여좌동          ,10446,5196,5250,10367,5167,5200,4735,79,29,50
태백동          ,6168,3111,3057,6144,3105,3039,2919,24,6,18
경화동          ,11611,5865,5746,11558,5848,5710,4508,53,17,36
병암동          ,8376,4157,4219,8341,4149,4192,3435,35,8,27
석동            ,18639,9459,9180,18513,9390,9123,6679,126,69,57
이동            ,10318,5355,4963,10176,5288,4888,4802,142,67,75
자은동          ,17776,8895,8881,17697,8874,8823,6469,79,21,58
덕산동          ,11513,5639,5874,11468,5623,5845,4256,45,16,29
풍호동          ,27061,13591,13470,26980,13560,13420,9024,81,31,50
웅천동          ,5655,3121,2534,5226,2716,2510,2482,429,405,24
웅동1동         ,7941,4368,3573,7185,3654,3531,2723,756,714,42
웅동2동         ,36660,19567,17093,35349,18866,16483,14670,1311,701,610
"   * 마산합포구 오동동 : 오동동+성호동+동서동(통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(통합) 
   * 마산회원구 석전동 : 석전1동+석전2동(통합) ",,,,,,,,,,
