Unnamed: 0,Unnamed: 1,2018년 9월말 주민등록인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1070349,544495,525854,1054800,534680,520120,424677,15549,9815,5734
의창구,257166,131279,125887,253262,128940,124322,102336,3904,2339,1565
동읍            ,22082,11243,10839,21856,11116,10740,8829,226,127,99
북면            ,40620,20607,20013,40397,20495,19902,14854,223,112,111
대산면          ,7287,3819,3468,6900,3479,3421,3314,387,340,47
의창동          ,35637,18082,17555,35351,17960,17391,14785,286,122,164
팔룡동          ,37009,19265,17744,35848,18357,17491,13421,1161,908,253
명곡동          ,48104,24368,23736,47446,24064,23382,18577,658,304,354
봉림동          ,33539,17420,16119,32900,17141,15759,15333,639,279,360
용지동          ,32888,16475,16413,32564,16328,16236,13223,324,147,177
성산구,231734,119335,112399,227703,116412,111291,85539,4031,2923,1108
반송동          ,44967,22697,22270,44697,22580,22117,15472,270,117,153
중앙동          ,25227,13715,11512,24200,13097,11103,12839,1027,618,409
상남동          ,30144,15236,14908,29954,15147,14807,10463,190,89,101
사파동          ,49655,24869,24786,49365,24741,24624,18348,290,128,162
가음정동        ,44078,22478,21600,43595,22160,21435,15639,483,318,165
성주동          ,27819,14693,13126,27186,14129,13057,9233,633,564,69
웅남동          ,9844,5647,4197,8706,4558,4148,3545,1138,1089,49
마산합포구,183383,91537,91846,181110,90217,90893,78204,2273,1320,953
구산면          ,4883,2620,2263,4636,2390,2246,2320,247,230,17
진동면          ,13276,6799,6477,13073,6690,6383,5480,203,109,94
진북면          ,4319,2443,1876,3858,2052,1806,1807,461,391,70
진전면          ,4309,2165,2144,4215,2103,2112,2211,94,62,32
현동            ,13792,6902,6890,13675,6827,6848,5208,117,75,42
가포동          ,813,430,383,778,402,376,381,35,28,7
월영동          ,32451,16102,16349,31977,15896,16081,12008,474,206,268
문화동          ,12360,6116,6244,12245,6058,6187,5686,115,58,57
반월중앙동      ,16397,8005,8392,16317,7981,8336,6748,80,24,56
완월동          ,10306,5028,5278,10265,5018,5247,4195,41,10,31
자산동          ,12055,5907,6148,12024,5902,6122,5038,31,5,26
교방동          ,9097,4502,4595,9077,4498,4579,3614,20,4,16
노산동          ,6663,3293,3370,6625,3285,3340,3018,38,8,30
오동동          ,21091,10461,10630,20944,10408,10536,10314,147,53,94
합포동          ,7734,3930,3804,7693,3917,3776,3783,41,13,28
산호동          ,13837,6834,7003,13708,6790,6918,6393,129,44,85
마산회원구,202125,102000,100125,200014,100772,99242,81186,2111,1228,883
내서읍          ,69768,35167,34601,69357,34922,34435,24925,411,245,166
회원1동         ,11819,5894,5925,11748,5872,5876,5442,71,22,49
회원2동         ,8606,4328,4278,8577,4319,4258,3709,29,9,20
석전동          ,14675,7329,7346,14541,7276,7265,6488,134,53,81
회성동          ,7164,3679,3485,7122,3671,3451,3297,42,8,34
양덕1동         ,12380,6195,6185,12262,6128,6134,5531,118,67,51
양덕2동         ,33997,17032,16965,33831,16925,16906,12073,166,107,59
합성1동         ,9119,4640,4479,9059,4616,4443,4219,60,24,36
합성2동         ,8985,4496,4489,8811,4412,4399,4460,174,84,90
구암1동         ,10307,5151,5156,10229,5128,5101,4524,78,23,55
구암2동         ,10679,5362,5317,10523,5299,5224,4485,156,63,93
봉암동          ,4626,2727,1899,3954,2204,1750,2033,672,523,149
진해구,195941,100344,95597,192711,98339,94372,77412,3230,2005,1225
중앙동          ,8410,4353,4057,8385,4343,4042,3053,25,10,15
태평동          ,6390,3280,3110,6341,3250,3091,2771,49,30,19
충무동          ,3974,2006,1968,3949,1999,1950,1940,25,7,18
여좌동          ,9852,4903,4949,9757,4870,4887,4564,95,33,62
태백동          ,5857,2955,2902,5833,2949,2884,2854,24,6,18
경화동          ,11252,5690,5562,11192,5666,5526,4403,60,24,36
병암동          ,8075,3990,4085,8036,3980,4056,3361,39,10,29
석동            ,18129,9214,8915,17978,9133,8845,6513,151,81,70
이동            ,9616,5020,4596,9493,4972,4521,4634,123,48,75
자은동          ,20296,10073,10223,20212,10055,10157,7690,84,18,66
덕산동          ,10900,5358,5542,10842,5329,5513,4136,58,29,29
풍호동          ,26811,13405,13406,26730,13368,13362,9004,81,37,44
웅천동          ,9976,5223,4753,9647,4931,4716,4085,329,292,37
웅동1동         ,7592,4199,3393,6852,3502,3350,2675,740,697,43
웅동2동         ,38811,20675,18136,37464,19992,17472,15729,1347,683,664
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",,,,,,,,,,
