Unnamed: 0,Unnamed: 1,2019년 10월말 주민등록인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1061413,539456,521957,1046054,529964,516090,430524,15359,9492,5867
의창구,260793,133032,127761,257088,130888,126200,106010,3705,2144,1561
동읍            ,21086,10741,10345,20876,10621,10255,8742,210,120,90
북면            ,42974,21728,21246,42713,21593,21120,15901,261,135,126
대산면          ,7767,4059,3708,7424,3768,3656,3684,343,291,52
의창동          ,40814,20664,20150,40566,20576,19990,16818,248,88,160
팔룡동          ,38819,20140,18679,37768,19340,18428,14562,1051,800,251
명곡동          ,45580,23143,22437,44932,22839,22093,18160,648,304,344
봉림동          ,32053,16646,15407,31425,16364,15061,15089,628,282,346
용지동          ,31700,15911,15789,31384,15787,15597,13054,316,124,192
성산구,225900,116151,109749,222061,113448,108613,85536,3839,2703,1136
반송동          ,43617,22053,21564,43358,21935,21423,15372,259,118,141
중앙동          ,24531,13399,11132,23493,12771,10722,12848,1038,628,410
상남동          ,29417,14825,14592,29194,14730,14464,10451,223,95,128
사파동          ,47940,23880,24060,47623,23740,23883,18227,317,140,177
가음정동        ,43078,21900,21178,42716,21690,21026,15648,362,210,152
성주동          ,27960,14761,13199,27345,14224,13121,9541,615,537,78
웅남동          ,9357,5333,4024,8332,4358,3974,3449,1025,975,50
마산합포구,180992,90256,90736,178641,88885,89756,78744,2351,1371,980
구산면          ,4720,2536,2184,4486,2316,2170,2333,234,220,14
진동면          ,13036,6691,6345,12808,6574,6234,5453,228,117,111
진북면          ,4120,2329,1791,3716,1971,1745,1794,404,358,46
진전면          ,4229,2146,2083,4115,2056,2059,2224,114,90,24
현동            ,14771,7376,7395,14650,7301,7349,5649,121,75,46
가포동          ,720,383,337,680,347,333,353,40,36,4
월영동          ,33136,16408,16728,32600,16173,16427,12501,536,235,301
문화동          ,12014,5942,6072,11885,5880,6005,5677,129,62,67
반월중앙동      ,15870,7723,8147,15796,7703,8093,6646,74,20,54
완월동          ,9803,4786,5017,9764,4778,4986,4109,39,8,31
자산동          ,11651,5713,5938,11604,5702,5902,5001,47,11,36
교방동          ,8748,4327,4421,8721,4320,4401,3534,27,7,20
노산동          ,6432,3178,3254,6400,3172,3228,2952,32,6,26
오동동          ,20876,10318,10558,20733,10258,10475,10524,143,60,83
합포동          ,7344,3727,3617,7295,3710,3585,3652,49,17,32
산호동          ,13522,6673,6849,13388,6624,6764,6342,134,49,85
마산회원구,196623,98946,97677,194557,97793,96764,80635,2066,1153,913
내서읍          ,68146,34304,33842,67687,34049,33638,24912,459,255,204
회원1동         ,11379,5661,5718,11310,5640,5670,5351,69,21,48
회원2동         ,7955,3985,3970,7931,3979,3952,3527,24,6,18
석전동          ,14203,7114,7089,14075,7066,7009,6410,128,48,80
회성동          ,6835,3475,3360,6789,3464,3325,3221,46,11,35
양덕1동         ,12020,6060,5960,11916,6005,5911,5530,104,55,49
양덕2동         ,33275,16568,16707,33149,16493,16656,11923,126,75,51
합성1동         ,9878,5029,4849,9819,5008,4811,4560,59,21,38
합성2동         ,8521,4246,4275,8329,4164,4165,4363,192,82,110
구암1동         ,9839,4897,4942,9762,4875,4887,4443,77,22,55
구암2동         ,10276,5116,5160,10135,5045,5090,4461,141,71,70
봉암동          ,4296,2491,1805,3655,2005,1650,1934,641,486,155
진해구,197105,101071,96034,193707,98950,94757,79599,3398,2121,1277
중앙동          ,8135,4245,3890,8115,4237,3878,3086,20,8,12
태평동          ,6189,3178,3011,6134,3140,2994,2775,55,38,17
충무동          ,3764,1894,1870,3743,1886,1857,1891,21,8,13
여좌동          ,9247,4574,4673,9132,4523,4609,4418,115,51,64
태백동          ,5437,2744,2693,5411,2733,2678,2735,26,11,15
경화동          ,11689,5911,5778,11621,5883,5738,4620,68,28,40
병암동          ,7804,3854,3950,7770,3845,3925,3339,34,9,25
석동            ,17761,9075,8686,17629,9007,8622,6706,132,68,64
이동            ,8859,4634,4225,8746,4588,4158,4425,113,46,67
자은동          ,21824,10868,10956,21718,10841,10877,8504,106,27,79
덕산동          ,10474,5145,5329,10433,5131,5302,4081,41,14,27
풍호동          ,26584,13242,13342,26509,13208,13301,9055,75,34,41
웅천동          ,12518,6472,6046,12234,6224,6010,5051,284,248,36
웅동1동         ,7402,4108,3294,6640,3399,3241,2690,762,709,53
웅동2동         ,39418,21127,18291,37872,20305,17567,16223,1546,822,724
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",,,,,,,,,,
