Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019년 8월 주민등록인구,,,,,,
,,,,,,
【창원시】,,,,," (단위 : 명, 세대)",
"읍 면
동 별","한  국  인
(주민등록인구)",,,,,
,소계,남,여,세대수,"전월대비
인구현황",5월 인구
합  계,1047210,530669,516541,429617,-646,1055919
의창구,256111,130413,125698,105320,764,253887
동읍,20946,10666,10280,8723,-53,22150
북면,42663,21580,21083,15858,66,39215
대산면,7462,3786,3676,3683,-14,6878
의창동,38642,19609,19033,16133,"1,391",35721
팔룡동,37937,19425,18512,14529,-178,36233
명곡동,45379,23060,22319,18233,-275,48138
봉림동,31576,16451,15125,15081,-63,33352
용지동,31506,15836,15670,13080,-110,32200
성산구,222774,113812,108962,85548,-517,228067
반송동,43477,21973,21504,15383,-112,44940
중앙동,23560,12791,10769,12807,-73,24273
상남동,29326,14802,14524,10476,-26,30020
사파동,47826,23887,23939,18232,-184,49808
가음정동,42826,21744,21082,15673,-63,43565
성주동,27400,14246,13154,9527,-2,26660
웅남동,8359,4369,3990,3450,-57,8801
마산합포구,179232,89216,90016,78685,-325,181864
구산면,4492,2321,2171,2329,-11,4664
진동면,12909,6653,6256,5483,-20,13140
진북면,3737,1986,1751,1798,-21,3878
진전면,4128,2062,2066,2223,-26,4244
현동,14649,7300,7349,5637,5,13574
가포동,681,347,334,349,-5,850
월영동,32516,16115,16401,12433,-4,31898
문화동,11980,5918,6062,5670,-24,12209
반월중앙동,15885,7741,8144,6663,-58,16498
완월동,9842,4824,5018,4138,-39,10382
자산동,11724,5773,5951,5020,-49,12105
교방동,8789,4354,4435,3545,-30,9170
노산동,6437,3184,3253,2964,-37,6717
오동동,20654,10235,10419,10386,37,21016
합포동,7354,3749,3605,3675,-25,7809
산호동,13455,6654,6801,6372,-18,13710
마산회원구,195417,98271,97146,80755,-649,200493
내서읍,67943,34183,33760,24928,-199,69749
회원1동,11349,5656,5693,5357,-48,11889
회원2동,7983,4027,3956,3538,-31,8782
석전동,14110,7079,7031,6410,-49,14758
회성동,6837,3499,3338,3233,-10,7210
양덕1동,11973,6020,5953,5540,-39,12330
양덕2동,33246,16538,16708,11922,-98,34396
합성1동,9890,5040,4850,4593,11,7249
합성2동,8388,4188,4200,4371,-66,9049
구암1동,9826,4928,4898,4466,-65,10436
구암2동,10199,5087,5112,4468,-35,10695
봉암동,3673,2026,1647,1929,-20,3950
진해구,193676,98957,94719,79309,81,191608
중앙동,8084,4216,3868,3053,-45,8501
태평동,6154,3147,3007,2780,-46,6416
충무동,3735,1885,1850,1875,-32,3992
여좌동,9221,4586,4635,4443,-39,9943
태백동,5478,2767,2711,2745,-18,5901
경화동,11635,5908,5727,4614,-29,11346
병암동,7831,3872,3959,3356,-37,8111
석동,17617,8999,8618,6647,-80,18146
이동,8841,4648,4193,4468,-95,9615
자은동,21670,10810,10860,8445,-95,20051
덕산동,10454,5138,5316,4077,-73,11007
풍호동,26514,13228,13286,9035,-79,26724
웅천동,11858,6025,5833,4886,864,7604
웅동1동,6705,3432,3273,2701,-68,6955
웅동2동,37879,20296,17583,16184,-47,37296
