Unnamed: 0,Unnamed: 1,2020년 12월말 인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1050207,533356,516851,1036738,525278,511460,442097,13469,8078,5391
의창구,265702,135383,130319,262408,133544,128864,111656,3294,1839,1455
동읍            ,20227,10318,9909,20051,10221,9830,8934,176,97,79
북면            ,43655,22035,21620,43411,21918,21493,16498,244,117,127
대산면          ,7529,3922,3607,7225,3675,3550,3685,304,247,57
의창동          ,51220,25868,25352,50992,25793,25199,20847,228,75,153
팔룡동          ,38895,20167,18728,37958,19479,18479,15126,937,688,249
명곡동          ,42999,21847,21152,42402,21574,20828,18022,597,273,324
봉림동          ,30860,16040,14820,30336,15814,14522,15415,524,226,298
용지동          ,30317,15186,15131,30033,15070,14963,13129,284,116,168
성산구,217739,111781,105958,214570,109642,104928,86158,3169,2139,1030
반송동          ,42161,21266,20895,41935,21161,20774,15436,226,105,121
중앙동          ,23926,13213,10713,22953,12620,10333,13096,973,593,380
상남동          ,28444,14298,14146,28257,14217,14040,10528,187,81,106
사파동          ,45908,22825,23083,45636,22719,22917,18299,272,106,166
가음정동        ,41530,21092,20438,41241,20931,20310,15823,289,161,128
성주동          ,27006,14153,12853,26615,13844,12771,9556,391,309,82
웅남동          ,8764,4934,3830,7933,4150,3783,3420,831,784,47
마산합포구,177758,88602,89156,175716,87418,88298,80142,2042,1184,858
구산면          ,4514,2413,2101,4318,2230,2088,2326,196,183,13
진동면          ,12534,6420,6114,12349,6330,6019,5473,185,90,95
진북면          ,3885,2201,1684,3544,1889,1655,1777,341,312,29
진전면          ,4118,2077,2041,4004,1990,2014,2226,114,87,27
현동            ,14398,7171,7227,14293,7109,7184,5645,105,62,43
가포동          ,974,523,451,941,496,445,566,33,27,6
월영동          ,35587,17632,17955,35173,17438,17735,13845,414,194,220
문화동          ,11439,5655,5784,11277,5577,5700,5662,162,78,84
반월중앙동      ,14951,7260,7691,14882,7246,7636,6513,69,14,55
완월동          ,9309,4530,4779,9274,4522,4752,4042,35,8,27
자산동          ,10917,5370,5547,10874,5361,5513,4903,43,9,34
교방동          ,15558,7696,7862,15508,7686,7822,6871,50,10,40
오동동          ,19819,9807,10012,19688,9754,9934,10532,131,53,78
합포동          ,6957,3513,3444,6921,3502,3419,3560,36,11,25
산호동          ,12798,6334,6464,12670,6288,6382,6201,128,46,82
마산회원구,193130,96939,96191,191289,95938,95351,82303,1841,1001,840
내서읍          ,65286,32883,32403,64835,32638,32197,24814,451,245,206
회원1동         ,10560,5230,5330,10504,5216,5288,5221,56,14,42
회원2동         ,10026,4934,5092,9994,4928,5066,4525,32,6,26
석전동          ,17242,8640,8602,17142,8604,8538,7906,100,36,64
회성동          ,6331,3198,3133,6298,3194,3104,3138,33,4,29
양덕1동         ,11375,5696,5679,11289,5659,5630,5450,86,37,49
양덕2동         ,31963,15808,16155,31851,15746,16105,11867,112,62,50
합성1동         ,9528,4828,4700,9479,4809,4670,4549,49,19,30
합성2동         ,7942,3967,3975,7772,3887,3885,4216,170,80,90
구암1동         ,9154,4554,4600,9082,4537,4545,4332,72,17,55
구암2동         ,9807,4904,4903,9674,4840,4834,4419,133,64,69
봉암동          ,3916,2297,1619,3369,1880,1489,1866,547,417,130
진해구,195878,100651,95227,192755,98736,94019,81838,3123,1915,1208
충무동          ,17457,9047,8410,17355,8989,8366,7753,102,58,44
여좌동          ,8854,4379,4475,8754,4335,4419,4359,100,44,56
태백동          ,5059,2548,2511,5040,2541,2499,2638,19,7,12
경화동          ,11460,5795,5665,11402,5771,5631,4637,58,24,34
병암동          ,7581,3749,3832,7545,3740,3805,3349,36,9,27
석동            ,17587,8992,8595,17463,8930,8533,6910,124,62,62
이동            ,8675,4586,4089,8576,4546,4030,4568,99,40,59
자은동          ,21558,10727,10831,21460,10701,10759,8728,98,26,72
덕산동          ,10265,5032,5233,10224,5018,5206,4139,41,14,27
풍호동          ,26157,13043,13114,26083,13013,13070,9143,74,30,44
웅천동          ,12979,6667,6312,12733,6459,6274,5275,246,208,38
웅동1동         ,7114,3922,3192,6465,3315,3150,2745,649,607,42
웅동2동         ,41132,22164,18968,39655,21378,18277,17594,1477,786,691
"   * 마산합포구 교방동 : 교방동+노산동(2020.1.1.통합) 
   * 진해구 충무동 : 중앙동+태평동+충무동(2020.1.1.통합)",,,,,,,,,,
