행정동,소계
합  계,1071144
의창구,257985
동읍            ,22365
북면            ,39870
대산면          ,7243
의창동          ,35973
팔룡동          ,37310
명곡동          ,48684
봉림동          ,33828
용지동          ,32712
성산구,231810
반송동          ,45183
중앙동          ,25311
상남동          ,30212
사파동          ,49923
가음정동        ,44018
성주동          ,27263
웅남동          ,9900
마산합포구,183847
구산면          ,4863
진동면          ,13323
진북면          ,4342
진전면          ,4344
현동            ,13730
가포동          ,877
월영동          ,32281
문화동          ,12332
반월중앙동      ,16551
완월동          ,10397
자산동          ,12094
교방동          ,9179
노산동          ,6744
오동동          ,21078
합포동          ,7837
산호동          ,13875
마산회원구,202267
내서읍          ,70052
회원1동         ,11959
회원2동         ,8730
석전동          ,14846
회성동          ,7234
양덕1동         ,12470
양덕2동         ,34531
합성1동         ,7278
합성2동         ,9178
구암1동         ,10482
구암2동         ,10861
봉암동          ,4646
진해구,195235
중앙동          ,8481
태평동          ,6463
충무동          ,4001
여좌동          ,9976
태백동          ,5911
경화동          ,11356
병암동          ,8146
석동            ,18246
이동            ,9710
자은동          ,20216
덕산동          ,11033
풍호동          ,26772
웅천동          ,8591
웅동1동         ,7622
웅동2동         ,38711
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
