□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 가음동,4*,다가구,12m미만,228.13,256.2,202004,14,"        42,450",1997,가양로34번길
경상남도 창원성산구 귀곡동,6**,단독,8m미만,280.83,300,201908,11,"       140,000",1998,삼귀로
경상남도 창원성산구 귀산동,6**,단독,8m미만,33.06,348,202001,16,"        40,000",1966,
경상남도 창원성산구 귀산동,5**,단독,8m미만,211.62,800,202004,11,"        62,000",2016,귀산로
경상남도 창원성산구 남양동,3*,다가구,12m미만,415.38,276.6,202003,18,"        89,800",2002,가음로117번길
경상남도 창원성산구 남양동,2*,단독,12m미만,234.92,263.8,202005,14,"        42,500",1996,가음로57번길
경상남도 창원성산구 대방동,3**,단독,25m미만,172.23,373.2,202004,25,"        78,000",1997,대암로77번길
경상남도 창원성산구 대방동,3**,단독,25m미만,329.73,424.2,202004,17,"        92,000",2011,대암로77번길
경상남도 창원성산구 대방동,3**,단독,12m미만,253.54,453.4,202003,31,"        54,500",2003,대암로101번길
경상남도 창원성산구 대방동,3**,단독,25m미만,261.95,481.9,202003,3,"       110,000",2004,대암로115번길
경상남도 창원성산구 대방동,3**,단독,12m미만,282.28,485.8,201912,24,"        99,000",2005,대암로171번길
경상남도 창원성산구 대방동,3**,단독,12m미만,220.28,616.7,201911,13,"       101,500",2004,대암로145번길
경상남도 창원성산구 대방동,3**,단독,12m미만,326.52,617.2,202005,23,"       140,000",2003,대암로145번길
경상남도 창원성산구 반지동,1**,다가구,12m미만,204.99,228.2,201909,1,"        31,500",1993,창원천로178번길
경상남도 창원성산구 반지동,1**,다가구,12m미만,226.1,228.2,202001,21,"        66,000",2016,창원천로178번길
경상남도 창원성산구 반지동,4*,다가구,12m미만,219.8,236.1,201911,15,"        56,200",2010,충혼로201번길
경상남도 창원성산구 반지동,7*,단독,12m미만,161.2,202,202006,12,"        33,000",1987,반지로4번길
경상남도 창원성산구 반지동,3*,단독,12m미만,163.37,205.9,201911,29,"        27,000",1987,창원천로214번길
경상남도 창원성산구 반지동,7*,단독,12m미만,199.6,209.4,202003,5,"        55,500",2014,반지로4번길
경상남도 창원성산구 반지동,1**,단독,12m미만,164.93,213,202005,21,"        26,700",1988,창원천로134번길
경상남도 창원성산구 반지동,8*,단독,12m미만,212.59,220.5,201911,29,"        53,000",1990,창원천로192번길
경상남도 창원성산구 반지동,1**,단독,12m미만,163.8,221.7,202002,10,"        40,500",1988,창원천로144번길
경상남도 창원성산구 반지동,3*,단독,12m미만,236.62,222.8,201911,21,"        40,000",1990,창원천로238번길
경상남도 창원성산구 반지동,6*,단독,12m미만,143.28,225,201909,27,"        30,000",1983,반송로82번길
경상남도 창원성산구 반지동,3*,단독,12m미만,182.61,225,201909,26,"        26,250",1986,창원천로238번길
