□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산회원구 구암동,2*,다가구,12m미만,139.47,116.3,202003,11,"        23,500",1979,구암남6길
경상남도 창원마산회원구 구암동,2*,다가구,25m미만,164.96,154.4,202003,17,"        24,500",1988,구암남1길
경상남도 창원마산회원구 구암동,9*,다가구,12m미만,542.43,280.3,202005,11,"       112,178",2020,구암남12길
경상남도 창원마산회원구 구암동,9*,단독,25m이상,160.19,36.1,202006,12,"        17,000",2005,3·15대로
경상남도 창원마산회원구 구암동,1***,단독,12m미만,55.49,92.6,201912,2,"        10,000",1983,구암북19길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,53.94,94.7,202006,5,"        16,700",1983,구암북1길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,48.76,102,202005,18,"         5,000",1977,구암동5길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,113.42,102.1,202003,9,"        10,500",1983,구암동4길
경상남도 창원마산회원구 구암동,1*,단독,8m미만,115.27,104.3,202004,28,"         6,750",1980,구암서2길
경상남도 창원마산회원구 구암동,1*,단독,25m미만,59.44,107.3,202001,11,"        19,000",1978,구암서1길
경상남도 창원마산회원구 구암동,7*,단독,8m미만,83.59,108.1,201912,26,"        16,000",1983,구암남3길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,118.3,108.3,202002,21,"        11,000",1989,구암북20길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,64.1,110.3,202004,10,"        11,200",1982,3·15성역로
경상남도 창원마산회원구 구암동,2**,단독,25m미만,114.74,113.8,202003,12,"        12,700",1984,금강로
경상남도 창원마산회원구 구암동,1***,단독,8m미만,84.96,114.2,201911,12,"        15,000",1983,구암북18길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,107.37,119.7,201909,19,"        10,500",1982,구암북1길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,134.89,119.7,201912,2,"        10,000",1985,구암북13길
경상남도 창원마산회원구 구암동,1***,단독,25m미만,149.42,121.6,202006,19,"        37,000",2016,금강로
경상남도 창원마산회원구 구암동,4**,단독,8m미만,55.97,122.6,202003,9,"        13,500",1976,구암북15길
경상남도 창원마산회원구 구암동,1*,단독,12m미만,127.46,123.2,202004,13,"         9,700",1982,구암서3길
경상남도 창원마산회원구 구암동,2*,단독,12m미만,72.36,124.5,201911,21,"        15,100",1985,구암남2길
경상남도 창원마산회원구 구암동,1*,단독,8m미만,129.88,126.8,202006,15,"        24,000",1979,구암서3길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,51.07,129,201909,20,"         6,500",1976,구암동5길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,145.41,129.8,201912,20,"        23,300",1996,구암북14길
