□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150101 ~ 20150630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원진해구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원진해구 가주동,4**,단독,8m미만,52,274,201504,5,"        18,000",1995,가주로
경상남도 창원진해구 가주동,3**,단독,8m미만,24,465,201504,29,"        18,500",2002,
경상남도 창원진해구 가주동,5**,단독,8m미만,98.97,633,201505,9,"        17,332",2004,가주로
경상남도 창원진해구 가주동,6**,단독,12m미만,158.25,835,201505,23,"        61,640",1992,가주로
경상남도 창원진해구 가주동,5*,단독,12m미만,161.21,960,201503,23,"        60,000",1996,가주로
경상남도 창원진해구 경화동,6**,다가구,8m미만,163.69,152,201504,12,"        27,100",1989,충장로305번길
경상남도 창원진해구 경화동,1***,다가구,12m미만,421.67,219.7,201502,5,"        71,000",2014,경화로45번길
경상남도 창원진해구 경화동,1***,다가구,8m미만,494.01,223.7,201504,22,"        81,000",2013,경화로15번길
경상남도 창원진해구 경화동,1***,다가구,12m미만,482.94,283,201502,3,"        75,000",2014,경화로45번길
경상남도 창원진해구 경화동,1***,다가구,12m미만,482.94,283,201503,21,"        79,000",2014,경화로45번길
경상남도 창원진해구 경화동,1***,단독,8m미만,43.4,44,201501,22,"        13,500",1969,
경상남도 창원진해구 경화동,9**,단독,8m미만,20.3,59,201502,11,"         3,815",1950,충장로329번길
경상남도 창원진해구 경화동,1***,단독,12m미만,96.8,62,201501,19,"         7,900",2002,조천북로98번길
경상남도 창원진해구 경화동,5**,단독,8m미만,44.53,76,201501,14,"         8,900",1997,경화로25번길
경상남도 창원진해구 경화동,1***,단독,8m미만,62.35,76.9,201505,27,"         5,000",1977,태백로11번길
경상남도 창원진해구 경화동,9**,단독,12m미만,49.59,89,201502,4,"        10,800",1945,충장로329번길
경상남도 창원진해구 경화동,6*,단독,12m미만,72.23,89,201505,1,"        10,900",1938,경화로8번길
경상남도 창원진해구 경화동,1***,단독,8m미만,59.61,90.1,201502,5,"         5,000",1977,경화로37번길
경상남도 창원진해구 경화동,1***,단독,8m미만,59.61,90.1,201504,13,"         6,500",1977,경화로37번길
경상남도 창원진해구 경화동,9**,단독,8m미만,34.91,93,201504,13,"         7,300",1945,경화로26번길
경상남도 창원진해구 경화동,8**,단독,8m미만,51.12,101,201501,3,"        12,000",1973,병암로37번길
경상남도 창원진해구 경화동,1***,단독,8m미만,59.37,107.3,201501,19,"         8,000",1975,충장로285번길
경상남도 창원진해구 경화동,1***,단독,12m미만,94.68,111.6,201503,17,"        17,500",1979,충장로245번길
경상남도 창원진해구 경화동,1***,단독,8m미만,64.15,115.7,201501,29,"        12,500",1979,경화로21번길
경상남도 창원진해구 경화동,1***,단독,8m미만,61.51,121.3,201505,16,"        11,500",1984,진해대로597번길
경상남도 창원진해구 경화동,1***,단독,8m미만,68.76,126.4,201501,14,"         8,400",1993,진해대로
