NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
,경상남도 창원마산합포구 교방동,359-5,359,5,대광,44.83,40.25,201501,29,"         9,200",3,,,1981,회원남25길 23,,,,,
,경상남도 창원마산합포구 교방동,289-16,289,16,다보트윈빌102동,45.19,30.43,201501,30,"         8,900",5,,,2002,교방서2길 78,,,,,
,경상남도 창원마산합포구 교방동,381-3,381,3,해동빌라,91.87,40.81,201501,12,"        20,000",3,,,1997,교방서5길 30,,,,,
,경상남도 창원마산합포구 교방동,359-4,359,4,동아,46.78,32.9,201501,13,"         8,350",3,,,1982,교방북2길 28,,,,,
,경상남도 창원마산합포구 월남동1가,32-1,32,1,문화동 배성빌라,63.39,37.4,201501,19,"         9,500",3,,,1997,문화동로 6-19,,,,,
,경상남도 창원마산합포구 교방동,373-4,373,4,화랑주택(국민),47.115,40.49,201501,6,"         8,600",1,,,1986,교방서2길 55,,,,,
,경상남도 창원마산합포구 월영동,534-1,534,1,성진주택,65.79,61.33,201501,10,"        12,700",1,,,1985,월영남1길 23,,,,,
,경상남도 창원마산합포구 대성동1가,7-1,7,1,성지빌라,72.4,37.63,201501,31,"        12,900",3,,,2005,중앙남11길 55,,,,,
,경상남도 창원마산합포구 월영동,258,258,0,더힐스,82.9488,62.44,201501,6,"        25,500",4,,,2014,만날고개1길 15,,,,,
,경상남도 창원마산합포구 교방동,373-4,373,4,화랑주택(국민),43.38,37.29,201501,8,"         8,400",2,,,1986,교방서2길 55,,,,,
,경상남도 창원마산합포구 자산동,11-11,11,11,태평양빌라,58.08,30.41,201501,30,"         8,350",3,,,1991,문신길 12,,,,,
,경상남도 창원마산합포구 산호동,46-2,46,2,행운빌B동,83.66,67.41,201502,2,"        19,350",2,,,2011,산호남6길 26,,,,,
,경상남도 창원마산합포구 월영동,398-10,398,10,(398-10),88.62,64.33,201502,4,"        10,000",1,,,1989,월영북9길 43,,,,,
,경상남도 창원마산합포구 월영동,257-2,257,2,만날재힐,59.9421,57.58,201502,12,"        16,950",3,,,2011,만날고개1길 25,,,,,
,경상남도 창원마산합포구 산호동,31-11,31,11,플러스빌,72.15,55.03,201502,5,"        17,100",2,,,2002,산호북14길 11,,,,,
,경상남도 창원마산합포구 완월동,180-2,180,2,성지2차빌라,39.38,23.24,201502,10,"         5,000",1,,,2002,완월북10길 14,,,,,
,경상남도 창원마산합포구 월남동4가,9-1,9,1,현대상가APT,62.1,12.89,201502,11,"         9,000",3,,,1984,3·15대로 23,,,,,
,경상남도 창원마산합포구 월영동,258,258,0,더힐스,84.5204,63.62,201503,20,"        25,000",2,,,2014,만날고개1길 15,,,,,
,경상남도 창원마산합포구 월영동,398-10,398,10,(398-10),88.62,64.33,201503,2,"        12,500",2,,,1989,월영북9길 43,,,,,
,경상남도 창원마산합포구 완월동,353-1,353,1,완월드림빌라,77.216,46.72,201503,6,"        15,500",2,,,2002,완월남3길 28,,,,,
,경상남도 창원마산합포구 교방동,382-29,382,29,대남그린빌A동,65.57,44.18,201503,25,"        13,550",2,,,2003,교방동2길 7,,,,,
,경상남도 창원마산합포구 진동면 진동리,128-2,128,2,선우하이츠,74.25,52.66,201503,2,"        13,400",4,,,2011,신성산1길 12-5,,,,,
,경상남도 창원마산합포구 월영동,234-4,234,4,골든스위트(234-4),70.57,67.19,201503,20,"        18,200",1,,,2014,문화서20길 25-2,,,,,
,경상남도 창원마산합포구 자산동,203-34,203,34,무학,46.78,41.27,201503,15,"         7,000",2,,,1987,자산서3길 2-3,,,,,
,경상남도 창원마산합포구 진동면 진동리,883-6,883,6,장미국민주택,59.31,64.2,201503,18,"         5,600",3,,,1985,서촌바다길 29,,,,,
,경상남도 창원마산합포구 진동면 진동리,883-6,883,6,장미국민주택,59.31,64.2,201503,29,"         5,700",1,,,1985,서촌바다길 29,,,,,
,경상남도 창원마산합포구 진동면 고현리,127-2,127,2,고현빌라(가동),75.98,58.63,201503,7,"         6,700",1,,,1997,고현새동네길 9,,,,,
,경상남도 창원마산합포구 진동면 진동리,127-6,127,6,모던빌리지,62.99,64.96,201503,26,"        13,100",5,,,2011,신성산1길 12-12,,,,,
,경상남도 창원마산합포구 중성동,16-8,16,8,중석뉴타운,78.42,40.51,201503,24,"        19,500",3,,,2014,오동서16길 23,,,,,
,경상남도 창원마산합포구 자산동,15-8,15,8,자산한백빌라트,84.59,46.44,201503,1,"        13,500",3,,,1996,자산북4길 28,,,,,
,경상남도 창원마산합포구 진동면 진동리,127-8,127,8,모던빌리지2차,71.62,57.21,201503,17,"        14,400",5,,,2012,신성산1길 12-10,,,,,
,경상남도 창원마산합포구 교방동,359-5,359,5,대광,44.63,40.09,201503,24,"         8,200",2,,,1981,회원남25길 23,,,,,
,경상남도 창원마산합포구 월영동,534-1,534,1,성진주택,59.4,55.92,201503,2,"        11,800",2,,,1985,월영남1길 23,,,,,
,경상남도 창원마산합포구 해운동,64-1,64,1,동방그랜드타운,18.36,5.18,201503,26,"         4,000",5,,,1998,해안대로 25,,,,,
,경상남도 창원마산합포구 진동면 진동리,883-6,883,6,장미국민주택,59.31,64.2,201503,13,"         6,000",3,,,1985,서촌바다길 29,,,,,
,경상남도 창원마산합포구 중성동,16-8,16,8,중석뉴타운,78.42,40.51,201504,10,"        20,000",5,,,2014,오동서16길 23,,,,,
,경상남도 창원마산합포구 교원동,3-5,3,5,무학상가아파트,58.76,7.4,201504,27,"         7,900",2,,,1979,회원천남길 128,,,,,
,경상남도 창원마산합포구 교방동,359-4,359,4,동아,46.78,32.9,201504,3,"         9,200",4,,,1982,교방북2길 28,,,,,
