시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원마산합포구 산호동,14-5,14,5,	(14-5)	,33.46,201501,12,"         4,400",5,2002.0,산호북4길 11,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,29.04,201501,7,"         4,300",7,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.62,201501,16,"         5,000",6,2003.0,중앙북7길 7,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.45,201501,31,"         3,700",15,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,42.83,201501,24,"         5,750",7,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 중앙동3가,4-192,4,192,리베로오피스텔,22.71,201501,6,"         5,000",4,2003.0,중앙북7길 7,,,,,,
경상남도 창원마산합포구 대창동,67,67,0,성우유니빌,43.56,201501,23,"         8,500",3,2003.0,월영북로 61,,,,,,
경상남도 창원마산합포구 자산동,302-38,302,38,형제샘터마을,29.82,201501,19,"         5,300",8,2003.0,자산삼거리로 2-1,,,,,,
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,32.25,201501,8,"         6,600",10,2004.0,3·15대로 34,,,,,,
경상남도 창원마산합포구 동성동,315,315,0,호텔엠에스,24.5,201501,17,"         3,900",5,2006.0,해안대로 367,,,,,,
경상남도 창원마산합포구 홍문동,12-1,12,1,	(주)상신기업	,51.0,201501,5,"        17,471",5,2012.0,문화남11길 7,,,,,,
경상남도 창원마산합포구 월남동4가,3-2,3,2,장원빌딩,30.0,201501,20,"         6,200",6,2004.0,3·15대로 34,,,,,,
경상남도 창원마산합포구 월영동,598-5,598,5,월영동 에드텔,31.5,201501,15,"         3,570",10,2000.0,밤밭고개로 395,,,,,,
경상남도 창원마산합포구 해운동,42-5,42,5,킴즈타운,22.6,201501,23,"         4,700",5,2003.0,월영동로 7,,,,,,
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201501,13,"         2,850",1,2002.0,문화남11길 144,,,,,,
경상남도 창원마산합포구 신포동2가,85-6,85,6,기전씨티텔,29.37,201501,9,"         4,250",9,1998.0,동서동2길 41,,,,,,
경상남도 창원마산합포구 오동동,316-1,316,1,상지솔리움,22.27,201501,19,"         4,000",8,2003.0,해안대로 389,,,,,,
경상남도 창원마산합포구 동성동,315-1,315,1,삼오빌딩,24.3,201502,26,"         3,300",8,2003.0,해안대로 359,,,,,,
경상남도 창원마산합포구 자산동,302-38,302,38,형제샘터마을,29.88,201502,3,"         4,400",4,2003.0,자산삼거리로 2-1,,,,,,
경상남도 창원마산합포구 중앙동2가,5-99,5,99,대은시티빌,48.92,201502,24,"        14,500",3,2013.0,중앙남9길 5,,,,,,
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201502,2,"         2,700",5,2002.0,문화남11길 144,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,25.2,201502,8,"         4,300",9,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 중앙동2가,5-99,5,99,대은시티빌,45.43,201502,24,"        13,500",3,2013.0,중앙남9길 5,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201502,7,"         3,300",15,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 오동동,322,322,0,중앙마린파이브,34.52,201502,25,"         7,315",2,2014.0,오동동14길 67,,,,,,
경상남도 창원마산합포구 오동동,322,322,0,중앙마린파이브,31.95,201502,24,"         9,000",3,2014.0,오동동14길 67,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,23.36,201502,3,"         4,150",12,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 해운동,63-1,63,1,경민파라다이스201,21.44,201502,25,"         3,400",10,1999.0,해안대로 15,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201503,30,"         3,420",4,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201503,30,"         3,420",4,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 산호동,14-5,14,5,	(14-5)	,25.08,201503,7,"         3,600",2,2002.0,산호북4길 11,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201503,30,"         3,420",4,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,22.6,201503,30,"         3,420",4,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,28.27,201503,30,"         4,000",4,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,44.99,201503,30,"         6,300",4,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201503,30,"         3,500",5,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201503,30,"         3,500",5,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,23.69,201503,30,"         3,500",5,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 자산동,46-32,46,32,블루캐슬,101.72,201503,30,"        15,000",5,2003.0,문신길 78,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201503,16,"         6,350",4,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201503,15,"         3,000",3,2002.0,문화남11길 144,,,,,,
경상남도 창원마산합포구 월남동3가,13,13,0,씨티빌-Ⅱ오피스텔,25.18,201503,16,"         6,350",4,2003.0,3·15대로 47,,,,,,
경상남도 창원마산합포구 월영동,275-4,275,4,동방하이얏트오피스텔,21.6,201503,2,"         2,850",6,2002.0,문화남11길 144,,,,,,
