NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
,경상남도 창원마산회원구 봉암동,194,194,0,82주택,59.31,68.23,201501,6,"         5,800",1,,,1982,무역로 271,,,,,
,경상남도 창원마산회원구 석전동,160-248,160,248,(160-248),41.98,42.01,201501,25,"        11,000",1,,,1981,석전남2길 9,,,,,
,경상남도 창원마산회원구 석전동,239-19,239,19,금강하이츠빌라,95.85,29.1,201501,29,"        17,500",6,,,1997,석전동9길 31,,,,,
,경상남도 창원마산회원구 회원동,668-8,668,8,삼성,49.45,41.09,201501,24,"         8,700",1,,,1982,회원북24길 42,,,,,
,경상남도 창원마산회원구 내서읍 삼계리,740-2,740,2,너울림빌라1차,80.605,101.12,201501,27,"        33,000",4,,,2014,삼계로 154,,,,,
,경상남도 창원마산회원구 내서읍 삼계리,740-2,740,2,너울림빌라1차,80.605,101.12,201501,15,"        22,500",2,,,2014,삼계로 154,,,,,
,경상남도 창원마산회원구 석전동,287-3,287,3,청산,49.5,56.27,201501,9,"         6,000",3,,,1982,석전서6길 27,,,,,
,경상남도 창원마산회원구 구암동,12-5,12,5,세화,41.98,27.74,201501,20,"         8,250",2,,,1981,구암서3길 76,,,,,
,경상남도 창원마산회원구 내서읍 삼계리,740-2,740,2,너울림빌라1차,80.605,101.12,201501,15,"        22,968",3,,,2014,삼계로 154,,,,,
,경상남도 창원마산회원구 구암동,19-4,19,4,현대,56.45,58.64,201501,20,"        11,000",2,,,1983,구암서1길 45-1,,,,,
,경상남도 창원마산회원구 양덕동,12-55,12,55,팔용,73.22,41.3,201501,19,"        11,900",3,,,1978,양덕북20길 5,,,,,
,경상남도 창원마산회원구 합성동,602-6,602,6,웰 하우스,36.7699,40.63,201501,14,"         9,000",4,,,2013,금강로 90,,,,,
,경상남도 창원마산회원구 회성동,527,527,0,파크캐슬,55.4528,63.13,201501,11,"        19,200",2,,,2014,회성남20길 40,,,,,
,경상남도 창원마산회원구 양덕동,169-26,169,26,팔용아트빌2차,55.88,27.06,201501,26,"        17,520",2,,,2004,양덕동5길 18,,,,,
,경상남도 창원마산회원구 양덕동,90-18,90,18,(90-18),57.98,38.8,201501,21,"        10,600",1,,,1981,양덕북16길 18,,,,,
,경상남도 창원마산회원구 석전동,282-5,282,5,황강주택,55.5458,41.19,201501,24,"        11,000",2,,,2004,석전서8길 45,,,,,
,경상남도 창원마산회원구 양덕동,169-2,169,2,팔용아트빌가동,42.2356,21.59,201501,27,"         9,500",3,,,2003,양덕동5길 28,,,,,
,경상남도 창원마산회원구 양덕동,61-37,61,37,양덕,37.22,25.12,201501,31,"         6,900",3,,,1981,양덕남2길 12,,,,,
,경상남도 창원마산회원구 회성동,444-11,444,11,선우,54.08,51.2,201501,12,"         6,850",2,,,1980,회성남12길 15,,,,,
,경상남도 창원마산회원구 합성동,88-7,88,7,금봉미니,51.9,49.5,201501,27,"         5,500",2,,,1980,합성서11길 9,,,,,
,경상남도 창원마산회원구 합성동,131-59,131,59,조은아트빌C,71.44,50.91,201501,27,"        15,500",1,,,2003,합성동4길 10,,,,,
,경상남도 창원마산회원구 내서읍 삼계리,385,385,0,두정숲속애(1단지),59.8869,76.07,201501,16,"        12,650",2,,,2011,숲속로 53,,,,,
,경상남도 창원마산회원구 내서읍 삼계리,739-1,739,1,너울림빌라2차,80.605,106.6,201501,15,"        22,059",2,,,2014,삼계로 152,,,,,
