NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
,경상남도 창원성산구 가음동,4*,단독,12m미만,373.16,302.0,201501,21,"        59,500",,,1996.0,가양로52번길,,,
,경상남도 창원성산구 반지동,6*,다가구,12m미만,216.62,223.4,201501,2,"        63,800",,,2014.0,반지로4번길,,,
,경상남도 창원성산구 남양동,3*,단독,12m미만,275.46,262.4,201501,5,"        50,000",,,1995.0,가음로57번길,,,
,경상남도 창원성산구 반지동,4*,단독,12m미만,163.8,235.0,201501,18,"        38,000",,,1987.0,반송로81번길,,,
,경상남도 창원성산구 반지동,2*,단독,12m미만,129.87,236.9,201501,19,"        33,000",,,1984.0,창원천로242번길,,,
,경상남도 창원성산구 반지동,9*,단독,12m미만,179.33,240.2,201501,22,"        40,000",,,1985.0,창원천로170번길,,,
,경상남도 창원성산구 사파동,1**,다가구,12m미만,241.66,252.5,201501,22,"        68,000",,,2010.0,동산로192번길,,,
,경상남도 창원성산구 반지동,8*,단독,12m미만,181.97,223.9,201501,19,"        35,000",,,1987.0,창원천로188번길,,,
,경상남도 창원성산구 상남동,8*,다가구,12m미만,244.54,255.0,201501,3,"        74,300",,,2010.0,단정로58번길,,,
,경상남도 창원성산구 상남동,1**,단독,12m미만,238.62,252.5,201501,12,"        60,000",,,2001.0,동산로65번길,,,
,경상남도 창원성산구 성주동,1**,다가구,12m미만,434.58,279.5,201501,10,"        79,000",,,2014.0,삼정자로52번길,,,
,경상남도 창원성산구 성주동,1**,다가구,12m미만,387.6,265.5,201501,17,"        75,000",,,2014.0,삼정자로52번길,,,
,경상남도 창원성산구 사파동,1**,단독,12m미만,215.59,239.1,201501,30,"        50,400",,,1996.0,창이대로648번길,,,
,경상남도 창원성산구 사파동,7*,다가구,12m미만,383.01,255.2,201501,21,"        66,200",,,2002.0,창이대로695번길,,,
,경상남도 창원성산구 사파동,4*,단독,12m미만,396.76,263.6,201501,31,"        72,700",,,2001.0,창이대로663번길,,,
,경상남도 창원성산구 반지동,4*,단독,12m미만,80.45,257.3,201501,5,"        35,500",,,1979.0,반송로29번길,,,
,경상남도 창원성산구 상남동,6*,다가구,25m미만,267.9,285.3,201501,2,"        71,000",,,2011.0,토월로,,,
