NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
,경상남도 창원성산구 안민동,599-6,599,6,드림빌,48.915,29.03,201501,5,"        15,350",3,,,2014,안민로 49-5,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,60.5,48.0,201501,9,"        11,550",4,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201501,11,"        48,000",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 안민동,70,70,0,동양상가빌라,80.46,34.52,201502,27,"        15,800",4,,,1998,안민안길 28,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,201503,9,"        10,100",2,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201503,11,"        55,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,41.32,32.8,201503,31,"         8,000",5,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201503,23,"        55,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 안민동,599-6,599,6,드림빌,46.56,27.64,201504,23,"        14,670",2,,,2014,안민로 49-5,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,178.0,240.59,201504,24,"        94,500",1,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,209.33,282.94,201504,13,"        96,500",2,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201505,29,"        43,000",2,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,176.52,238.59,201506,9,"        89,000",4,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,201506,18,"         9,000",5,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201507,7,"        52,800",4,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201507,31,"        59,800",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,176.52,238.59,201507,23,"        89,000",4,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 안민동,120-4,120,4,송원빌라트(120-4),56.2,32.06,201507,6,"         7,800",2,,,2002,안민안길30번길 13,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,201508,3,"        10,500",3,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,41.32,32.8,201508,17,"         7,500",5,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201508,21,"        67,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.25,108.72,201509,4,"        51,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,60.5,48.0,201509,18,"        13,000",3,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,118.42,152.81,201510,12,"        66,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201510,23,"        51,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,41.32,32.8,201511,16,"         7,500",4,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,100.41,129.57,201511,13,"        58,500",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 안민동,120-15,120,15,송원빌라트(120-15),44.45,28.01,201511,27,"         6,400",4,,,2002,안민안길30번길 15,,,,,
,경상남도 창원성산구 안민동,163-5,163,5,안민동상가주택,84.24,36.88,201512,1,"        12,400",4,,,2002,안민로117번길 9,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,201512,31,"        10,300",5,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201601,26,"        52,500",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 안민동,70,70,0,동양상가빌라,59.4,25.48,201601,21,"        11,500",4,,,1998,안민안길 28,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201602,15,"        53,000",1,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,41.32,32.8,201603,1,"         8,500",2,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,143,143,0,루이젠하우스,176.52,238.59,201603,15,"        86,500",4,,,2008,창원대로1137번길 18,,,,,
,경상남도 창원성산구 성주동,157,157,0,효성해링턴코트,84.88,109.53,201604,7,"        47,000",3,,,2013,삼정자로 78,,,,,
,경상남도 창원성산구 내동,456-17,456,17,내동상가,46.94,37.9,201604,25,"         9,500",2,,,1976,창원대로 726,,,,,
,경상남도 창원성산구 성주동,169,169,0,성주중앙블루아템,84.76,142.91,201605,16,"        53,891",2,,,2015,삼정자로72번길 99,,,,,
,경상남도 창원성산구 성주동,169,169,0,성주중앙블루아템,84.76,142.91,201606,17,"        57,500",5,,,2015,삼정자로72번길 99,,,,,
