시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,동,매수자,매도자,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
경상남도 창원의창구 대원동,42-3,42,3,경남,51.96,201501,24,"        19,100",5,1985,두대로 31,,,,,,,,,
경상남도 창원의창구 대원동,42-3,42,3,경남,51.96,201501,23,"        18,000",3,1985,두대로 31,,,,,,,,,
경상남도 창원의창구 팔용동,125,125,0,벽산블루밍C단지,84.905,201501,5,"        30,000",12,1999,남산로 20,,,,,,,,,
경상남도 창원의창구 팔용동,125,125,0,벽산블루밍C단지,59.97,201501,16,"        24,400",10,1999,남산로 20,,,,,,,,,
경상남도 창원의창구 팔용동,125,125,0,벽산블루밍C단지,59.97,201501,22,"        24,150",13,1999,남산로 20,,,,,,,,,
경상남도 창원의창구 대원동,81,81,0,대원파크빌,52.92,201501,4,"        13,000",14,1997,삼동로 121,,,,,,,,,
경상남도 창원의창구 대원동,81,81,0,대원파크빌,52.92,201501,24,"        13,200",15,1997,삼동로 121,,,,,,,,,
경상남도 창원의창구 대원동,81,81,0,대원파크빌,52.92,201501,27,"        14,100",4,1997,삼동로 121,,,,,,,,,
경상남도 창원의창구 대원동,42-1,42,1,동양상가,48.81,201501,15,"        17,000",3,1980,대원로93번길 1,,,,,,,,,
경상남도 창원의창구 대원동,42-1,42,1,동양상가,54.17,201501,17,"        21,000",1,1980,대원로93번길 1,,,,,,,,,
경상남도 창원의창구 대원동,42-1,42,1,동양상가,56.97,201501,17,"        17,000",3,1980,대원로93번길 1,,,,,,,,,
경상남도 창원의창구 대원동,42-1,42,1,동양상가,56.97,201501,19,"        20,800",5,1980,대원로93번길 1,,,,,,,,,
경상남도 창원의창구 대원동,40-1,40,1,새경남임대,57.29,201501,3,"        21,400",3,1986,두대로 19,,,,,,,,,
경상남도 창원의창구 대원동,40-1,40,1,새경남임대,57.29,201501,6,"        20,700",1,1986,두대로 19,,,,,,,,,
경상남도 창원의창구 대원동,40-1,40,1,새경남임대,57.29,201501,9,"        20,000",5,1986,두대로 19,,,,,,,,,
경상남도 창원의창구 대원동,40-1,40,1,새경남임대,57.29,201501,9,"        20,500",2,1986,두대로 19,,,,,,,,,
경상남도 창원의창구 대원동,41-2,41,2,쌍용사원,46.65,201501,6,"        18,300",3,1982,두대로 27,,,,,,,,,
경상남도 창원의창구 대원동,41-2,41,2,쌍용사원,45.45,201501,28,"        17,500",4,1982,두대로 27,,,,,,,,,
경상남도 창원의창구 대원동,41-2,41,2,쌍용사원,47.0,201501,30,"        17,500",1,1982,두대로 27,,,,,,,,,
