NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
,경상남도 창원의창구 소답동,130-9,130,9,수양빌라,84.465,44.0,201501,26,"        19,500",2,,,2000,의안로50번길 33,,,,,
,경상남도 창원의창구 소계동,718-29,718,29,목화빌라,77.41,46.71,201501,21,"        15,000",3,,,1992,금강로355번길 47,,,,,
,경상남도 창원의창구 북면 신촌리,1533-9,1533,9,거풍센터빌1단지,84.564,91.08,201501,27,"        21,200",1,,,2014,신촌본포로 5-10,,,,,
,경상남도 창원의창구 북동,49-15,49,15,"이조빌라8,9차",75.78,50.56,201501,27,"        18,000",4,,,2005,의안로43번길 4-7,,,,,
,경상남도 창원의창구 서상동,10-3,10,3,동원빌라,61.37,49.83,201501,8,"        13,000",3,,,1997,의창대로211번길 6-4,,,,,
,경상남도 창원의창구 북면 신촌리,905-36,905,36,춘광상가빌라,84.03,38.2,201501,28,"         9,900",5,,,1997,신촌본포로 12,,,,,
,경상남도 창원의창구 서상동,416,416,0,대영주택,55.11,47.74,201501,17,"        13,500",1,,,1982,천주로12번길 19,,,,,
,경상남도 창원의창구 소계동,721-21,721,21,한보,47.07,45.29,201501,20,"         8,200",1,,,1983,소계로 117,,,,,
,경상남도 창원의창구 북면 신촌리,1533-14,1533,14,거풍센터빌2단지,81.9293,89.82,201501,13,"        20,500",4,,,2014,신촌본포로 5-14,,,,,
,경상남도 창원의창구 도계동,331-5,331,5,성신데파트,77.85,28.55,201501,7,"        14,100",5,,,1992,도계로8번길 1,,,,,
,경상남도 창원의창구 북면 신촌리,1386-67,1386,67,거풍힐링빌2단지,75.915,90.87,201501,26,"        16,250",3,,,2013,천주로 1202-12,,,,,
,경상남도 창원의창구 도계동,302-4,302,4,송백물망초빌라,67.26,36.26,201501,20,"        14,870",3,,,2001,도계두리길6번길 7,,,,,
,경상남도 창원의창구 도계동,302-1,302,1,한영빌라,71.11,32.89,201501,21,"        14,400",5,,,1996,도계두리길 16-20,,,,,
,경상남도 창원의창구 북면 신촌리,1386-16,1386,16,거풍힐링빌1단지,75.915,86.88,201501,16,"        16,250",3,,,2013,천주로 1202-8,,,,,
,경상남도 창원의창구 도계동,419-4,419,4,경원빌라,64.8,40.38,201501,7,"        14,300",2,,,1993,태복산로27번길 28,,,,,
,경상남도 창원의창구 도계동,332-2,332,2,서원래온빌2차,79.1891,44.81,201501,26,"        22,500",2,,,2008,도계로8번길 6,,,,,
,경상남도 창원의창구 대산면 가술리,387-26,387,26,한솔푸르네오,57.85,52.72,201501,12,"        15,000",5,,,2014,가술길1번길 19,,,,,
,경상남도 창원의창구 중동,402-6,402,6,삼창,83.855,78.71,201501,15,"        13,600",3,,,1985,의안로 9,,,,,
,경상남도 창원의창구 소답동,151-1,151,1,리즈트빌라,50.77,28.03,201501,14,"        10,850",4,,,1993,읍성로101번길 18,,,,,
,경상남도 창원의창구 소답동,108-4,108,4,덕산세영빌라,99.96,64.14,201501,24,"        17,800",4,,,2010,의안로32번길 4,,,,,
,경상남도 창원의창구 도계동,318-3,318,3,아주빌라(318-3),61.61,37.8,201502,11,"        10,000",2,,,1998,도계두리길 108-3,,,,,
,경상남도 창원의창구 도계동,344-6,344,6,진보그린빌라(344-6),63.419,26.27,201502,12,"        13,600",2,,,1994,도계로50번길 17,,,,,
,경상남도 창원의창구 도계동,397-5,397,5,덕암파크,72.01,30.05,201502,27,"        17,600",3,,,1994,도계로 80,,,,,
,경상남도 창원의창구 도계동,331-5,331,5,성신데파트,79.74,29.24,201502,12,"        14,100",6,,,1992,도계로8번길 1,,,,,
,경상남도 창원의창구 북면 신촌리,905-36,905,36,춘광상가빌라,83.68,38.04,201502,21,"         9,600",6,,,1997,신촌본포로 12,,,,,
,경상남도 창원의창구 서상동,10-3,10,3,동원빌라,59.68,48.46,201502,25,"        12,500",4,,,1997,의창대로211번길 6-4,,,,,
,경상남도 창원의창구 도계동,357-5,357,5,청학상가빌라,71.055,25.41,201502,12,"        15,000",4,,,1995,도계로 67,,,,,
,경상남도 창원의창구 소답동,130-1,130,1,북창상가,72.1,26.82,201502,9,"        14,000",5,,,2000,의안로56번길 26,,,,,
,경상남도 창원의창구 서상동,416,416,0,대영주택,55.11,47.44,201502,18,"         6,000",2,,,1982,천주로12번길 19,,,,,
,경상남도 창원의창구 도계동,413-6,413,6,동원빌라,73.62,54.2,201502,2,"        14,500",1,,,1993,도계로83번길 6-7,,,,,
,경상남도 창원의창구 소답동,107-7,107,7,세안빌라,74.18,41.14,201502,8,"        17,000",4,,,2000,의안로32번길 9,,,,,
,경상남도 창원의창구 소답동,155-4,155,4,금강빌라바동,59.72,32.55,201502,12,"         9,500",2,,,1994,의창대로317번길 11,,,,,
,경상남도 창원의창구 팔용동,66,66,0,프라임하우스2단지,209.12,319.62,201502,16,"        74,300",1,,,2010,반계로62번길 23,,,,,
,경상남도 창원의창구 중동,610,610,0,송현빌라,75.294,69.73,201502,28,"        15,200",2,,,2003,의창대로211번길 18-11,,,,,
