시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원의창구 대산면 가술리,1***,다가구,8m미만,126.7,423,201906,21,"        11,000",2008,가술산남로40번길
경상남도 창원의창구 대산면 가술리,2**,단독,8m미만,19.8,298,201810,12,"         7,000",2004,가술길23번길
경상남도 창원의창구 대산면 가술리,4**,단독,8m미만,96.92,413,201904,5,"         9,200",1990,봉강가술로471번길
경상남도 창원의창구 대산면 가술리,4*,단독,8m미만,83.8,428,201812,10,"        49,200",1992,진산대로443번길
경상남도 창원의창구 대산면 갈전리,9**,단독,8m미만,32,132,201812,17,"         1,327",1900,대산북로279번길
경상남도 창원의창구 대산면 갈전리,5**,단독,8m미만,42,145,201903,10,"         4,400",1993,갈전로
경상남도 창원의창구 대산면 갈전리,4**,단독,8m미만,42.98,198,201904,4,"         6,000",1926,죽송로133번길
경상남도 창원의창구 대산면 갈전리,6**,단독,8m미만,68.7,402,201810,5,"        14,000",1994,갈전로
경상남도 창원의창구 대산면 모산리,3**,단독,8m미만,77.22,172,201807,30,"         5,500",1987,진산대로528번길
경상남도 창원의창구 대산면 모산리,2**,단독,12m미만,166.02,251,201901,9,"        11,118",1994,모산길
경상남도 창원의창구 대산면 북부리,3**,단독,8m미만,52.2,124,201906,20,"         6,000",2001,대산북로893번길
경상남도 창원의창구 대산면 우암리,2**,단독,8m미만,60.3,190,201809,11,"         5,500",1900,신사로
경상남도 창원의창구 대산면 우암리,9*,단독,8m미만,187.74,415,201906,29,"        26,300",2014,우암로99번길
경상남도 창원의창구 대산면 우암리,2**,단독,8m미만,84.26,433,201807,19,"        21,000",1994,북부로10번길
경상남도 창원의창구 대산면 우암리,6**,단독,8m미만,131.14,573.9,201810,18,"        40,000",2015,우암로
경상남도 창원의창구 대산면 우암리,2*,단독,8m미만,86.28,597,201811,19,"        24,700",1933,우암로
경상남도 창원의창구 대산면 우암리,2*,단독,8m미만,331.65,660,201902,14,"        31,000",1998,우암로
경상남도 창원의창구 대산면 유등리,2**,단독,8m미만,101.82,446.3,201906,25,"        13,000",1939,유등로369번길
경상남도 창원의창구 대산면 일동리,2**,단독,8m미만,27.86,229,201811,20,"         7,200",2018,대산북로525번길
경상남도 창원의창구 대산면 일동리,2**,단독,8m미만,27.86,229,201809,20,"         7,000",2018,대산북로525번길
경상남도 창원의창구 대산면 제동리,5*,단독,8m미만,54,99,201807,27,"         1,833",1999,제동길
경상남도 창원의창구 대산면 제동리,2**,단독,8m미만,75.25,225,201812,21,"        19,500",1989,주남로
경상남도 창원의창구 대산면 제동리,5**,단독,8m미만,407.62,431,201810,5,"        55,000",2012,주남로400번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.23,192.1,201906,10,"        37,770",1978,대원로60번길
경상남도 창원의창구 대원동,1**,단독,25m미만,255.44,270.2,201902,15,"        60,000",1999,대원로
경상남도 창원의창구 대원동,1**,단독,12m미만,379,275.4,201808,9,"        50,000",1996,대원로33번길
경상남도 창원의창구 도계동,8**,다가구,12m미만,249.05,251.5,201905,17,"        41,400",2004,태복산로11번길
경상남도 창원의창구 도계동,3**,다가구,12m미만,806.64,260.3,201906,24,"       125,000",1990,원이대로55번길
경상남도 창원의창구 도계동,3**,단독,12m미만,257.73,90.2,201902,9,"        22,000",1991,하남천서길5번길
경상남도 창원의창구 도계동,4**,단독,25m미만,158.68,137.4,201809,12,"        53,500",1994,원이대로81번길
경상남도 창원의창구 도계동,3**,단독,12m미만,143.03,143.2,201811,17,"        20,500",1990,도계두리길86번길
경상남도 창원의창구 도계동,3**,단독,12m미만,175.57,165.4,201811,2,"        29,600",1992,도계로31번길
경상남도 창원의창구 도계동,4**,단독,12m미만,428.01,213.1,201903,16,"        50,000",2002,태복산로31번길
경상남도 창원의창구 도계동,8**,단독,12m미만,118.15,237.3,201808,14,"        50,000",2008,태복산로27번길
경상남도 창원의창구 도계동,8**,단독,12m미만,239.65,264.8,201903,4,"        40,000",1996,원이대로113번길
경상남도 창원의창구 동읍 금산리,2**,단독,8m미만,56.34,304,201809,8,"        10,451",1988,동읍로
경상남도 창원의창구 동읍 금산리,1**,단독,8m미만,118.87,406,201906,20,"        30,000",2016,동읍로835번길
경상남도 창원의창구 동읍 금산리,5**,단독,8m미만,98.9,927,201906,26,"        31,500",2000,동읍로661번길
경상남도 창원의창구 동읍 노연리,1**,단독,8m미만,45.62,195,201904,26,"         5,000",1933,노연로
경상남도 창원의창구 동읍 노연리,1**,단독,8m미만,116.48,283,201808,3,"        12,800",2000,노연로228번길
경상남도 창원의창구 동읍 무성리,1**,단독,8m미만,64.79,155,201906,10,"         3,500",1978,무성길47번길
경상남도 창원의창구 동읍 무성리,2**,단독,8m미만,63.46,410,201810,25,"        13,000",1900,무성길91번길
경상남도 창원의창구 동읍 무점리,4*,단독,8m미만,101.06,230,201811,9,"         9,500",1998,무점길88번길
경상남도 창원의창구 동읍 본포리,산5*,단독,8m미만,116.38,1025,201808,28,"        12,400",1900,
경상남도 창원의창구 동읍 봉강리,5**,단독,8m미만,190.84,461,201901,23,"        16,800",1996,동읍로1223번길
경상남도 창원의창구 동읍 봉곡리,6**,다가구,8m미만,494.62,650,201906,28,"        25,000",1998,동읍로1055번길
경상남도 창원의창구 동읍 봉곡리,4**,단독,8m미만,32.73,93,201811,29,"         4,300",1900,동읍로1057번길
경상남도 창원의창구 동읍 용잠리,4**,단독,8m미만,98.4,87,201902,26,"        10,000",2002,의창대로
경상남도 창원의창구 동읍 용잠리,2**,단독,8m미만,53.55,112,201902,12,"        13,000",1920,용잠로
경상남도 창원의창구 동읍 용잠리,1***,단독,8m미만,131.02,118,201902,12,"        15,000",1900,용잠로
경상남도 창원의창구 동읍 용잠리,4**,단독,12m미만,145.97,138,201810,1,"        42,000",1985,용잠로
경상남도 창원의창구 동읍 용잠리,3**,단독,8m미만,79.34,166,201904,8,"        10,800",1980,의창대로
경상남도 창원의창구 동읍 용잠리,2**,단독,8m미만,75.64,172,201902,27,"        15,000",1990,용잠로
경상남도 창원의창구 동읍 용잠리,2**,단독,8m미만,291.92,235,201902,12,"        29,000",1997,용잠로
경상남도 창원의창구 동읍 용잠리,7**,단독,8m미만,199.23,307,201808,13,"        43,000",1996,동읍로83번길
경상남도 창원의창구 동읍 용정리,1**,단독,8m미만,15.87,93,201811,2,"         3,850",1941,자여로98번길
경상남도 창원의창구 동읍 죽동리,5**,단독,8m미만,201.75,445.9,201809,4,"        19,400",1994,죽동길
경상남도 창원의창구 동읍 화양리,9**,단독,8m미만,60.16,86,201904,15,"         9,500",1940,백월로
경상남도 창원의창구 동읍 화양리,6**,단독,8m미만,97.3,390,201807,13,"        23,900",2014,동읍로359번길
경상남도 창원의창구 동읍 화양리,1**,단독,-,84.94,3310,201811,7,"        47,850",1900,
경상남도 창원의창구 동읍 화양리,1**,단독,-,84.94,3310,201811,7,"        47,850",1900,
경상남도 창원의창구 동읍 화양리,1**,단독,-,84.94,3310,201811,7,"        47,850",1900,
경상남도 창원의창구 동읍 화양리,1**,단독,-,84.94,3310,201811,7,"        47,850",1900,
경상남도 창원의창구 동읍 화양리,1**,단독,-,84.94,3310,201811,7,"        47,850",1900,
경상남도 창원의창구 동읍 화양리,1**,단독,8m미만,84.94,3310,201811,7,"        47,850",1900,
경상남도 창원의창구 동읍 화양리,1**,단독,-,84.94,3310,201810,10,"        47,850",1900,
경상남도 창원의창구 동읍 화양리,1**,단독,-,84.94,3310,201810,10,"        47,850",1900,
경상남도 창원의창구 동읍 화양리,1**,단독,-,84.94,3310,201809,27,"        47,850",1900,
경상남도 창원의창구 동정동,3**,단독,8m미만,95.67,100,201902,14,"        21,000",1979,서상로35번길
경상남도 창원의창구 동정동,2**,단독,8m미만,123.87,145,201807,16,"        13,000",1980,서상로35번길
경상남도 창원의창구 동정동,2**,단독,8m미만,160.84,166,201905,25,"        24,500",1988,서상로11번길
경상남도 창원의창구 명서동,1**,다가구,12m미만,328.61,243.5,201812,24,"        40,000",1996,명지로104번길
경상남도 창원의창구 명서동,1**,다가구,12m미만,235.4,243.6,201903,30,"        63,000",2015,명지로104번길
경상남도 창원의창구 명서동,1**,다가구,12m미만,283.28,260.1,201904,29,"        30,700",1990,창이대로95번길
경상남도 창원의창구 명서동,1**,다가구,12m미만,255.15,264.5,201903,11,"        57,000",2013,명서로129번길
경상남도 창원의창구 명서동,3*,다가구,25m미만,329.54,266.6,201809,28,"        43,000",1991,명서로69번길
경상남도 창원의창구 명서동,1**,다가구,12m미만,266.58,267.5,201811,20,"        64,180",2018,지귀로59번길
경상남도 창원의창구 명서동,1**,단독,12m미만,164.79,209.5,201906,1,"        29,800",1988,명지로121번길
경상남도 창원의창구 명서동,1**,단독,12m미만,308.95,225.4,201903,8,"        30,000",1991,명서로89번길
경상남도 창원의창구 명서동,1**,단독,12m미만,94.74,226.1,201811,3,"        33,200",1986,명지로121번길
경상남도 창원의창구 명서동,1**,단독,25m미만,225.53,228.4,201812,7,"        34,500",1989,우곡로
경상남도 창원의창구 명서동,1**,단독,12m미만,114.89,228.9,201903,30,"        33,000",1986,명지로94번길
경상남도 창원의창구 명서동,1**,단독,12m미만,312.78,238.4,201812,4,"        60,000",1990,명지로94번길
경상남도 창원의창구 명서동,1**,단독,12m미만,120.64,238.6,201901,28,"        30,800",1986,명서로116번길
경상남도 창원의창구 명서동,1**,단독,12m미만,164.72,240.7,201811,1,"        50,000",1984,창이대로113번길
경상남도 창원의창구 명서동,6*,단독,12m미만,162.9,241,201902,23,"        35,500",1994,명서로69번길
경상남도 창원의창구 명서동,1**,단독,12m미만,201.32,241.8,201903,28,"        27,000",1986,창이대로99번길
경상남도 창원의창구 명서동,1**,단독,12m미만,161.97,243.7,201902,28,"        43,000",1984,창이대로113번길
경상남도 창원의창구 명서동,7*,단독,12m미만,195.4,244.8,201902,11,"        42,000",1989,명지로77번길
경상남도 창원의창구 명서동,1**,단독,12m미만,233.64,245.2,201808,21,"        48,000",2002,명서로142번길
경상남도 창원의창구 명서동,1**,단독,12m미만,142.44,246.7,201810,18,"        40,000",1987,원이대로214번길
경상남도 창원의창구 명서동,1**,단독,12m미만,266.24,247,201809,5,"        35,000",1992,원이대로210번길
경상남도 창원의창구 명서동,1**,단독,12m미만,303.06,248.5,201903,26,"        32,300",1991,지귀로59번길
경상남도 창원의창구 명서동,3*,단독,25m미만,220.34,250.8,201905,28,"        31,500",1989,명서로
경상남도 창원의창구 명서동,1**,단독,12m미만,162.18,253.6,201905,30,"        30,500",1988,명서로120번길
경상남도 창원의창구 명서동,1**,단독,12m미만,399.77,255,201809,10,"        65,000",2016,창이대로113번길
경상남도 창원의창구 명서동,1**,단독,12m미만,206.69,256.7,201904,4,"        31,500",1987,원이대로222번길
경상남도 창원의창구 명서동,5*,단독,12m미만,253.59,262.3,201809,11,"        70,315",2015,명지로67번길
경상남도 창원의창구 명서동,1**,단독,12m미만,307.86,263.2,201905,1,"        40,000",1992,명서로89번길
경상남도 창원의창구 명서동,1**,단독,12m미만,199.88,265.3,201906,10,"        37,600",1987,지귀로59번길
경상남도 창원의창구 명서동,1**,단독,12m미만,237.33,266.7,201906,28,"        30,000",1991,지귀로59번길
경상남도 창원의창구 명서동,1**,단독,25m미만,362.85,268,201810,5,"        75,000",1991,지귀로
경상남도 창원의창구 명서동,1**,단독,12m미만,227.11,282,201811,2,"        30,000",1986,원이대로224번길
경상남도 창원의창구 명서동,7*,단독,12m미만,382.64,285.6,201810,1,"        70,000",1990,명서로116번길
경상남도 창원의창구 명서동,1**,단독,25m미만,285.92,285.92,201901,24,"        73,500",1991,지귀로
경상남도 창원의창구 명서동,1**,단독,12m미만,208.71,309.2,201906,25,"        45,000",1986,명지로109번길
경상남도 창원의창구 명서동,1**,단독,12m미만,434.28,320.8,201807,13,"        53,000",1991,원이대로224번길
경상남도 창원의창구 명서동,1*,단독,12m미만,437.34,345,201905,30,"        63,000",1992,우곡로3번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,280.53,235.9,201906,7,"        28,500",1991,봉곡로98번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,241.32,243.4,201901,10,"        58,000",2018,봉곡로99번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,234.1,244.1,201808,9,"        63,851",2016,사림로29번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,163.78,244.8,201808,24,"        31,500",1988,사림로29번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,163.59,248.7,201903,21,"        30,500",1988,봉곡로120번길
경상남도 창원의창구 봉곡동,2*,다가구,12m미만,246.92,249.9,201810,16,"        66,514",2017,지귀로32번길
경상남도 창원의창구 봉곡동,2*,다가구,12m미만,247.03,249.9,201811,21,"        63,162",2018,지귀로32번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,249.54,251.8,201811,20,"        62,502",2018,창이대로333번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,248.72,253.3,201809,6,"        67,519",2017,창이대로283번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,252.94,254.1,201906,17,"        68,486",2018,봉곡로111번길
경상남도 창원의창구 봉곡동,1*,다가구,12m미만,253.36,255.3,201807,11,"        67,656",2017,원이대로285번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,255.54,257.5,201812,24,"        65,932",2018,봉곡로99번길
경상남도 창원의창구 봉곡동,5*,다가구,12m미만,260.12,263.4,201905,8,"        70,384",2018,창이대로169번길
경상남도 창원의창구 봉곡동,5*,다가구,12m미만,263.12,266.4,201812,21,"        67,294",2012,지귀로120번길
경상남도 창원의창구 봉곡동,7*,다가구,12m미만,242.18,268.3,201906,3,"        36,000",1991,봉곡로23번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,257.84,269.6,201903,5,"        51,000",2016,봉곡로97번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,192.6,270.8,201902,20,"        34,000",1989,창이대로263번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,350.84,271.2,201905,18,"        37,000",1992,봉곡로120번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,269.34,272.8,201811,9,"        60,000",2016,봉곡로54번길
경상남도 창원의창구 봉곡동,9*,다가구,25m미만,329.89,276.7,201904,5,"        51,000",1991,봉곡로
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,274.88,279.7,201905,8,"        75,105",2018,봉곡로54번길
경상남도 창원의창구 봉곡동,8*,다가구,12m미만,277.59,279.7,201906,17,"        74,643",2019,봉곡로11번길
경상남도 창원의창구 봉곡동,7*,다가구,12m미만,279.6,287.3,201902,25,"        48,000",2009,봉곡로23번길
경상남도 창원의창구 봉곡동,8*,다가구,12m미만,267.6,290.6,201903,5,"        60,000",2010,창이대로205번길
경상남도 창원의창구 봉곡동,1**,다가구,12m미만,195.29,294.5,201902,18,"        41,000",1995,봉곡로111번길
경상남도 창원의창구 봉곡동,8*,다가구,12m미만,268.53,298.5,201810,10,"        72,230",2013,봉곡로11번길
경상남도 창원의창구 봉곡동,1**,단독,12m미만,162.24,233,201906,3,"        50,000",1984,봉곡로4번길
경상남도 창원의창구 봉곡동,4*,단독,12m미만,198.4,234,201810,15,"        30,000",1989,지귀로128번길
경상남도 창원의창구 봉곡동,1**,단독,12m미만,192.62,235.9,201905,31,"        30,000",1989,창이대로263번길
경상남도 창원의창구 봉곡동,4*,단독,12m미만,231.18,236.4,201902,27,"        67,000",2017,창이대로165번길
경상남도 창원의창구 봉곡동,4*,단독,12m미만,294.39,243.8,201810,3,"        34,300",1992,지귀로120번길
경상남도 창원의창구 봉곡동,1**,단독,25m미만,164.39,246.1,201811,26,"        41,000",1988,봉곡로
경상남도 창원의창구 봉곡동,4*,단독,12m미만,311.99,248.5,201808,16,"        47,000",1994,지귀로32번길
경상남도 창원의창구 봉곡동,2*,단독,12m미만,184.48,249.9,201903,18,"        40,000",1988,지귀로32번길
경상남도 창원의창구 봉곡동,1**,단독,12m미만,250.26,251.4,201809,14,"        68,267",2018,봉곡로119번길
경상남도 창원의창구 봉곡동,1**,단독,12m미만,329.2,257.6,201903,15,"        29,200",1991,봉곡로63번길
경상남도 창원의창구 봉곡동,9*,단독,12m미만,67.49,258.8,201901,23,"        36,000",1980,봉곡로24번길
경상남도 창원의창구 봉곡동,1**,단독,12m미만,247.23,259.9,201807,17,"        67,922",2011,봉곡로98번길
경상남도 창원의창구 봉곡동,7*,단독,12m미만,281,260,201807,23,"        72,016",2015,창이대로205번길
경상남도 창원의창구 봉곡동,5*,단독,12m미만,265.16,268.5,201807,23,"        70,140",2013,지귀로120번길
경상남도 창원의창구 봉곡동,1**,단독,12m미만,199.46,268.9,201809,7,"        37,200",1992,봉곡로120번길
경상남도 창원의창구 봉곡동,1**,단독,12m미만,246.5,270.1,201905,17,"        38,500",1993,봉곡로123번길
경상남도 창원의창구 봉곡동,5*,단독,12m미만,198.71,271.1,201902,9,"        34,000",1989,지귀로120번길
경상남도 창원의창구 봉곡동,6*,단독,12m미만,276.38,288.4,201808,29,"        70,000",2015,창이대로205번길
경상남도 창원의창구 봉곡동,8*,단독,12m미만,122.89,290.5,201906,25,"        32,500",1980,봉곡로11번길
경상남도 창원의창구 봉곡동,7*,단독,12m미만,161.75,292.9,201901,29,"        36,900",1985,봉곡로11번길
경상남도 창원의창구 봉곡동,9*,단독,12m미만,278.68,297.2,201809,12,"        70,000",2016,봉곡로8번길
경상남도 창원의창구 봉곡동,4*,단독,12m미만,533.25,311.8,201811,20,"        81,400",2003,지귀로128번길
경상남도 창원의창구 봉림동,5**,단독,12m미만,340.48,260.6,201810,1,"        78,000",2014,대봉로42번길
경상남도 창원의창구 북동,2**,단독,12m미만,48.29,46,201812,8,"         7,250",1997,의안로49번길
경상남도 창원의창구 북동,1**,단독,8m미만,29.08,62,201809,3,"         5,200",1974,천주로36번길
