시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 가음동,3*,다가구,25m미만,349.52,244.4,201705,4,"        76,500",2000,가음로
경상남도 창원성산구 가음동,4*,다가구,12m미만,237,255.8,201608,3,"        49,500",2000,가양로34번길
경상남도 창원성산구 가음동,4*,다가구,12m미만,236.19,256.3,201610,18,"        57,000",2003,가양로34번길
경상남도 창원성산구 가음동,*,다가구,12m미만,251.41,267.7,201610,10,"        84,000",2013,가음정로23번길
경상남도 창원성산구 가음동,*,다가구,12m미만,261.14,270.7,201607,28,"        67,700",2016,가음정로11번길
경상남도 창원성산구 가음동,*,다가구,12m미만,261.77,273.1,201607,5,"        67,300",2016,가음정로23번길
경상남도 창원성산구 가음동,4*,다가구,12m미만,210.78,286.6,201608,12,"        59,000",1997,가음로92번길
경상남도 창원성산구 가음동,4*,다가구,12m미만,255.67,344.6,201609,20,"        89,500",1996,가음로92번길
경상남도 창원성산구 가음동,3*,단독,12m미만,329.42,261.4,201701,24,"        49,000",1993,가음로60번길
경상남도 창원성산구 가음동,3*,단독,12m미만,274.7,262.2,201610,5,"        54,000",1994,가음로60번길
경상남도 창원성산구 가음동,4*,단독,12m미만,151.54,266.7,201608,9,"        47,300",1996,가양로34번길
경상남도 창원성산구 가음동,*,단독,12m미만,263.72,269.7,201609,10,"        68,000",2016,가음정로11번길
경상남도 창원성산구 귀곡동,7**,단독,12m미만,196.16,260,201608,7,"        30,000",1996,삼귀로
경상남도 창원성산구 귀곡동,6**,단독,12m미만,290.63,290,201704,6,"        46,000",1998,삼귀로
경상남도 창원성산구 귀산동,3**,단독,8m미만,18,82,201608,29,"         1,300",2009,
경상남도 창원성산구 귀산동,3**,단독,8m미만,90.93,215,201703,3,"        16,250",2004,귀산로60번길
경상남도 창원성산구 귀산동,5**,단독,8m미만,127.91,511,201607,25,"        29,000",1956,삼귀로
경상남도 창원성산구 남양동,3*,단독,25m미만,329.48,254.7,201607,8,"        60,000",1993,가음로
경상남도 창원성산구 남양동,2*,단독,12m미만,348.26,260.1,201610,28,"        60,000",1995,가음로57번길
경상남도 창원성산구 남양동,4*,단독,12m미만,327.55,273.1,201702,28,"        65,000",1993,가음로101번길
경상남도 창원성산구 남양동,2*,단독,25m이상,353.04,280.3,201612,12,"        89,000",1996,가음로
경상남도 창원성산구 남양동,4*,단독,12m미만,380.44,298.3,201607,22,"        59,500",1995,가음로101번길
경상남도 창원성산구 대방동,3**,단독,12m미만,287.97,248.95,201611,30,"        36,000",2003,대암로
경상남도 창원성산구 대방동,3**,단독,25m미만,329.48,444.7,201704,6,"        67,000",1996,대암로77번길
경상남도 창원성산구 대방동,3**,단독,25m미만,268.44,492.6,201611,23,"        89,000",1996,대암로77번길
경상남도 창원성산구 대방동,3**,단독,25m이상,480,504,201702,27,"       160,000",2009,대암로
경상남도 창원성산구 대방동,3**,단독,12m미만,371.37,581.5,201706,8,"        87,000",2004,대암로171번길
경상남도 창원성산구 반지동,6*,다가구,12m미만,202.5,214.8,201611,22,"        65,900",2012,반지로16번길
경상남도 창원성산구 반지동,1**,다가구,12m미만,218.12,219.1,201706,28,"        59,000",2016,창원천로138번길
경상남도 창원성산구 반지동,1**,다가구,12m미만,201.51,219.4,201607,14,"        52,000",1987,창원천로134번길
경상남도 창원성산구 반지동,1**,다가구,12m미만,163.21,221.3,201610,25,"        36,500",1988,창원천로192번길
경상남도 창원성산구 반지동,1**,다가구,12m미만,192.43,221.9,201608,10,"        42,000",1989,창원천로134번길
경상남도 창원성산구 반지동,1**,다가구,12m미만,202.05,221.9,201611,15,"        46,500",1998,창원천로144번길
경상남도 창원성산구 반지동,1**,다가구,12m미만,226.1,228.2,201608,14,"        68,000",2016,창원천로178번길
경상남도 창원성산구 반지동,1**,다가구,12m미만,212.34,234,201607,11,"        42,900",1997,창원천로174번길
경상남도 창원성산구 반지동,5*,다가구,12m미만,164.54,237.1,201706,2,"        35,000",1988,충혼로201번길
경상남도 창원성산구 반지동,6*,다가구,12m미만,241.08,245.7,201610,31,"        74,000",2016,반지로32번길
경상남도 창원성산구 반지동,5*,다가구,12m미만,168.51,253.8,201609,11,"        40,000",1987,반송로81번길
경상남도 창원성산구 반지동,5*,다가구,12m미만,244.23,255.1,201608,14,"        59,500",2013,반송로82번길
경상남도 창원성산구 반지동,4*,단독,12m미만,301.64,213.7,201609,24,"        48,500",2001,반송로41번길
경상남도 창원성산구 반지동,7*,단독,12m미만,178.28,215.3,201702,1,"        19,500",1986,반송로42번길
경상남도 창원성산구 반지동,8*,단독,12m미만,208.64,216.9,201701,14,"        53,300",2014,반지로32번길
경상남도 창원성산구 반지동,8*,단독,12m미만,211,217.1,201612,16,"        57,000",1995,반송로50번길
경상남도 창원성산구 반지동,9*,단독,12m미만,170.09,218.8,201702,1,"        41,000",1994,창원천로134번길
경상남도 창원성산구 반지동,1**,단독,12m미만,164.18,219.2,201704,3,"        33,000",1987,창원천로138번길
경상남도 창원성산구 반지동,1**,단독,12m미만,126.69,220.7,201611,7,"        40,100",1987,창원천로166번길
경상남도 창원성산구 반지동,1**,단독,12m미만,223.36,229,201703,11,"        66,000",2015,창원천로134번길
경상남도 창원성산구 반지동,9*,단독,12m미만,167.15,229.1,201610,24,"        43,300",1985,창원천로166번길
경상남도 창원성산구 반지동,1**,단독,25m미만,184.54,230.3,201608,30,"        50,000",1982,반송로
경상남도 창원성산구 반지동,8*,단독,25m미만,159.11,235.7,201705,31,"        50,000",1986,반송로
경상남도 창원성산구 반지동,5*,단독,12m미만,227.78,235.8,201607,20,"        59,000",2015,충혼로201번길
경상남도 창원성산구 반지동,6*,단독,12m미만,194.99,244.7,201610,24,"        42,500",1985,반지로32번길
경상남도 창원성산구 반지동,3*,단독,25m미만,163.5,245,201607,18,"        45,000",1987,반지로
경상남도 창원성산구 반지동,3*,단독,12m미만,251.3,255.3,201702,1,"        57,000",2015,창원천로206번길
경상남도 창원성산구 반지동,5*,단독,25m미만,238.23,266.9,201607,27,"        87,000",1996,반송로
경상남도 창원성산구 반지동,8*,단독,12m미만,130.75,271.6,201706,13,"        43,000",1986,반송로42번길
경상남도 창원성산구 반지동,3*,단독,12m미만,258.64,283.6,201706,28,"        37,500",1989,반송로29번길
경상남도 창원성산구 반지동,4*,단독,12m미만,199.68,291,201608,23,"        59,500",1986,충혼로175번길
경상남도 창원성산구 사파동,4*,다가구,12m미만,225.72,236.1,201611,8,"        71,000",2016,비음로45번길
경상남도 창원성산구 사파동,7*,다가구,12m미만,233.94,241.6,201704,7,"        64,677",2008,창이대로695번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,99.13,243,201704,25,"        36,000",1986,창이대로684번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,292.25,244.2,201610,22,"        37,000",1991,동산로200번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,240.3,244.5,201612,27,"        69,075",2015,동산로200번길
경상남도 창원성산구 사파동,6*,다가구,12m미만,217.6,244.9,201609,20,"        51,500",1997,창이대로695번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,242.14,245.5,201703,23,"        68,946",2016,동산로192번길
경상남도 창원성산구 사파동,6*,다가구,12m미만,244.42,246.8,201611,30,"        69,710",2010,창이대로689번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,236.08,247.9,201609,9,"        59,500",2011,비음로27번길
경상남도 창원성산구 사파동,1*,다가구,12m미만,239.65,248.5,201611,30,"        68,173",2016,비음로
경상남도 창원성산구 사파동,1**,다가구,12m미만,224.59,249.3,201609,9,"        52,000",1998,창이대로706번길
경상남도 창원성산구 사파동,4*,다가구,12m미만,234.66,252.3,201609,15,"        59,500",2008,비음로45번길
경상남도 창원성산구 사파동,4*,다가구,12m미만,234.66,252.4,201609,8,"        59,500",2008,비음로45번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,240.56,254,201607,20,"        60,000",2008,동산로200번길
경상남도 창원성산구 사파동,5*,다가구,12m미만,366.4,256.7,201607,28,"        59,000",2007,비음로55번길
경상남도 창원성산구 사파동,5*,다가구,12m미만,239.02,258.2,201704,15,"        49,000",2002,비음로55번길
경상남도 창원성산구 사파동,6*,다가구,12m미만,286.38,288.6,201704,28,"        89,332",2016,비음로
경상남도 창원성산구 사파동,1**,다가구,25m미만,209.63,294.6,201610,13,"        55,700",1988,신사로
경상남도 창원성산구 사파동,6*,단독,12m미만,228.81,231.3,201608,11,"        73,700",2016,비음로24번길
경상남도 창원성산구 사파동,4*,단독,12m미만,162.4,231.9,201704,26,"        51,000",2007,비음로55번길
경상남도 창원성산구 사파동,6*,단독,12m미만,217.48,242.8,201611,2,"        53,000",1996,창이대로707번길
경상남도 창원성산구 사파동,3*,단독,12m미만,220.02,243.7,201610,21,"        62,500",2007,비음로27번길
경상남도 창원성산구 사파동,3*,단독,12m미만,221.59,243.9,201702,7,"        53,500",1995,비음로27번길
경상남도 창원성산구 사파동,1**,단독,12m미만,329.76,244.8,201703,2,"        48,500",2016,동산로176번길
경상남도 창원성산구 사파동,8*,단독,12m미만,341.11,246.7,201705,12,"        58,000",1995,창이대로707번길
경상남도 창원성산구 사파동,6*,단독,12m미만,242.92,246.8,201706,2,"        65,000",2015,비음로24번길
경상남도 창원성산구 사파동,3*,단독,12m미만,223.32,247.5,201702,8,"        60,000",2010,비음로27번길
경상남도 창원성산구 사파동,3*,단독,12m미만,207,248.5,201704,24,"        65,000",2008,비음로27번길
경상남도 창원성산구 사파동,9*,단독,12m미만,234.2,251.8,201607,6,"        48,500",2002,창이대로719번길
경상남도 창원성산구 사파동,1**,단독,12m미만,192.24,255.6,201705,24,"        37,250",1989,동산로192번길
경상남도 창원성산구 사파동,7*,단독,12m미만,353.54,257,201703,25,"        50,000",1996,창이대로707번길
경상남도 창원성산구 사파동,6*,단독,25m미만,247.12,261.3,201706,20,"        65,000",1996,비음로
경상남도 창원성산구 사파동,6*,단독,25m미만,212.37,264.7,201608,30,"        79,000",1999,비음로
경상남도 창원성산구 사파동,1**,단독,25m미만,405.54,276,201610,6,"        70,000",1997,신사로
경상남도 창원성산구 사파동,1*,단독,12m미만,254.39,286.3,201608,9,"        59,000",1997,비음로
경상남도 창원성산구 사파동,1**,단독,25m미만,186.57,287.2,201609,22,"        52,000",1989,신사로
경상남도 창원성산구 사파동,1**,단독,25m미만,430.68,323.9,201705,15,"       138,000",2014,동산로
경상남도 창원성산구 상남동,1**,다가구,12m미만,383.1,254.3,201607,30,"        82,500",2001,동산로65번길
경상남도 창원성산구 상남동,9*,다가구,12m미만,245.34,263.4,201705,23,"        65,000",2003,동산로65번길
경상남도 창원성산구 상남동,9*,단독,12m미만,249.06,167.2,201610,1,"        59,300",2008,단정로76번길
경상남도 창원성산구 상남동,1**,단독,12m미만,352.29,249.1,201608,16,"        75,000",2011,동산로65번길
경상남도 창원성산구 상남동,5*,단독,12m미만,238.9,252.3,201702,25,"        56,500",2000,동산로54번길
경상남도 창원성산구 상남동,6*,단독,25m미만,367.6,256.1,201706,17,"        63,000",2000,동산로55번길
경상남도 창원성산구 상남동,9*,단독,12m미만,246.61,263.1,201703,17,"        60,000",2001,동산로65번길
경상남도 창원성산구 상남동,8*,단독,12m미만,358.93,268.3,201703,15,"        58,800",1998,단정로58번길
경상남도 창원성산구 상남동,8*,단독,12m미만,375.41,270.8,201612,1,"        95,000",1997,동산로73번길
경상남도 창원성산구 상남동,5*,단독,25m미만,422.2,272.6,201610,7,"        83,000",2001,동산로
경상남도 창원성산구 상남동,5*,단독,12m미만,265.76,312.3,201611,7,"        73,000",2009,동산로54번길
경상남도 창원성산구 성주동,1**,단독,25m미만,416.2,266.4,201704,18,"        88,000",2011,삼정자로43번길
경상남도 창원성산구 성주동,1**,단독,12m미만,411.33,279.2,201703,5,"        81,000",2013,삼정자로51번길
경상남도 창원성산구 안민동,3**,다가구,8m미만,432.01,270,201608,16,"       102,500",2016,안민안길27번길
경상남도 창원성산구 중앙동,5*,다가구,12m미만,231.94,236,201611,24,"        69,000",2015,외동반림로54번길
