시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 가포동,4**,단독,8m미만,114.37,270,201911,28,"        23,500",1985,가포해안길
경상남도 창원마산합포구 교방동,2**,단독,12m미만,109.44,108,201910,22,"        19,750",1988,교방동1길
경상남도 창원마산합포구 교방동,3**,단독,12m미만,73.84,123.8,201912,30,"         7,500",1984,교방서4길
경상남도 창원마산합포구 교방동,5**,단독,12m미만,160.89,138.9,201911,26,"        48,000",1998,교방시장1길
경상남도 창원마산합포구 교방동,3**,단독,12m미만,179.82,173.3,202004,17,"        30,500",1998,교방동1길
경상남도 창원마산합포구 교방동,2**,단독,12m미만,494.24,234,202004,24,"        41,000",1991,교방동1길
경상남도 창원마산합포구 교원동,7*,단독,8m미만,24.03,50,202004,20,"         5,500",2008,노산서2길
경상남도 창원마산합포구 교원동,7*,단독,12m미만,25.39,50,201908,31,"         5,850",1998,노산남10길
경상남도 창원마산합포구 구산면 난포리,3**,단독,12m미만,79.07,178,202004,1,"         9,300",2005,난포해안길
경상남도 창원마산합포구 구산면 난포리,2**,단독,8m미만,58.86,203,202004,8,"         4,300",2002,난포2길
경상남도 창원마산합포구 구산면 내포리,1***,단독,8m미만,94.4,130,201907,15,"        10,000",2004,해양관광로
경상남도 창원마산합포구 구산면 내포리,6**,단독,8m미만,98.6,166.6,202002,29,"         5,000",1996,내포2길
경상남도 창원마산합포구 구산면 내포리,1**,단독,8m미만,49.58,482,201909,27,"         9,000",1998,내포3길
경상남도 창원마산합포구 구산면 내포리,1**,단독,8m미만,93.7,563,202004,13,"        17,500",1990,내포3길
경상남도 창원마산합포구 구산면 내포리,8**,단독,12m미만,240.54,826,201911,30,"        70,000",1994,해양관광로
경상남도 창원마산합포구 구산면 마전리,3**,단독,8m미만,46.27,317,202005,12,"         4,650",2020,마전길
경상남도 창원마산합포구 구산면 마전리,1**,단독,8m미만,29.75,318,201912,3,"         5,000",1998,마전길
경상남도 창원마산합포구 구산면 반동리,4**,단독,8m미만,47,239,202002,19,"         7,000",1980,반동길
경상남도 창원마산합포구 구산면 반동리,5**,단독,8m미만,36.36,255,201908,8,"         7,700",2008,반동길
경상남도 창원마산합포구 구산면 수정리,2**,단독,8m미만,51.5,397,202005,14,"        10,500",2004,수정1길
경상남도 창원마산합포구 구산면 심리,9*,단독,12m미만,42.9,66,202003,10,"         5,000",1998,
경상남도 창원마산합포구 구산면 심리,6**,단독,8m미만,82.12,212,201908,13,"        11,000",2014,윗용호길
경상남도 창원마산합포구 구산면 심리,5**,단독,8m미만,113.08,360.7,202003,7,"        32,800",2015,심리3길
경상남도 창원마산합포구 구산면 심리,7**,단독,-,49.58,546.1,202002,25,"        13,200",1998,심리1길
경상남도 창원마산합포구 구산면 옥계리,2**,단독,8m미만,63.5,91,201911,27,"         3,000",1995,옥계로
경상남도 창원마산합포구 구산면 옥계리,3**,단독,8m미만,62.8,215,202001,20,"         3,500",1998,옥계안길
경상남도 창원마산합포구 대성동1가,*,단독,8m미만,96.32,114.4,202006,5,"        10,000",1973,반월북5길
경상남도 창원마산합포구 대성동2가,*,단독,8m미만,57.06,118,201908,18,"         9,300",1998,중앙남9길
경상남도 창원마산합포구 대창동,1**,단독,8m미만,127.34,137,201908,20,"        10,000",1987,문화서1길
경상남도 창원마산합포구 덕동동,*,단독,8m미만,97.9,206,202002,24,"         7,000",2009,사궁두미길
경상남도 창원마산합포구 반월동,8*,단독,12m미만,30.12,66.8,201912,10,"         5,500",1990,반월남1길
경상남도 창원마산합포구 반월동,7*,단독,12m미만,111.54,92,202001,31,"        15,000",1977,반월남1길
경상남도 창원마산합포구 부림동,*,단독,12m미만,149.38,99.2,201908,17,"        17,800",2001,동서서6길
경상남도 창원마산합포구 산호동,4**,다가구,8m미만,111.56,116,202001,10,"        10,000",1998,합포남5길
경상남도 창원마산합포구 산호동,5**,단독,8m미만,40,56,202004,10,"         3,000",1998,합포북13길
