시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산회원구 구암동,1*,다가구,12m미만,107.65,97.6,201701,6,"        19,500",1978,구암서8길
경상남도 창원마산회원구 구암동,1***,다가구,25m미만,110.1,104.8,201701,4,"        21,800",1982,구암서1길
경상남도 창원마산회원구 구암동,1*,다가구,12m미만,114.18,121.5,201611,25,"        16,300",1977,구암서2길
경상남도 창원마산회원구 구암동,1*,다가구,12m미만,120.98,122.4,201608,8,"        27,500",1997,구암서3길
경상남도 창원마산회원구 구암동,9*,다가구,12m미만,119.58,130.1,201607,12,"        21,000",1978,구암남14길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,53.94,94.7,201704,28,"        12,300",1983,구암북1길
경상남도 창원마산회원구 구암동,4**,단독,8m미만,61.15,96.5,201706,3,"         9,200",1976,구암북15길
경상남도 창원마산회원구 구암동,4**,단독,8m미만,85.36,96.6,201611,4,"        10,500",1976,구암북15길
경상남도 창원마산회원구 구암동,4**,단독,8m미만,61.15,98.9,201611,4,"        14,500",1976,구암북15길
경상남도 창원마산회원구 구암동,1***,단독,12m미만,112.33,103.3,201705,28,"        16,500",1991,구암북12길
경상남도 창원마산회원구 구암동,9*,단독,8m미만,55.7,105.8,201702,11,"        14,800",1978,구암남14길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,124.08,106,201702,13,"        14,000",1988,구암동정길
경상남도 창원마산회원구 구암동,2*,단독,12m미만,64.3,107.6,201702,6,"        19,200",1983,구암서5길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,122.48,111.4,201610,13,"        13,350",1978,구암동정길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,115,114,201703,7,"        16,500",1987,구암동정길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,84.96,114.2,201703,25,"        14,000",1983,구암북18길
경상남도 창원마산회원구 구암동,1*,단독,8m미만,58.97,115.2,201706,27,"        13,000",1978,구암서8길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,109.29,115.3,201704,13,"        16,200",1982,구암북1길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,119.07,115.6,201611,17,"        23,000",1982,구암북1길
경상남도 창원마산회원구 구암동,2**,단독,12m미만,109.3,116,201701,4,"        16,500",1987,구암북1길
경상남도 창원마산회원구 구암동,1*,단독,25m미만,65.78,117.9,201702,24,"        26,000",1978,구암서1길
경상남도 창원마산회원구 구암동,2*,단독,8m미만,114.96,119.2,201705,16,"        15,000",1985,구암남5길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,125.75,119.5,201704,26,"        21,000",1983,구암북13길
경상남도 창원마산회원구 구암동,1***,단독,8m미만,130.62,120,201607,25,"         9,600",1979,구암동1길
경상남도 창원마산회원구 구암동,4**,단독,8m미만,55.97,120.3,201701,22,"        18,500",1976,구암북15길
경상남도 창원마산회원구 구암동,2**,단독,8m미만,69.82,121.5,201607,26,"        15,000",1982,3·15성역로
경상남도 창원마산회원구 구암동,1*,단독,12m미만,114.18,121.5,201706,19,"        15,930",1977,구암서2길
