NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산합포구 산호동,5**,단독,8m미만,32.40,60.00,202012,31,"6,300",-,-,1998,회원천북길,-,-,-
2,경상남도 창원시 마산합포구 완월동,3**,단독,8m미만,77.72,95.00,202012,31,"6,000",-,-,1980,완월남9길,-,-,-
3,경상남도 창원시 마산합포구 자산동,4*,단독,8m미만,26.45,83.00,202012,30,"9,950",-,-,1998,자산동14길,-,-,-
4,경상남도 창원시 마산합포구 완월동,3**,단독,8m미만,77.72,95.00,202012,30,"6,000",-,-,1980,완월남9길,20201230,-,-
5,경상남도 창원시 마산합포구 자산동,1**,단독,8m미만,47.60,112.00,202012,29,"12,500",-,-,1998,자산동3길,-,-,-
6,경상남도 창원시 마산합포구 반월동,*,단독,8m미만,33.26,97.10,202012,29,"17,000",-,-,1998,반월북3길,-,-,-
7,경상남도 창원시 마산합포구 산호동,2*,단독,12m미만,129.36,163.00,202012,29,"11,300",-,-,1974,산호북11길,-,-,-
8,경상남도 창원시 마산합포구 반월동,4*,단독,8m미만,19.83,65.10,202012,29,"11,500",-,-,1998,반월남7길,-,-,-
9,경상남도 창원시 마산합포구 자산동,1**,단독,8m미만,66.08,165.00,202012,29,"15,250",-,-,,자산동2길,-,-,-
10,경상남도 창원시 마산합포구 진동면 고현리,1**,단독,8m미만,31.02,89.00,202012,29,"3,000",-,-,1998,미더덕로,20210225,-,-
11,경상남도 창원시 마산합포구 구산면 옥계리,4**,단독,8m미만,169.80,800.00,202012,28,"45,000",-,-,2013,안녕로,20210324,-,-
12,경상남도 창원시 마산합포구 진동면 고현리,1**,단독,8m미만,31.20,89.00,202012,27,"3,000",-,-,1999,미더덕로,20210128,-,-
13,경상남도 창원시 마산합포구 반월동,8*,단독,12m미만,54.36,55.60,202012,26,"16,000",-,-,1981,반월남1길,-,-,-
14,경상남도 창원시 마산합포구 반월동,8*,단독,8m미만,26.45,165.30,202012,26,"20,000",-,-,1988,반월북2길,-,-,-
15,경상남도 창원시 마산합포구 반월동,3*,단독,8m미만,33.06,83.30,202012,25,"10,500",-,-,1998,반월북7길,-,-,-
16,경상남도 창원시 마산합포구 산호동,4**,단독,8m미만,43.37,93.00,202012,25,"17,300",-,-,1998,허당로,-,-,-
17,경상남도 창원시 마산합포구 자산동,3*,단독,8m미만,54.00,76.00,202012,23,"11,000",-,-,,자산동12길,20210223,-,-
18,경상남도 창원시 마산합포구 산호동,3*,단독,25m미만,116.24,115.20,202012,23,"34,500",-,-,1976,산호남로,-,-,-
19,경상남도 창원시 마산합포구 반월동,4*,단독,8m미만,28.10,56.20,202012,23,"11,000",-,-,1998,반월남7길,20210203,-,-
20,경상남도 창원시 마산합포구 자산동,1**,단독,8m미만,64.56,112.00,202012,22,"11,800",-,-,,자산동2길,-,-,-
21,경상남도 창원시 마산합포구 산호동,5**,단독,8m미만,121.38,112.00,202012,22,"20,400",-,-,1998,합포북9길,-,-,-
22,경상남도 창원시 마산합포구 자산동,1**,단독,8m미만,68.39,109.00,202012,22,"14,200",-,-,2003,자산동7길,-,-,-
23,경상남도 창원시 마산합포구 교방동,3**,단독,8m미만,60.43,100.20,202012,22,"10,000",-,-,1982,교방천북길,-,-,-
24,경상남도 창원시 마산합포구 추산동,6*,단독,8m미만,29.09,76.00,202012,21,"4,440",-,-,1998,성호남4길,-,-,-
25,경상남도 창원시 마산합포구 산호동,2*,단독,8m미만,52.23,102.50,202012,19,"10,200",-,-,1998,산호북15길,-,-,-
26,경상남도 창원시 마산합포구 반월동,7*,단독,8m미만,45.46,99.20,202012,19,"10,000",-,-,1998,반월남4길,-,-,-
27,경상남도 창원시 마산합포구 자산동,1**,단독,8m미만,34.51,63.00,202012,19,"10,200",-,-,1999,자산동3길,-,-,-
28,경상남도 창원시 마산합포구 산호동,5**,단독,8m미만,302.09,278.00,202012,19,"27,000",-,-,1992,합포북22길,-,-,-
29,경상남도 창원시 마산합포구 자산동,5*,단독,8m미만,63.67,119.00,202012,19,"12,000",-,-,1979,자산동13길,-,-,-
30,경상남도 창원시 마산합포구 자산동,1**,단독,8m미만,27.77,99.00,202012,19,"13,000",-,-,1998,자산동6길,-,-,-
31,경상남도 창원시 마산합포구 월영동,6**,다가구,8m미만,133.31,212.00,202012,19,"39,500",-,-,1979,월영남18길,-,-,-
32,경상남도 창원시 마산합포구 산호동,4**,단독,8m미만,27.10,53.00,202012,18,"12,000",-,-,1998,합포북9길,-,-,-
33,경상남도 창원시 마산합포구 산호동,4**,단독,8m미만,27.10,53.00,202012,18,"12,000",-,-,1998,합포북9길,20210114,-,-
34,경상남도 창원시 마산합포구 교방동,3**,단독,8m미만,155.70,155.30,202012,18,"26,000",-,-,1982,교방서1길,-,-,-
35,경상남도 창원시 마산합포구 자산동,3*,단독,8m미만,56.36,149.00,202012,18,"13,000",-,-,1974,자산동13길,-,-,-
36,경상남도 창원시 마산합포구 반월동,6*,단독,8m미만,275.26,287.60,202012,18,"35,000",-,-,1991,반월남1길,-,-,-
37,경상남도 창원시 마산합포구 대성동1가,1*,단독,8m미만,122.54,181.80,202012,18,"23,000",-,-,1984,반월북5길,20210121,-,-
38,경상남도 창원시 마산합포구 상남동,1**,단독,8m미만,19.83,56.00,202012,18,"11,000",-,-,1998,합포서12길,-,-,-
39,경상남도 창원시 마산합포구 자산동,5*,단독,8m미만,124.99,211.00,202012,17,"20,500",-,-,1995,자산동15길,-,-,-
40,경상남도 창원시 마산합포구 구산면 옥계리,4**,단독,8m미만,67.40,680.00,202012,17,"20,000",-,-,2010,안녕로,20210324,-,-
