NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 성산구 중앙동,6*,단독,12m미만,141.03,260.50,202012,30,"35,800",-,-,1979,외동반림로80번길,-,-,-
2,경상남도 창원시 성산구 중앙동,3*,단독,12m미만,228.48,238.40,202012,28,"37,000",-,-,2001,원이대로566번길,-,-,-
3,경상남도 창원시 성산구 대원동,9*,단독,-,251.41,269.60,202012,28,"55,000",-,-,2001,대원로37번길,-,-,-
4,경상남도 창원시 성산구 가음동,*,단독,12m미만,265.60,269.70,202012,28,"78,500",-,-,2015,가음정로11번길,-,-,-
5,경상남도 창원시 성산구 신월동,2*,단독,-,98.60,244.00,202012,23,"37,800",-,-,1986,신월로59번길,-,-,-
6,경상남도 창원시 성산구 대원동,1**,단독,25m미만,392.33,285.80,202012,22,"87,000",-,-,1997,두대로,-,-,-
7,경상남도 창원시 성산구 신월동,7*,단독,-,227.47,236.80,202012,16,"59,500",-,-,2010,상남로184번길,-,-,-
8,경상남도 창원시 성산구 중앙동,4*,단독,12m미만,147.83,207.10,202012,15,"48,000",-,-,2018,외동반림로40번길,-,-,-
9,경상남도 창원시 성산구 사파동,3*,다가구,12m미만,247.28,250.80,202012,15,"62,000",-,-,2012,비음로27번길,-,-,-
10,경상남도 창원시 성산구 신월동,1*,다가구,-,109.20,121.70,202012,15,"47,000",-,-,1984,창이대로584번길,-,-,-
11,경상남도 창원시 성산구 신월동,1*,단독,-,68.21,111.60,202012,14,"44,000",-,-,1988,신월로37번길,-,-,-
12,경상남도 창원시 성산구 신월동,1*,단독,-,119.23,112.20,202012,12,"48,500",-,-,1986,창이대로576번길,-,-,-
13,경상남도 창원시 성산구 용호동,3*,단독,12m미만,223.76,242.60,202012,11,"48,800",-,-,1996,외동반림로266번길,-,-,-
14,경상남도 창원시 성산구 반지동,1**,단독,12m미만,208.05,221.30,202012,10,"63,500",-,-,2017,창원천로192번길,-,-,-
15,경상남도 창원시 성산구 반지동,1**,단독,12m미만,54.00,239.20,202012,10,"32,000",-,-,2015,창원천로,-,-,-
16,경상남도 창원시 성산구 대원동,1*,단독,-,58.18,218.00,202012,09,"71,961",-,-,1978,,-,-,-
17,경상남도 창원시 성산구 중앙동,5*,다가구,12m미만,258.72,259.30,202012,09,"68,513",-,-,2020,외동반림로20번길,-,-,-
18,경상남도 창원시 성산구 사파동,5*,다가구,12m미만,238.40,239.00,202012,08,"65,700",-,-,2019,비음로67번길,-,-,-
19,경상남도 창원시 성산구 반지동,6*,다가구,12m미만,240.18,244.70,202012,07,"67,260",-,-,2019,반지로32번길,-,-,-
20,경상남도 창원시 성산구 사파동,1**,단독,12m미만,250.54,259.30,202012,07,"40,000",-,-,1998,창이대로684번길,-,-,-
21,경상남도 창원시 성산구 용호동,4*,단독,-,456.57,313.40,202012,07,"115,000",-,-,1996,외동반림로,-,-,-
22,경상남도 창원시 성산구 신월동,7*,단독,-,199.44,247.20,202012,07,"37,300",-,-,1988,상남로184번길,-,-,-
23,경상남도 창원시 성산구 사파동,1**,다가구,12m미만,245.04,259.70,202012,05,"64,400",-,-,2010,동산로206번길,-,-,-
24,경상남도 창원시 성산구 사파동,2*,단독,12m미만,328.96,263.50,202012,05,"58,000",-,-,1995,비음로4번길,20210302,-,-
25,경상남도 창원시 성산구 사파동,2*,다가구,12m미만,328.96,263.50,202012,05,"58,000",-,-,1995,비음로4번길,-,-,-
26,경상남도 창원시 성산구 가음동,4*,다가구,12m미만,275.75,284.30,202012,04,"40,000",-,-,2000,가음로92번길,-,-,-
27,경상남도 창원시 성산구 대원동,1**,단독,-,341.38,258.30,202012,03,"59,500",-,-,1995,두대로81번길,-,-,-
28,경상남도 창원시 성산구 반지동,9*,단독,12m미만,232.79,249.30,202012,03,"35,000",-,-,1997,창원천로196번길,-,-,-
29,경상남도 창원시 성산구 신월동,8*,단독,-,237.03,250.50,202012,02,"55,000",-,-,2001,신월로86번길,-,-,-
30,경상남도 창원시 성산구 용호동,4*,다가구,12m미만,243.36,258.20,202012,02,"63,000",-,-,2008,외동반림로254번길,-,-,-
31,경상남도 창원시 성산구 신월동,*,단독,-,198.53,249.60,202012,01,"21,000",-,-,1988,신월로5번길,-,-,-
32,경상남도 창원시 성산구 가음동,*,다가구,12m미만,251.41,267.70,202012,01,"84,000",-,-,2013,가음정로23번길,-,-,-
33,경상남도 창원시 성산구 신월동,5*,다가구,-,244.62,253.30,202011,25,"57,500",-,-,2010,신사로21번길,-,-,-
34,경상남도 창원시 성산구 신월동,2*,단독,-,378.98,296.90,202011,25,"41,000",-,-,1990,신월로59번길,-,-,-
35,경상남도 창원시 성산구 중앙동,4*,단독,25m미만,156.90,211.10,202011,25,"51,390",-,-,1981,외동반림로,-,-,-
