NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 의창구 사림동,8*,단독,12m미만,178.37,278.70,202012,31,"30,600",-,-,1988,사림로16번길,-,-,-
2,경상남도 창원시 의창구 동읍 노연리,8**,단독,8m미만,88.00,442.00,202012,31,"23,900",-,-,2012,대산북로172번길,-,-,-
3,경상남도 창원시 의창구 사림동,8*,단독,12m미만,323.01,269.60,202012,31,"37,500",-,-,1993,창이대로369번길,-,-,-
4,경상남도 창원시 의창구 중동,3**,다가구,8m미만,431.69,212.00,202012,30,"106,000",-,-,1995,서상로12번길,-,-,-
5,경상남도 창원시 의창구 북면 지개리,5**,단독,8m미만,102.83,225.00,202012,28,"16,500",-,-,1900,구룡로79번길,-,-,-
6,경상남도 창원시 의창구 도계동,4**,단독,12m미만,466.70,198.80,202012,28,"60,500",-,-,1995,원이대로103번길,-,-,-
7,경상남도 창원시 의창구 동읍 용전리,6*,단독,8m미만,139.68,423.00,202012,26,"29,650",-,-,1978,용남길,-,-,-
8,경상남도 창원시 의창구 봉곡동,1**,다가구,12m미만,253.12,255.20,202012,26,"54,800",-,-,2015,사림로29번길,-,-,-
9,경상남도 창원시 의창구 동읍 봉곡리,8**,단독,8m미만,63.00,393.00,202012,24,"12,000",-,-,2003,동읍로1079번길,-,-,-
10,경상남도 창원시 의창구 동읍 화양리,1**,단독,8m미만,99.09,329.00,202012,24,"8,100",-,-,1998,동읍로499번길,-,-,-
11,경상남도 창원시 의창구 북면 월촌리,2**,단독,8m미만,55.52,182.00,202012,23,"12,500",-,-,1900,백월로74번기곡길,-,-,-
12,경상남도 창원시 의창구 사림동,1**,단독,12m미만,250.27,262.60,202012,23,"57,000",-,-,2008,사림로85번길,-,-,-
13,경상남도 창원시 의창구 동읍 산남리,4**,단독,8m미만,110.56,568.00,202012,22,"41,500",-,-,2015,봉강가술로191번길,-,-,-
14,경상남도 창원시 의창구 동읍 산남리,4**,단독,8m미만,110.56,644.00,202012,22,"42,000",-,-,2015,봉강가술로191번길,20210108,-,-
15,경상남도 창원시 의창구 동읍 용정리,1**,단독,8m미만,15.87,93.00,202012,21,"4,000",-,-,1941,자여로98번길,20210113,-,-
16,경상남도 창원시 의창구 사림동,1**,다가구,12m미만,244.44,250.50,202012,19,"75,000",-,-,2017,창이대로343번길,-,-,-
17,경상남도 창원시 의창구 사림동,1**,다가구,12m미만,397.35,272.70,202012,16,"57,000",-,-,2003,사림로99번길,-,-,-
18,경상남도 창원시 의창구 봉곡동,1**,다가구,12m미만,240.06,253.80,202012,16,"57,300",-,-,2008,봉곡로98번길,-,-,-
19,경상남도 창원시 의창구 북면 월계리,4**,단독,8m미만,142.56,401.00,202012,15,"24,200",-,-,2015,월계길9번길,-,-,-
20,경상남도 창원시 의창구 서상동,4**,단독,12m미만,301.53,178.00,202012,15,"77,000",-,-,1993,서상로,-,-,-
21,경상남도 창원시 의창구 사림동,9*,단독,12m미만,236.25,261.60,202012,14,"31,500",-,-,1989,사림로4번길,-,-,-
22,경상남도 창원시 의창구 소답동,1**,단독,12m미만,138.68,151.40,202012,14,"12,000",-,-,1986,의안로66번길,-,-,-
23,경상남도 창원시 의창구 동읍 화양리,6**,단독,8m미만,97.30,450.00,202012,14,"34,700",-,-,2014,동읍로359번길,20210219,-,-
24,경상남도 창원시 의창구 동읍 화양리,6**,단독,8m미만,97.30,390.00,202012,14,"33,100",-,-,2014,동읍로359번길,-,-,-
25,경상남도 창원시 의창구 북면 하천리,2**,단독,8m미만,71.28,357.00,202012,13,"22,500",-,-,2011,하천로,-,-,-
26,경상남도 창원시 의창구 명서동,5*,단독,12m미만,276.66,262.70,202012,12,"35,500",-,-,1990,명지로,-,-,-
27,경상남도 창원시 의창구 동읍 석산리,2**,단독,12m미만,18.00,165.00,202012,12,"7,900",-,-,2017,석산길,-,-,-
28,경상남도 창원시 의창구 사림동,5*,다가구,12m미만,264.06,291.20,202012,12,"87,650",-,-,2016,퇴촌로9번길,-,-,-
29,경상남도 창원시 의창구 명서동,5*,단독,12m미만,276.66,262.70,202012,12,"35,500",-,-,1990,명지로,20201222,-,-
30,경상남도 창원시 의창구 소답동,1**,단독,12m미만,168.53,134.50,202012,11,"21,000",-,-,1990,의안로18번길,-,-,-
31,경상남도 창원시 의창구 명서동,6*,단독,-,204.77,264.20,202012,11,"25,500",-,-,1989,,-,-,-
32,경상남도 창원시 의창구 동읍 용잠리,5**,단독,8m미만,58.86,208.00,202012,10,"10,000",-,-,1930,동읍로,-,-,-
33,경상남도 창원시 의창구 팔용동,1**,단독,12m미만,350.90,281.20,202012,10,"58,000",-,-,1997,팔용로451번길,-,-,-
