NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산회원구 양덕동,3*,단독,8m미만,57.94,112.68,202012,31,"12,500",-,-,1983,양덕동18길,-,-,-
2,경상남도 창원시 마산회원구 내서읍 용담리,6**,단독,8m미만,197.25,635.00,202012,31,"42,000",-,-,2002,용담로,-,-,-
3,경상남도 창원시 마산회원구 양덕동,2*,단독,8m미만,51.83,92.70,202012,29,"6,000",-,-,1975,양덕천길,-,-,-
4,경상남도 창원시 마산회원구 회원동,5*,단독,8m미만,131.11,184.60,202012,28,"13,000",-,-,1979,회원동서로,-,-,-
5,경상남도 창원시 마산회원구 봉암동,4**,단독,8m미만,95.49,123.00,202012,28,"17,000",-,-,1980,봉암북7길,-,-,-
6,경상남도 창원시 마산회원구 내서읍 중리,7**,다가구,25m미만,237.67,454.00,202012,28,"70,000",-,-,2013,함마대로,-,-,-
7,경상남도 창원시 마산회원구 석전동,2**,단독,8m미만,146.58,144.00,202012,28,"9,600",-,-,1982,석전동11길,-,-,-
8,경상남도 창원시 마산회원구 회원동,5*,단독,12m미만,61.43,139.80,202012,28,"15,500",-,-,1973,회원천북길,-,-,-
9,경상남도 창원시 마산회원구 내서읍 감천리,1***,단독,8m미만,85.23,357.00,202012,25,"15,100",-,-,1995,감천2길,-,-,-
10,경상남도 창원시 마산회원구 구암동,*,단독,12m미만,98.37,142.40,202012,22,"22,000",-,-,1980,구암서8길,-,-,-
11,경상남도 창원시 마산회원구 봉암동,4**,단독,8m미만,112.18,112.00,202012,22,"18,300",-,-,1984,봉암북2길,-,-,-
12,경상남도 창원시 마산회원구 석전동,2**,단독,12m미만,149.23,149.70,202012,20,"14,000",-,-,1978,석전동6길,-,-,-
13,경상남도 창원시 마산회원구 양덕동,8**,단독,8m미만,78.25,132.80,202012,20,"15,500",-,-,1978,양덕북9길,-,-,-
14,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,12.58,20.00,202012,20,"14,000",-,-,1991,,20201221,-,-
15,경상남도 창원시 마산회원구 회원동,6**,단독,12m미만,95.54,143.10,202012,19,"19,700",-,-,1984,회원북21길,-,-,-
16,경상남도 창원시 마산회원구 회원동,6**,다가구,8m미만,639.09,407.90,202012,18,"134,042",-,-,2020,회원천북길,-,-,-
17,경상남도 창원시 마산회원구 합성동,6**,다가구,12m미만,368.80,209.00,202012,18,"70,097",-,-,2020,합성북2길,-,-,-
18,경상남도 창원시 마산회원구 합성동,2**,단독,12m미만,189.63,160.10,202012,18,"30,713",-,-,1985,합성남2길,-,-,-
19,경상남도 창원시 마산회원구 내서읍 중리,1***,단독,8m미만,81.19,353.00,202012,15,"18,000",-,-,1981,상동길,-,-,-
20,경상남도 창원시 마산회원구 구암동,1*,단독,8m미만,131.43,134.80,202012,15,"23,000",-,-,1994,구암서2길,-,-,-
21,경상남도 창원시 마산회원구 구암동,*,단독,8m미만,175.74,167.60,202012,15,"19,000",-,-,1987,구암서9길,-,-,-
22,경상남도 창원시 마산회원구 구암동,1*,단독,8m미만,131.43,134.80,202012,15,"23,000",-,-,1994,구암서2길,20201228,-,-
23,경상남도 창원시 마산회원구 구암동,2**,단독,12m미만,154.80,145.50,202012,15,"20,800",-,-,1983,구암북3길,-,-,-
24,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,129.55,135.30,202012,14,"11,000",-,-,1980,합성옛길,-,-,-
25,경상남도 창원시 마산회원구 합성동,2**,단독,12m미만,117.22,130.70,202012,14,"16,193",-,-,1978,합성남11길,-,-,-
26,경상남도 창원시 마산회원구 양덕동,1**,단독,8m미만,22.00,22.60,202012,14,"1,500",-,-,1983,양덕북3길,-,-,-
27,경상남도 창원시 마산회원구 합성동,6**,단독,12m미만,63.92,107.00,202012,14,"13,500",-,-,1983,합성북15길,-,-,-
28,경상남도 창원시 마산회원구 석전동,2**,단독,12m미만,147.23,148.10,202012,12,"22,000",-,-,1975,석전남9길,-,-,-
29,경상남도 창원시 마산회원구 구암동,1*,단독,12m미만,115.14,109.70,202012,11,"17,000",-,-,1989,구암서2길,-,-,-
30,경상남도 창원시 마산회원구 구암동,1***,다가구,12m미만,190.25,238.00,202012,10,"28,700",-,-,1986,구암남12길,-,-,-
31,경상남도 창원시 마산회원구 내서읍 상곡리,2**,단독,-,45.94,426.00,202012,10,"10,300",-,-,2003,상곡로,-,-,-
32,경상남도 창원시 마산회원구 내서읍 중리,8*,단독,8m미만,95.64,346.00,202012,10,"16,800",-,-,2002,윗구슬길,-,-,-
33,경상남도 창원시 마산회원구 합성동,3**,단독,8m미만,153.47,146.30,202012,10,"19,400",-,-,1979,합성남17길,-,-,-
34,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,144.90,143.60,202012,10,"9,700",-,-,1982,합성동4길,-,-,-
35,경상남도 창원시 마산회원구 양덕동,1*,다가구,12m미만,225.24,168.90,202012,10,"43,000",-,-,1997,합성옛길,-,-,-
36,경상남도 창원시 마산회원구 석전동,1**,단독,8m미만,81.93,79.00,202012,09,"10,500",-,-,1983,석전북14길,-,-,-
37,경상남도 창원시 마산회원구 양덕동,9*,단독,8m미만,110.33,130.30,202012,05,"15,000",-,-,1976,양덕북15길,-,-,-
38,경상남도 창원시 마산회원구 합성동,7*,단독,25m미만,123.22,115.00,202012,04,"11,000",-,-,1982,합성북16길,-,-,-
39,경상남도 창원시 마산회원구 회성동,4**,단독,8m미만,126.64,150.40,202012,04,"25,000",-,-,1980,회성남5길,-,-,-
40,경상남도 창원시 마산회원구 합성동,2**,단독,8m미만,122.48,137.80,202012,03,"16,300",-,-,1979,합성남12길,-,-,-
41,경상남도 창원시 마산회원구 회원동,4*,단독,8m미만,96.69,123.30,202012,01,"10,500",-,-,1978,회원동13길,-,-,-
42,경상남도 창원시 마산회원구 구암동,1***,단독,12m미만,152.60,144.50,202012,01,"21,500",-,-,1987,구암북18길,-,-,-
43,경상남도 창원시 마산회원구 합성동,2**,단독,8m미만,103.10,139.70,202011,28,"17,634",-,-,1985,합성남12길,20210115,-,-
