NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 성산구 상남동,8*,다가구,12m미만,381.30,259.50,202212,23,"55,000",-,-,2006,단정로58번길,20230103,중개거래,경남 창원마산회원구
2,경상남도 창원시 성산구 중앙동,4*,단독,25m미만,136.97,235.10,202212,20,"67,000",-,-,1980,외동반림로,-,직거래,-
3,경상남도 창원시 성산구 상남동,1**,단독,12m미만,242.66,253.00,202212,20,"53,000",-,-,1999,동산로61번길,-,중개거래,경남 창원성산구
4,경상남도 창원시 성산구 사파동,9*,단독,12m미만,236.99,252.00,202212,15,"45,000",-,-,1999,창이대로719번길,-,중개거래,경남 창원성산구
5,경상남도 창원시 성산구 중앙동,6*,단독,12m미만,223.08,259.80,202212,08,"39,000",-,-,1987,외동반림로80번길,-,중개거래,경남 창원성산구
6,경상남도 창원시 성산구 성주동,1**,다가구,12m미만,257.68,263.70,202212,05,"80,000",-,-,2011,삼정자로33번길,-,중개거래,경남 창원성산구
7,경상남도 창원시 성산구 신월동,4*,다가구,25m이상,188.52,312.50,202211,30,"69,000",-,-,1993,상남로,-,직거래,-
8,경상남도 창원시 성산구 중앙동,2*,단독,12m미만,164.18,258.60,202211,28,"39,500",-,-,1988,원이대로538번길,-,중개거래,경남 창원성산구 경남 창원의창구
9,경상남도 창원시 성산구 신월동,7*,단독,25m미만,495.08,322.40,202211,23,"64,000",-,-,2001,신월로,-,중개거래,경남 창원성산구
10,경상남도 창원시 성산구 중앙동,1*,단독,12m미만,194.95,251.10,202211,18,"43,000",-,-,1987,외동반림로126번길,-,직거래,-
11,경상남도 창원시 성산구 중앙동,2*,단독,8m미만,95.56,248.00,202211,15,"34,900",-,-,1985,원이대로552번길,-,중개거래,경남 창원성산구
12,경상남도 창원시 성산구 양곡동,9**,단독,8m미만,117.79,298.00,202211,04,"23,000",-,-,1996,양곡길116번길,-,직거래,-
13,경상남도 창원시 성산구 가음동,*,다가구,12m미만,261.14,270.70,202211,04,"78,000",-,-,2016,가음정로11번길,-,중개거래,경남 창원성산구
14,경상남도 창원시 성산구 안민동,6*,단독,8m미만,32.50,114.00,202210,21,"15,000",-,-,1985,안민안길30번길,-,중개거래,경남 창원성산구
15,경상남도 창원시 성산구 신월동,1*,단독,8m미만,60.39,121.00,202210,12,"47,000",-,-,1985,창이대로584번길,-,중개거래,경남 창원성산구
16,경상남도 창원시 성산구 사파동,1*,단독,25m미만,225.24,273.20,202210,09,"41,900",-,-,1995,비음로,-,중개거래,경남 창원의창구
17,경상남도 창원시 성산구 귀산동,6**,단독,8m미만,70.32,225.00,202210,04,"23,000",-,-,1987,삼귀로486번길,-,직거래,-
18,경상남도 창원시 성산구 귀산동,5**,단독,8m미만,47.91,245.00,202210,04,"28,500",-,-,2018,삼귀로,-,직거래,-
19,경상남도 창원시 성산구 남양동,4*,단독,12m미만,327.35,251.70,202210,04,"50,000",-,-,1994,가음로101번길,-,중개거래,경남 창원성산구
20,경상남도 창원시 성산구 중앙동,4*,다가구,12m미만,238.38,246.80,202209,29,"50,000",-,-,2008,외동반림로50번길,-,중개거래,경남 창원마산회원구 경남 창원의창구
21,경상남도 창원시 성산구 반지동,4*,단독,12m미만,287.28,295.50,202209,28,"53,500",-,-,2003,반송로41번길,-,중개거래,경남 창원성산구
22,경상남도 창원시 성산구 반지동,4*,단독,12m미만,287.28,295.50,202209,28,"53,500",-,-,2003,반송로41번길,20221026,중개거래,경남 창원성산구
23,경상남도 창원시 성산구 용호동,1*,단독,12m미만,332.64,240.10,202209,22,"100,000",-,-,1993,용지로245번길,-,중개거래,경남 창원성산구
24,경상남도 창원시 성산구 중앙동,2*,단독,12m미만,164.18,258.60,202209,21,"39,500",-,-,1988,원이대로538번길,20221126,중개거래,경남 창원성산구 경남 창원의창구
25,경상남도 창원시 성산구 중앙동,2*,단독,12m미만,164.18,258.60,202209,21,"39,500",-,-,1988,원이대로538번길,20221006,중개거래,경남 창원성산구
26,경상남도 창원시 성산구 용호동,3*,단독,12m미만,84.10,243.40,202209,17,"39,500",-,-,1993,외동반림로266번길,-,중개거래,경남 창원성산구 경남 창원의창구
27,경상남도 창원시 성산구 사파동,5*,다가구,12m미만,228.80,232.80,202209,16,"37,500",-,-,2004,비음로67번길,-,직거래,-
28,경상남도 창원시 성산구 중앙동,6*,단독,12m미만,223.08,259.80,202209,14,"39,000",-,-,1987,외동반림로80번길,20221208,중개거래,경남 창원성산구
29,경상남도 창원시 성산구 신월동,*,단독,12m미만,347.23,249.40,202209,13,"64,500",-,-,1997,신월로17번길,-,중개거래,경남 창원성산구
30,경상남도 창원시 성산구 사파동,1**,다가구,8m미만,262.62,264.10,202208,29,"76,782",-,-,2022,동산로178번길,-,중개거래,경남 창원의창구
31,경상남도 창원시 성산구 신월동,2*,다가구,12m미만,256.56,258.00,202208,29,"74,751",-,-,2022,신월로85번길,-,중개거래,경남 창원의창구
32,경상남도 창원시 성산구 사파동,4*,다가구,12m미만,256.32,257.80,202208,29,"77,910",-,-,2022,비음로24번길,-,중개거래,경남 창원의창구
33,경상남도 창원시 성산구 사파동,2*,다가구,12m미만,262.72,265.50,202208,29,"79,932",-,-,2022,비음로4번길,-,중개거래,경남 창원의창구
34,경상남도 창원시 성산구 용호동,1*,단독,12m미만,264.81,241.80,202208,24,"71,500",-,-,1990,용지로245번길,-,중개거래,경남 창원성산구
35,경상남도 창원시 성산구 신월동,2*,단독,12m미만,253.24,256.50,202208,23,"38,000",-,-,1991,창이대로600번길,-,중개거래,경남 창원성산구
36,경상남도 창원시 성산구 중앙동,2*,다가구,12m미만,428.58,266.40,202208,18,"66,500",-,-,2011,원이대로538번길,-,중개거래,경남 창원성산구
37,경상남도 창원시 성산구 용호동,3*,단독,12m미만,216.63,232.20,202208,18,"54,000",-,-,1988,외동반림로254번길,-,중개거래,경남 창원성산구
38,경상남도 창원시 성산구 신월동,6*,단독,12m미만,225.53,246.80,202208,17,"52,000",-,-,2004,상남로216번길,-,중개거래,경남 창원성산구
39,경상남도 창원시 성산구 신월동,1*,단독,8m미만,58.25,113.00,202208,16,"46,000",-,-,1986,창이대로576번길,-,중개거래,경남 창원성산구
40,경상남도 창원시 성산구 중앙동,2*,단독,8m미만,95.56,248.00,202208,10,"34,900",-,-,1985,원이대로552번길,20220907,중개거래,경남 창원성산구
41,경상남도 창원시 성산구 중앙동,2*,단독,8m미만,95.56,248.00,202208,10,"34,900",-,-,1985,원이대로552번길,20221116,중개거래,경남 창원성산구
42,경상남도 창원시 성산구 신월동,1*,단독,8m미만,79.47,107.50,202208,09,"30,500",-,-,1987,창이대로564번길,-,직거래,-
43,경상남도 창원시 성산구 중앙동,4*,단독,12m미만,328.08,240.20,202208,06,"37,000",-,-,1994,외동반림로20번길,20220902,중개거래,경남 창원성산구
44,경상남도 창원시 성산구 중앙동,4*,단독,12m미만,328.08,240.20,202208,06,"37,000",-,-,1994,외동반림로20번길,-,중개거래,경남 창원성산구
45,경상남도 창원시 성산구 가음동,4*,다가구,12m미만,396.93,283.80,202208,03,"55,000",-,-,1997,가음로92번길,-,직거래,-
46,경상남도 창원시 성산구 대방동,3**,단독,12m미만,287.97,248.95,202208,02,"42,000",-,-,2003,대암로,-,직거래,-
47,경상남도 창원시 성산구 중앙동,3*,단독,12m미만,84.55,240.70,202207,30,"32,500",-,-,1980,외동반림로54번길,-,중개거래,경남 창원성산구
48,경상남도 창원시 성산구 중앙동,2*,단독,8m미만,177.33,221.90,202207,29,"29,800",-,-,1986,원이대로538번길,-,중개거래,경남 창원성산구
49,경상남도 창원시 성산구 귀산동,5**,단독,8m미만,47.91,245.00,202207,28,"28,500",-,-,2018,삼귀로,20221004,직거래,-
50,경상남도 창원시 성산구 귀산동,5**,단독,8m미만,38.25,273.00,202207,26,"28,000",-,-,2020,삼귀로,-,중개거래,경남 창원성산구
51,경상남도 창원시 성산구 중앙동,2*,단독,8m미만,183.62,239.50,202207,25,"30,000",-,-,1988,원이대로538번길,-,중개거래,경남 창원성산구
52,경상남도 창원시 성산구 사파동,1**,단독,12m미만,325.91,266.00,202207,22,"41,000",-,-,1991,동산로176번길,-,중개거래,경남 창원성산구
53,경상남도 창원시 성산구 안민동,5*,단독,8m미만,33.30,542.00,202207,20,"13,000",-,-,1985,안민로159번길,-,중개거래,경남 김해시
54,경상남도 창원시 성산구 성주동,1**,단독,25m미만,278.54,264.50,202207,18,"74,200",-,-,2011,외리로14번길,-,중개거래,경남 창원성산구
55,경상남도 창원시 성산구 신월동,8*,단독,12m미만,290.83,239.10,202207,16,"38,300",-,-,1992,신월로86번길,-,중개거래,경남 창원성산구 경남 창원의창구
