NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 의창구 대산면 갈전리,7**,단독,8m미만,85.88,179.00,202312,30,"5,700",-,-,1900,갈전로,-,직거래,-
2,경상남도 창원시 의창구 사림동,1*,다가구,-,239.28,366.70,202312,22,"110,320",-,-,2023,창이대로483번길,-,직거래,-
3,경상남도 창원시 의창구 사림동,1*,다가구,12m미만,239.28,336.70,202312,22,"102,777",-,-,2023,창이대로483번길,-,직거래,-
4,경상남도 창원시 의창구 사림동,1*,다가구,-,239.28,294.10,202312,22,"96,332",-,-,2023,창이대로483번길,-,직거래,-
5,경상남도 창원시 의창구 북면 하천리,1**,단독,12m미만,76.23,112.00,202312,21,"11,500",-,-,2011,하천로,-,중개거래,경남 창원의창구
6,경상남도 창원시 의창구 명서동,5*,단독,,164.39,223.30,202312,15,"25,000",-,-,1989,명지로63번길,-,중개거래,경남 창원시의창구
7,경상남도 창원시 의창구 명서동,1**,단독,12m미만,269.57,221.30,202312,14,"27,000",-,-,1990,원이대로206번길,-,직거래,-
8,경상남도 창원시 의창구 명서동,1**,단독,12m미만,177.98,256.00,202312,12,"28,500",-,-,1987,명서로133번길,-,중개거래,경남 창원의창구
9,경상남도 창원시 의창구 대산면 가술리,4**,단독,8m미만,39.66,225.00,202312,11,"8,500",-,-,1935,봉강가술로,-,직거래,-
10,경상남도 창원시 의창구 소답동,4**,다가구,,204.31,124.00,202312,07,"20,000",-,-,2003,의안로55번길,-,중개거래,경남 창원시마산회원구
11,경상남도 창원시 의창구 동읍 노연리,5**,단독,8m미만,149.98,659.00,202312,05,"24,800",-,-,2016,노연로,-,직거래,-
12,경상남도 창원시 의창구 북면 외산리,8**,단독,8m미만,32.42,171.00,202312,05,"1,200",-,-,1998,외산로157번길,-,직거래,-
13,경상남도 창원시 의창구 도계동,3**,단독,12m미만,198.81,444.80,202312,04,"60,000",-,-,1989,하남천동길32번길,-,중개거래,경남 창원의창구
14,경상남도 창원시 의창구 동읍 송정리,1**,단독,8m미만,109.53,417.00,202312,04,"60,000",-,-,1989,자여로,-,중개거래,경남 창원의창구
15,경상남도 창원시 의창구 명서동,1**,단독,12m미만,301.83,268.20,202312,04,"41,000",-,-,1991,지귀로59번길,-,중개거래,경남 창원시의창구
16,경상남도 창원시 의창구 서상동,6**,다가구,12m미만,307.83,170.50,202312,02,"78,000",-,-,2012,평산로163번길,-,중개거래,경남 창원시의창구
17,경상남도 창원시 의창구 서상동,*,단독,8m미만,103.35,116.00,202311,30,"18,000",-,-,1982,천주로12번길,-,직거래,-
18,경상남도 창원시 의창구 동읍 용강리,2**,단독,8m미만,95.25,183.00,202311,29,"24,500",-,-,2011,의창대로491번길,-,중개거래,경남 창원의창구
19,경상남도 창원시 의창구 소답동,1**,단독,8m미만,113.82,280.00,202311,29,"43,000",-,-,1975,의창대로289번길,-,중개거래,경남 창원의창구
20,경상남도 창원시 의창구 봉곡동,1**,단독,12m미만,249.74,262.10,202311,28,"54,171",-,-,2002,사림로29번길,-,중개거래,경남 창원의창구
21,경상남도 창원시 의창구 봉곡동,7*,다가구,,217.28,233.50,202311,24,"31,000",-,-,1993,봉곡로23번길,-,중개거래,경남 창원시의창구
22,경상남도 창원시 의창구 명서동,1**,단독,12m미만,183.50,240.80,202311,22,"34,000",-,-,1986,명서로116번길,-,중개거래,경남 창원의창구
23,경상남도 창원시 의창구 동읍 신방리,7**,단독,8m미만,39.01,169.00,202311,20,"10,500",-,-,1935,동읍로112번길,-,직거래,-
24,경상남도 창원시 의창구 명서동,1**,단독,12m미만,321.33,395.00,202311,17,"53,000",-,-,1990,원이대로210번길,-,직거래,-
25,경상남도 창원시 의창구 명서동,8*,단독,12m미만,161.58,229.90,202311,17,"31,000",-,-,1988,원이대로178번길,20240104,중개거래,경남 창원의창구
26,경상남도 창원시 의창구 봉곡동,4*,단독,12m미만,192.68,232.80,202311,15,"32,000",-,-,1985,지귀로120번길,20240213,중개거래,경남 창원시의창구
27,경상남도 창원시 의창구 동읍 본포리,3**,단독,8m미만,240.87,495.00,202311,15,"50,000",-,-,2019,동읍로1310번길,-,직거래,-
28,경상남도 창원시 의창구 북면 마산리,5**,단독,8m미만,92.52,268.00,202311,12,"17,000",-,-,1997,신촌본포로186번길,-,중개거래,경남 창원의창구
29,경상남도 창원시 의창구 봉곡동,8*,다가구,,280.32,283.60,202311,11,"67,000",-,-,2012,창이대로217번길,-,중개거래,경남 창원시의창구
30,경상남도 창원시 의창구 명서동,1**,단독,12m미만,94.74,226.10,202311,11,"41,300",-,-,1986,명지로121번길,-,중개거래,경남 창원의창구
31,경상남도 창원시 의창구 봉곡동,8*,다가구,,280.32,283.60,202311,11,"67,000",-,-,1900,창이대로217번길,20240208,중개거래,경남 창원시의창구
