NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산회원구 합성동,8*,단독,8m미만,130.75,141.70,202412,28,"21,500",개인,개인,1982,합성북16길,-,중개거래,경남 창원시 마산회원구
2,경상남도 창원시 마산회원구 합성동,3**,단독,12m미만,73.16,120.30,202412,26,"22,000",개인,개인,1979,합성동13길,-,중개거래,경남 창원시 마산회원구
3,경상남도 창원시 마산회원구 석전동,2**,단독,12m미만,135.06,118.70,202412,22,"19,000",개인,개인,1994,석전동2길,-,중개거래,경남 창원시 마산회원구
4,경상남도 창원시 마산회원구 석전동,2**,단독,8m미만,161.46,149.00,202412,20,"16,500",개인,개인,1993,석전서1길,-,직거래,-
5,경상남도 창원시 마산회원구 양덕동,3*,다가구,8m미만,149.81,142.70,202412,17,"19,000",개인,개인,1977,양덕동16길,-,직거래,-
6,경상남도 창원시 마산회원구 합성동,6*,단독,8m미만,126.67,142.70,202412,11,"12,000",개인,개인,1977,합성북15길,-,중개거래,경남 창원시 마산회원구
7,경상남도 창원시 마산회원구 내서읍 신감리,1***,단독,8m미만,35.62,175.00,202412,05,"10,900",개인,개인,1954,전안길,-,중개거래,경남 창원시 마산회원구
8,경상남도 창원시 마산회원구 내서읍 안성리,7**,단독,8m미만,93.18,122.35,202412,05,"4,000",개인,개인,2001,안성로,-,직거래,-
9,경상남도 창원시 마산회원구 회원동,1**,단독,8m미만,131.37,132.00,202411,29,"21,000",개인,개인,1976,회원동33길,-,직거래,-
10,경상남도 창원시 마산회원구 내서읍 호계리,7**,단독,8m미만,92.01,263.00,202411,26,"22,000",개인,개인,2016,용담로,-,중개거래,경남 창원시 마산회원구
11,경상남도 창원시 마산회원구 회원동,6**,단독,8m미만,137.74,147.30,202411,21,"20,500",개인,개인,2011,회원북26길,-,직거래,-
12,경상남도 창원시 마산회원구 석전동,1**,단독,8m미만,71.51,149.00,202411,19,"7,000",개인,개인,1980,석전북7길,-,직거래,-
13,경상남도 창원시 마산회원구 합성동,1**,다가구,8m미만,138.69,128.20,202411,18,"14,600",개인,개인,1986,합성동12길,-,중개거래,경남 창원시 마산회원구
14,경상남도 창원시 마산회원구 석전동,2**,단독,12m미만,138.65,130.50,202411,10,"16,000",개인,개인,1978,석전동10길,-,중개거래,경남 창원시 마산회원구
15,경상남도 창원시 마산회원구 합성동,7*,단독,8m미만,64.93,117.10,202411,09,"10,500",개인,개인,1982,합성북3길,-,중개거래,경남 창원시 마산회원구
16,경상남도 창원시 마산회원구 회원동,4*,단독,12m미만,120.85,128.00,202411,06,"15,700",개인,개인,1978,회원동15길,-,중개거래,경남 창원시 마산회원구
17,경상남도 창원시 마산회원구 합성동,3**,단독,8m미만,126.51,145.00,202411,06,"22,000",법인,개인,1984,팔용로,-,직거래,-
18,경상남도 창원시 마산회원구 회원동,6**,단독,8m미만,80.08,117.80,202410,29,"7,300",개인,개인,1983,회원북24길,-,중개거래,경남 함안군
19,경상남도 창원시 마산회원구 구암동,1*,단독,8m미만,147.21,147.60,202410,29,"16,000",개인,개인,1981,구암서6길,-,중개거래,경남 창원시 마산회원구
20,경상남도 창원시 마산회원구 양덕동,5*,단독,8m미만,82.71,162.60,202410,24,"32,000",법인,개인,1976,양덕로,-,중개거래,경남 창원시 마산회원구
21,경상남도 창원시 마산회원구 구암동,2**,단독,12m미만,70.34,93.10,202410,22,"14,900",개인,개인,1986,구암북1길,-,직거래,-
22,경상남도 창원시 마산회원구 회원동,1*,단독,8m미만,38.74,109.40,202410,18,"2,000",개인,개인,1973,회원동12길,-,직거래,-
23,경상남도 창원시 마산회원구 구암동,2*,다가구,12m미만,111.89,111.40,202410,18,"20,000",개인,개인,1977,구암남5길,-,직거래,-
24,경상남도 창원시 마산회원구 구암동,2**,단독,12m미만,96.52,134.80,202410,17,"20,000",개인,개인,1983,구암북14길,-,직거래,-
25,경상남도 창원시 마산회원구 양덕동,3*,다가구,8m미만,116.27,146.80,202410,14,"23,000",개인,개인,1977,양덕동18길,-,중개거래,경남 창원시 마산회원구
26,경상남도 창원시 마산회원구 양덕동,4*,다가구,8m미만,146.95,133.40,202410,11,"21,000",법인,개인,1989,양덕동18길,-,중개거래,경남 창원시 마산회원구
27,경상남도 창원시 마산회원구 구암동,9*,단독,25m미만,178.57,161.00,202410,08,"12,000",개인,개인,1980,팔용로,-,직거래,-
28,경상남도 창원시 마산회원구 구암동,2*,다가구,12m미만,150.47,147.40,202410,04,"18,800",개인,개인,1983,구암남7길,-,중개거래,경남 창원시 마산회원구
29,경상남도 창원시 마산회원구 구암동,2**,단독,8m미만,95.98,92.70,202410,04,"10,000",개인,개인,1982,구암북4길,-,직거래,-
30,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,56.68,180.00,202409,30,"35,250",개인,개인,1983,회원남1길,-,중개거래,경남 창원시 마산회원구
31,경상남도 창원시 마산회원구 합성동,7*,단독,12m미만,166.66,149.10,202409,30,"19,900",개인,개인,1979,합성북15길,-,중개거래,경남 창원시 마산회원구
32,경상남도 창원시 마산회원구 회원동,6**,단독,12m미만,177.90,136.20,202409,29,"20,000",개인,개인,1983,회원북13길,-,직거래,-
33,경상남도 창원시 마산회원구 합성동,3**,단독,25m이상,138.84,123.90,202409,26,"43,000",법인,개인,1984,팔용로,-,직거래,-
34,경상남도 창원시 마산회원구 회원동,2*,단독,8m미만,37.55,82.30,202409,22,"5,000",개인,개인,1969,회원동20길,-,중개거래,경남 창원시 마산회원구
35,경상남도 창원시 마산회원구 내서읍 평성리,3*,단독,8m미만,159.86,216.00,202409,19,"26,300",개인,개인,2014,안성로,-,직거래,-
36,경상남도 창원시 마산회원구 회원동,6**,단독,12m미만,131.79,140.90,202409,13,"23,000",개인,개인,1987,교방시장3길,-,중개거래,경남 창원시 마산합포구
37,경상남도 창원시 마산회원구 석전동,1**,단독,12m미만,136.44,130.00,202409,11,"15,000",개인,개인,1983,석전북2길,-,직거래,-
38,경상남도 창원시 마산회원구 구암동,2**,단독,12m미만,216.95,146.00,202409,09,"15,250",개인,개인,1989,구암북5길,-,직거래,-
39,경상남도 창원시 마산회원구 회원동,6*,단독,8m미만,60.50,152.40,202409,06,"9,600",개인,개인,1973,회원동29길,20240920,중개거래,경남 창원시 마산회원구
40,경상남도 창원시 마산회원구 회원동,6*,단독,8m미만,60.50,152.40,202409,06,"9,600",개인,개인,1973,회원동29길,-,중개거래,경남 창원시 마산회원구
41,경상남도 창원시 마산회원구 구암동,1***,단독,12m미만,140.63,139.30,202409,03,"14,900",개인,개인,1987,구암북1길,-,중개거래,경남 창원시 마산회원구
42,경상남도 창원시 마산회원구 회성동,1**,단독,8m미만,46.28,104.70,202408,28,"6,000",개인,개인,1977,회성북7길,-,중개거래,경남 창원시 마산회원구
43,경상남도 창원시 마산회원구 두척동,6**,단독,8m미만,67.67,142.80,202408,19,"11,180",개인,개인,1981,회성북9길,-,직거래,-
44,경상남도 창원시 마산회원구 양덕동,2*,단독,12m미만,111.38,99.20,202408,14,"10,500",개인,개인,1991,양덕북5길,-,직거래,-
45,경상남도 창원시 마산회원구 합성동,3**,단독,25m미만,878.85,348.50,202408,09,"91,000",개인,개인,1981,합성시장길,-,직거래,-
46,경상남도 창원시 마산회원구 내서읍 안성리,4**,단독,12m미만,69.05,189.00,202408,08,"7,000",개인,개인,1923,안성로,-,직거래,-
47,경상남도 창원시 마산회원구 내서읍 상곡리,2**,단독,8m미만,84.72,340.00,202408,02,"20,950",개인,개인,2014,상곡로,-,직거래,-
48,경상남도 창원시 마산회원구 봉암동,5**,단독,8m미만,29.70,40.00,202408,01,"1,800",개인,개인,1983,양덕동6길,-,직거래,-
49,경상남도 창원시 마산회원구 회원동,6**,단독,8m미만,143.58,141.70,202408,01,"15,000",개인,개인,1981,회원북28길,-,중개거래,경남 창원시 마산회원구
50,경상남도 창원시 마산회원구 내서읍 신감리,5**,단독,8m미만,89.02,291.00,202407,31,"26,000",개인,개인,2013,광려로,-,직거래,-
51,경상남도 창원시 마산회원구 합성동,1**,단독,12m미만,105.12,108.80,202407,30,"32,000",개인,개인,1977,합성시장길,-,중개거래,경남 창원시 마산회원구
52,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,78.71,143.00,202407,29,"8,000",개인,개인,1978,합성남18길,-,직거래,-
53,경상남도 창원시 마산회원구 양덕동,2*,단독,8m미만,63.44,107.40,202407,27,"11,000",개인,개인,1983,양덕동15길,-,중개거래,경남 창원시 성산구
54,경상남도 창원시 마산회원구 내서읍 원계리,5**,단독,8m미만,70.06,152.00,202407,26,"10,500",개인,개인,1951,원계증산길,-,중개거래,경남 창원시 마산회원구
55,경상남도 창원시 마산회원구 합성동,1**,단독,8m미만,93.26,146.30,202407,25,"26,250",공공기관,개인,1983,합성동12길,-,직거래,-
56,경상남도 창원시 마산회원구 합성동,1**,단독,12m미만,97.10,136.00,202407,24,"28,076",공공기관,개인,1983,합성동12길,-,직거래,-
57,경상남도 창원시 마산회원구 회원동,6**,단독,25m이상,109.00,105.10,202407,24,"19,600",개인,개인,1982,무학로,-,중개거래,경남 창원시 마산회원구
58,경상남도 창원시 마산회원구 회원동,4**,단독,8m미만,144.02,148.00,202407,17,"44,000",법인,개인,1977,북성로,-,직거래,-
59,경상남도 창원시 마산회원구 구암동,1***,단독,25m미만,71.64,121.10,202407,16,"15,000",개인,개인,1984,금강로,-,직거래,-
60,경상남도 창원시 마산회원구 회성동,4**,단독,12m미만,78.55,165.80,202407,15,"35,000",개인,개인,1980,회성시장1길,-,중개거래,경남 창원시 마산회원구
61,경상남도 창원시 마산회원구 합성동,2**,단독,8m미만,113.82,183.80,202407,15,"18,000",개인,개인,1978,합성남8길,-,직거래,-
62,경상남도 창원시 마산회원구 구암동,*,단독,8m미만,52.69,98.20,202407,15,"15,000",개인,개인,1980,구암서9길,-,중개거래,경남 창원시마산회원구
63,경상남도 창원시 마산회원구 회원동,6*,단독,8m미만,163.73,406.60,202407,12,"25,000",개인,개인,1974,회원동25길,-,직거래,-
64,경상남도 창원시 마산회원구 내서읍 상곡리,2**,다가구,8m미만,49.56,192.02,202407,09,"9,102",개인,개인,2016,상곡안길,-,직거래,-
65,경상남도 창원시 마산회원구 내서읍 상곡리,2**,다가구,8m미만,54.72,211.98,202407,09,"10,048",개인,개인,2016,상곡안길,-,직거래,-
66,경상남도 창원시 마산회원구 내서읍 상곡리,2**,다가구,8m미만,54.72,211.98,202407,03,"10,048",개인,개인,2016,상곡안길,-,직거래,-
67,경상남도 창원시 마산회원구 내서읍 상곡리,2**,다가구,8m미만,49.56,192.02,202407,03,"9,102",개인,개인,2016,상곡안길,-,직거래,-
68,경상남도 창원시 마산회원구 구암동,1***,단독,8m미만,83.47,128.90,202407,03,"18,000",개인,개인,1983,소계천서길,-,중개거래,경남 창원시의창구
