NO,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 진해구 충의동,3*,단독,12m미만,82.90,89.30,202412,30,"9,000",개인,개인,2012,중원동로10번길,-,직거래,-
2,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,448.02,243.30,202412,27,"35,000",개인,개인,2009,용재로29번길,-,중개거래,부산 북구
3,경상남도 창원시 진해구 충의동,5*,단독,12m미만,72.66,152.10,202412,23,"8,500",개인,개인,1940,중원동로10번길,-,중개거래,경남 창원시 진해구
4,경상남도 창원시 진해구 경화동,1***,단독,12m미만,79.80,160.60,202412,21,"12,500",개인,개인,1977,경화로37번길,-,중개거래,경남 창원시 성산구
5,경상남도 창원시 진해구 이동,6**,단독,8m미만,162.35,194.30,202412,21,"26,700",개인,개인,1994,충장로442번길,-,중개거래,경남 창원시 진해구
6,경상남도 창원시 진해구 석동,1**,다가구,8m미만,422.29,238.20,202412,17,"79,500",개인,개인,2014,진해대로874번길,-,중개거래,경남 창원시 성산구
7,경상남도 창원시 진해구 자은동,3**,다가구,25m미만,373.65,429.00,202412,13,"82,000",법인,개인,2003,자은로88번길,-,직거래,-
8,경상남도 창원시 진해구 경화동,6**,단독,8m미만,102.87,304.00,202412,12,"38,000",개인,개인,1945,충장로321번길,-,중개거래,부산 중구
9,경상남도 창원시 진해구 경화동,1***,단독,8m미만,135.65,183.60,202412,11,"15,000",개인,개인,1987,중초로9번길,-,중개거래,경남 창원시 진해구
10,경상남도 창원시 진해구 이동,6**,단독,8m미만,168.80,202.10,202412,10,"30,250",개인,개인,1997,충장로442번길,-,중개거래,경남 창원시 진해구
11,경상남도 창원시 진해구 여좌동,4*,단독,8m미만,79.21,99.40,202412,07,"7,900",개인,개인,1980,여좌로114번길,-,중개거래,경남 창원시 진해구
12,경상남도 창원시 진해구 여좌동,8**,단독,8m미만,77.31,132.30,202412,07,"11,300",개인,개인,2003,충장로207번길,-,중개거래,경남 창원시 진해구
13,경상남도 창원시 진해구 여좌동,8**,단독,8m미만,37.69,62.10,202411,30,"5,000",개인,개인,1952,충장로207번길,-,직거래,-
14,경상남도 창원시 진해구 이동,3**,단독,8m미만,47.33,89.00,202411,29,"11,000",개인,개인,1988,충장로,-,중개거래,경남 창원시 진해구
15,경상남도 창원시 진해구 안골동,6**,단독,8m미만,83.61,245.00,202411,26,"22,000",개인,개인,1993,안골로220번가길,-,직거래,-
16,경상남도 창원시 진해구 풍호동,2**,단독,8m미만,119.83,105.00,202411,25,"14,100",개인,개인,1990,천자로373번길,-,직거래,-
17,경상남도 창원시 진해구 자은동,5**,다가구,25m이상,135.45,144.00,202411,25,"55,500",법인,개인,1989,진해대로989번길,-,직거래,-
18,경상남도 창원시 진해구 자은동,5**,단독,25m이상,91.34,177.00,202411,25,"63,800",법인,개인,1989,진해대로989번길,-,직거래,-
19,경상남도 창원시 진해구 자은동,8**,단독,12m미만,115.34,283.00,202411,25,"32,300",개인,개인,1980,자은로6번길,-,중개거래,경남 창원시 진해구
20,경상남도 창원시 진해구 자은동,7**,단독,12m미만,97.92,528.00,202411,24,"142,000",법인,개인,1997,풍호로63번길,-,직거래,-
21,경상남도 창원시 진해구 경화동,9**,단독,8m미만,119.96,80.00,202411,23,"17,200",개인,개인,2012,경화로26번길,-,중개거래,경남 창원시 진해구
22,경상남도 창원시 진해구 제덕동,1**,단독,8m미만,24.12,36.00,202411,22,"3,900",개인,개인,1994,제덕로179번안길,-,중개거래,경남 창원시 진해구
23,경상남도 창원시 진해구 자은동,9**,단독,12m미만,160.92,194.60,202411,20,"30,000",개인,개인,1996,덕산로61번길,-,중개거래,경남 창원시 진해구
24,경상남도 창원시 진해구 경화동,1**,단독,8m미만,78.85,152.00,202411,18,"16,521",법인,개인,1938,충장로321번길,-,직거래,-
25,경상남도 창원시 진해구 경화동,1***,단독,12m미만,50.93,101.40,202411,11,"5,500",개인,개인,1962,중초로9번길,-,중개거래,경남 창원시 진해구
26,경상남도 창원시 진해구 용원동,1***,다가구,12m미만,463.07,258.50,202411,05,"75,500",개인,개인,2015,용재로67번길,-,중개거래,경남 창원시 진해구
27,경상남도 창원시 진해구 이동,6*,단독,8m미만,122.98,219.00,202411,05,"29,000",개인,개인,1988,이동로54번길,-,중개거래,경남 창원시 진해구
28,경상남도 창원시 진해구 경화동,1***,단독,8m미만,59.23,190.50,202411,03,"12,500",개인,개인,1998,경화로7번길,-,중개거래,경남 창원시 진해구
29,경상남도 창원시 진해구 경화동,1***,단독,8m미만,129.36,137.10,202411,01,"10,200",개인,개인,1979,태백로,-,중개거래,경남 창원시 진해구
30,경상남도 창원시 진해구 회현동,1*,단독,12m미만,71.37,95.90,202411,01,"5,500",개인,개인,1938,편백로7번길,-,직거래,-
31,경상남도 창원시 진해구 안골동,3**,다가구,12m미만,367.82,184.60,202410,30,"58,000",개인,개인,2014,안청로4번길,-,중개거래,경남 창원시 진해구
32,경상남도 창원시 진해구 제황산동,2*,단독,12m미만,85.21,113.00,202410,29,"6,100",개인,개인,1980,인사로,-,중개거래,경남 창원시 성산구
33,경상남도 창원시 진해구 가주동,6**,단독,8m미만,130.64,303.00,202410,26,"18,000",개인,개인,1996,가주로,-,직거래,-
34,경상남도 창원시 진해구 이동,5*,단독,8m미만,57.72,113.00,202410,22,"9,500",개인,개인,1979,이동로64번길,-,중개거래,경남 창원시 진해구
35,경상남도 창원시 진해구 풍호동,8**,단독,12m미만,263.74,265.90,202410,18,"63,800",개인,개인,2006,천자로413번길,-,중개거래,경남 창원시 진해구
36,경상남도 창원시 진해구 이동,6**,단독,8m미만,168.80,202.10,202410,15,"30,250",개인,개인,1997,충장로442번길,20241206,중개거래,경남 창원시 진해구
37,경상남도 창원시 진해구 풍호동,7**,다가구,8m미만,466.09,268.00,202410,09,"68,000",개인,개인,2011,덕산로36번길,-,직거래,-
38,경상남도 창원시 진해구 여좌동,1**,단독,8m미만,132.17,143.20,202410,07,"9,240",개인,개인,1979,여좌천로,-,직거래,-
39,경상남도 창원시 진해구 경화동,1***,단독,8m미만,61.80,144.90,202410,05,"10,000",개인,개인,1971,진해대로583번길,-,중개거래,경남 창원시 진해구
40,경상남도 창원시 진해구 이동,5**,단독,8m미만,180.54,216.90,202409,30,"26,700",개인,개인,1994,충장로406번길,-,중개거래,경남 창원시 진해구
41,경상남도 창원시 진해구 석동,3**,단독,12m미만,131.60,311.00,202409,28,"23,200",개인,개인,1970,돌리로9번길,-,중개거래,대구 수성구
42,경상남도 창원시 진해구 안골동,8**,단독,8m미만,78.00,231.30,202409,28,"26,100",개인,개인,2002,안골로108번길,-,중개거래,경남 창원시 진해구
43,경상남도 창원시 진해구 석동,1**,다가구,8m미만,422.29,238.20,202409,28,"79,500",개인,개인,2014,진해대로874번길,20241217,중개거래,경남 창원시 성산구
44,경상남도 창원시 진해구 석동,6**,단독,12m미만,360.95,232.60,202409,28,"58,000",개인,개인,2011,석동로59번길,-,중개거래,경남 창원시 진해구
45,경상남도 창원시 진해구 경화동,7**,단독,12m미만,117.37,172.00,202409,28,"32,000",개인,개인,1990,병암북로4번길,-,직거래,-
46,경상남도 창원시 진해구 이동,6**,단독,12m미만,119.82,200.90,202409,27,"19,000",개인,개인,1992,충장로442번길,-,중개거래,경남 창원시 진해구
47,경상남도 창원시 진해구 여좌동,8**,단독,8m미만,137.01,142.90,202409,27,"18,000",개인,개인,1991,태백서로13번길,-,직거래,-
48,경상남도 창원시 진해구 여좌동,9**,단독,-,80.64,269.30,202409,26,"33,000",개인,개인,1985,여좌로96번길,-,중개거래,경남 창원시 진해구
49,경상남도 창원시 진해구 경화동,1***,단독,8m미만,55.11,112.20,202409,20,"5,000",개인,개인,1977,진해대로,-,직거래,-
50,경상남도 창원시 진해구 석동,8*,다가구,25m미만,399.02,211.30,202409,14,"69,000",개인,개인,2012,동진로76번길,-,중개거래,경남 창원시 진해구
51,경상남도 창원시 진해구 명동,7*,단독,25m미만,23.14,169.00,202409,08,"22,000",개인,개인,1905,명제로324번길,-,중개거래,경남 창원시 진해구
