시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,58.32,201607,13,"         7,000",13,1994,진산대로 437
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,84.36,201701,21,"         9,000",5,1994,진산대로 437
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,57.24,201702,25,"         6,000",2,1994,진산대로 437
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,57.98,201706,2,"         6,000",6,1994,진산대로 437
경상남도 창원의창구 대산면 가술리,108-1,0108,0001,해강그린,57.24,201706,28,"         7,000",9,1994,진산대로 437
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201607,5,"        25,700",4,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,120.93,201608,3,"        28,800",9,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201610,22,"        24,800",10,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,120.93,201612,2,"        28,000",1,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201612,6,"        25,400",12,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201702,21,"        24,300",6,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201702,25,"        24,600",11,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,120.93,201704,3,"        25,500",4,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,84.87,201706,10,"        24,900",6,1999,창원대로 548
경상남도 창원의창구 대원동,80-1,0080,0001,대동1차황토방,120.93,201706,12,"        24,300",4,1999,창원대로 548
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201607,18,"        29,000",11,1999,창원대로 538
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201607,20,"        34,800",2,1999,창원대로 538
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201610,1,"        29,500",6,1999,창원대로 538
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201610,26,"        30,800",9,1999,창원대로 538
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201612,23,"        30,000",2,1999,창원대로 538
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201701,13,"        32,800",3,1999,창원대로 538
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201701,19,"        28,000",11,1999,창원대로 538
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201704,18,"        23,000",4,1999,창원대로 538
경상남도 창원의창구 대원동,80,0080,0000,대동2,145.9807,201705,29,"        31,200",2,1999,창원대로 538
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201607,11,"        12,500",14,1997,삼동로 121
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201607,19,"        13,300",2,1997,삼동로 121
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201607,25,"        13,650",9,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201607,30,"        13,600",11,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201608,17,"        13,500",7,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201608,26,"        14,400",8,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201608,28,"        13,600",13,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201608,29,"        12,000",5,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201608,31,"        14,000",5,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201609,1,"        13,500",4,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201609,6,"        13,600",10,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201609,9,"        14,100",2,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201609,13,"        13,000",9,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201609,23,"        12,250",12,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201609,28,"        13,500",13,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201610,4,"        14,000",7,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201610,6,"        12,000",12,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201610,6,"        13,700",10,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201610,22,"        13,450",10,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201610,25,"        14,200",3,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201610,30,"        15,800",11,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201611,7,"        13,500",10,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201611,14,"        13,700",11,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201701,3,"        13,700",4,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201701,11,"        13,300",11,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201701,16,"        13,000",8,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201701,17,"        13,800",5,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201701,23,"        14,000",9,1997,삼동로 125
경상남도 창원의창구 대원동,81,0081,0000,대원파크빌,52.92,201702,7,"        12,700",4,1997,삼동로 125
