시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원성산구 가음동,20-4,0020,0004,대도,45.06,201507,1,"        21,000",4,1988,대정로 34
경상남도 창원성산구 가음동,20-4,0020,0004,대도,45.06,201509,25,"        22,350",1,1988,대정로 34
경상남도 창원성산구 가음동,20-4,0020,0004,대도,45.06,201604,26,"        17,000",5,1988,대정로 34
경상남도 창원성산구 가음동,24-2,0024,0002,대동,57.35,201507,24,"        24,500",2,1991,대정로 11
경상남도 창원성산구 가음동,24-2,0024,0002,대동,57.35,201604,24,"        23,000",1,1991,대정로 11
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,31.29,201507,20,"        15,400",5,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,37.54,201507,23,"        16,000",3,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,37.54,201509,16,"        16,500",5,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,31.29,201509,16,"        13,900",1,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,37.86,201509,22,"        16,500",3,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,37.86,201510,19,"        17,000",1,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,31.29,201510,21,"        13,300",3,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,37.54,201510,24,"        17,500",4,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,37.86,201511,20,"        14,000",1,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,37.86,201512,5,"        15,200",2,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-8,0012,0008,동양물산기업(주)사원,37.54,201512,29,"        15,000",2,1988,가음정로43번길 10-21
경상남도 창원성산구 가음동,12-13,0012,0013,두산중공업사원,52.2,201507,8,"        24,000",5,1980,가음정로43번길 10-5
경상남도 창원성산구 가음동,12-13,0012,0013,두산중공업사원,40.12,201508,14,"        19,000",5,1980,가음정로43번길 10-5
경상남도 창원성산구 가음동,12-13,0012,0013,두산중공업사원,40.12,201508,19,"        16,450",4,1980,가음정로43번길 10-5
