시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 가포동,508-47,0508,0047,건화그린맨션,83.29,201609,11,"        10,100",6,1992,가포로 176-45
경상남도 창원마산합포구 가포동,508-47,0508,0047,건화그린맨션,83.29,201609,23,"        13,100",2,1992,가포로 176-45
경상남도 창원마산합포구 가포동,508-47,0508,0047,건화그린맨션,77.15,201610,24,"        10,000",1,1992,가포로 176-45
경상남도 창원마산합포구 교방동,281-2,0281,0002,다조맨션,42,201607,1,"         8,800",4,1997,교방동1길 64
경상남도 창원마산합포구 교방동,281-2,0281,0002,다조맨션,66.72,201609,3,"        13,100",6,1997,교방동1길 64
경상남도 창원마산합포구 교방동,281-2,0281,0002,다조맨션,57.45,201703,13,"        10,000",4,1997,교방동1길 64
경상남도 창원마산합포구 교방동,170-3,0170,0003,대림하이츠빌라,144.09,201705,25,"        21,500",6,1992,문신길 7
경상남도 창원마산합포구 교방동,354-3,0354,0003,대양파크맨션,72,201703,27,"        13,300",3,1986,회원서10길 87
경상남도 창원마산합포구 교방동,510,0510,0000,무학산벽산블루밍1단지,84.9935,201607,8,"        28,200",15,2009,교방시장2길 9
경상남도 창원마산합포구 교방동,510,0510,0000,무학산벽산블루밍1단지,84.9935,201611,26,"        30,400",9,2009,교방시장2길 9
경상남도 창원마산합포구 교방동,510,0510,0000,무학산벽산블루밍1단지,84.9918,201612,3,"        28,600",11,2009,교방시장2길 9
경상남도 창원마산합포구 교방동,510,0510,0000,무학산벽산블루밍1단지,84.9308,201612,14,"        27,000",1,2009,교방시장2길 9
경상남도 창원마산합포구 교방동,510,0510,0000,무학산벽산블루밍1단지,106.3314,201704,6,"        34,800",5,2009,교방시장2길 9
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,73.8661,201607,8,"        28,000",14,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201607,18,"        37,000",11,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,201608,17,"        28,500",11,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,59.8613,201608,25,"        24,600",7,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,59.8613,201609,22,"        24,900",10,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201610,6,"        33,200",2,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,59.8613,201610,18,"        24,500",13,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201610,19,"        36,000",19,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201610,26,"        38,000",15,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,59.8613,201611,7,"        24,900",14,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,59.8613,201611,9,"        25,000",14,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,73.8661,201611,22,"        26,500",7,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,134.402,201611,23,"        34,800",2,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9918,201611,23,"        28,500",10,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201612,2,"        36,000",17,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,201612,5,"        29,100",8,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,84.9935,201612,13,"        28,500",7,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201702,3,"        34,000",14,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,122.2339,201702,20,"        38,000",9,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,73.8661,201703,3,"        28,100",10,2009,노산서18길 142
경상남도 창원마산합포구 교방동,355-1,0355,0001,무학산벽산블루밍2단지,73.8661,201704,27,"        27,900",18,2009,노산서18길 142
경상남도 창원마산합포구 교방동,377-1,0377,0001,배진,45.02,201609,27,"        10,200",2,1987,교방서4길 18
경상남도 창원마산합포구 교방동,184-11,0184,0011,서원,49.5,201706,9,"         9,500",4,1984,천하장사로 14
경상남도 창원마산합포구 교방동,379-9,0379,0009,수경,60.75,201703,2,"        11,900",3,1985,교방서5길 45
경상남도 창원마산합포구 교방동,379-5,0379,0005,수영,54.9,201612,7,"         9,300",1,1986,무학로 504
경상남도 창원마산합포구 교방동,379-5,0379,0005,수영,50.94,201702,13,"         8,300",3,1986,무학로 504
경상남도 창원마산합포구 교방동,379-5,0379,0005,수영,54.9,201702,17,"         6,000",2,1986,무학로 504
경상남도 창원마산합포구 교방동,379-5,0379,0005,수영,50.94,201705,12,"         7,900",3,1986,무학로 504
경상남도 창원마산합포구 교방동,378-9,0378,0009,신우빌라,67.28,201612,19,"        10,200",6,1992,교방동1길 19
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.15,201608,4,"        12,250",2,1984,교방동1길 27
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.06,201611,4,"         7,500",1,1984,교방동1길 27
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.15,201611,22,"        12,200",2,1984,교방동1길 27
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.33,201701,20,"         6,000",5,1984,교방동1길 27
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.15,201703,17,"         9,600",1,1984,교방동1길 27
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.33,201705,1,"         9,500",1,1984,교방동1길 27
경상남도 창원마산합포구 교방동,377-7,0377,0007,청송,59.15,201705,31,"         8,800",3,1984,교방동1길 27
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201607,11,"        34,000",13,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201607,29,"        35,000",17,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201608,1,"        34,500",17,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9268,201608,29,"        28,250",21,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201608,31,"        33,500",8,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9626,201608,31,"        27,500",3,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,112.1157,201609,3,"        39,700",10,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201609,4,"        30,700",2,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9626,201609,8,"        28,400",8,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201609,8,"        34,400",6,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,112.1157,201609,9,"        40,800",14,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201609,12,"        32,900",2,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201609,18,"        33,600",3,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9626,201609,23,"        27,200",3,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,59.9626,201609,30,"        29,000",14,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201609,30,"        32,500",4,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,105.8828,201610,10,"        39,500",24,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201610,16,"        33,800",8,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201610,24,"        34,000",4,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,105.8828,201610,24,"        39,700",24,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,112.1157,201610,29,"        38,200",6,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201611,7,"        30,100",1,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201611,9,"        34,700",14,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,112.1157,201611,14,"        38,000",4,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,128.3853,201611,15,"        39,300",1,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,112.1157,201611,21,"        38,500",4,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201612,26,"        34,100",23,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,112.1157,201612,30,"        41,000",25,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201701,26,"        33,000",9,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,112.1157,201702,25,"        38,200",5,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201703,6,"        32,300",6,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201703,10,"        33,450",12,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9785,201703,14,"        28,000",13,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,112.1157,201704,13,"        41,000",13,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201704,28,"        34,000",18,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,128.3853,201705,25,"        42,100",18,2011,노산서18길 19
경상남도 창원마산합포구 교원동,46,0046,0000,무학자이,84.9877,201706,3,"        31,000",11,2011,노산서18길 19
경상남도 창원마산합포구 구산면 수정리,794-3,0794,0003,대신빌라,84.76,201704,11,"         6,600",2,1996,구산로 603
경상남도 창원마산합포구 구산면 수정리,620,0620,0000,들국화,80.22,201608,16,"         5,500",1,1990,구산로 589
경상남도 창원마산합포구 남성동,246-1,0246,0001,한백마리나타운,84.78,201706,30,"        17,400",17,1997,해안대로 331
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201608,19,"        16,250",12,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,59.64,201608,22,"        24,000",8,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.63,201701,20,"        14,975",16,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201703,8,"        15,600",9,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201703,20,"        15,000",18,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201703,22,"        14,200",5,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201704,14,"        14,500",5,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.63,201705,11,"        15,100",10,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201706,4,"        14,400",13,2004,월영북15길 21
경상남도 창원마산합포구 대내동,7-14,0007,0014,대내주공그린빌,45.32,201706,10,"        14,950",15,2004,월영북15길 21
경상남도 창원마산합포구 대성동1가,5-7,0005,0007,반월동르메이에르,45.34,201703,1,"         9,500",6,2004,반월북5길 49
경상남도 창원마산합포구 대성동1가,5-7,0005,0007,반월동르메이에르,65.19,201704,26,"        11,000",6,2004,반월북5길 49
경상남도 창원마산합포구 대외동,1,0001,0000,배진파크,84.77,201702,21,"        16,200",5,1992,문화남4길 38
경상남도 창원마산합포구 대외동,6-2,0006,0002,한백가든빌라,147.75,201701,15,"        23,000",2,1995,문화남6길 36
경상남도 창원마산합포구 대외동,6-2,0006,0002,한백가든빌라,147.75,201702,1,"        22,700",3,1995,문화남6길 36
경상남도 창원마산합포구 대창동,67-3,0067,0003,중앙캐스빌,84.9784,201703,7,"        18,600",2,2004,월영북로 66
경상남도 창원마산합포구 동성동,316,0316,0000,새롬미리내,84.97,201607,18,"        23,000",7,2005,수산1길 181
경상남도 창원마산합포구 동성동,316,0316,0000,새롬미리내,84.97,201611,8,"        21,400",3,2005,수산1길 181
경상남도 창원마산합포구 동성동,316,0316,0000,새롬미리내,84.97,201705,13,"        21,500",11,2005,수산1길 181
경상남도 창원마산합포구 동성동,316,0316,0000,새롬미리내,84.97,201706,8,"        20,500",7,2005,수산1길 181
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,2,"        18,940",15,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,6,"        22,650",5,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,6,"        23,340",14,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,8,"        23,340",12,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,8,"        23,340",14,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,9,"        24,163",17,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,22,"        24,190",20,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,22,"        23,340",13,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,23,"        24,190",19,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,24,"        23,640",12,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,25,"        23,340",13,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,27,"        22,950",3,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,29,"        24,190",18,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,29,"        23,340",15,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,29,"        24,190",16,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,29,"        23,360",10,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201612,30,"        23,640",11,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201702,6,"        23,890",20,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201702,22,"        23,060",10,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201703,3,"        23,060",9,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201704,5,"        23,800",17,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,7-1,0007,0001,두월동상우the헤라우스,68.8602,201704,14,"        23,500",18,2016,문화북1길 65
경상남도 창원마산합포구 두월동2가,8-5,0008,0005,무학빌라맨션,84.51,201609,7,"        14,100",3,1985,고운로 10
경상남도 창원마산합포구 두월동2가,8-5,0008,0005,무학빌라맨션,77.76,201612,16,"        16,400",5,1985,고운로 10
경상남도 창원마산합포구 두월동2가,8-5,0008,0005,무학빌라맨션,84.51,201702,7,"        16,000",3,1985,고운로 10
경상남도 창원마산합포구 문화동,2-2,0002,0002,한아름맨션,185.64,201701,13,"        24,500",1,1984,고운로 68
경상남도 창원마산합포구 문화동,6-3,0006,0003,호수그린빌,82.8,201705,1,"        14,000",2,2003,문화북2길 7
경상남도 창원마산합포구 부림동,105-4,0105,0004,대흥세브르,53.46,201610,18,"        13,400",4,2012,남성로 49
경상남도 창원마산합포구 부림동,105-4,0105,0004,대흥세브르,53.19,201610,26,"        13,800",4,2012,남성로 49
경상남도 창원마산합포구 부림동,105-4,0105,0004,대흥세브르,53.19,201611,9,"        14,500",7,2012,남성로 49
경상남도 창원마산합포구 부림동,105-4,0105,0004,대흥세브르,53.19,201703,28,"        14,250",5,2012,남성로 49
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.97,201608,30,"        15,900",15,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,91.02,201609,5,"        19,500",8,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,84.72,201609,22,"        15,800",12,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,84.42,201610,16,"        18,400",13,1996,합포동5길 22
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.07,201611,14,"        14,500",11,1996,합포동5길 22
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.97,201703,25,"        13,500",3,1996,합포동5길 23
경상남도 창원마산합포구 산호동,332,0332,0000,국제비치타운,59.07,201704,23,"        15,100",9,1996,합포동5길 22
경상남도 창원마산합포구 산호동,10-29,0010,0029,대한맨션,67.615,201609,30,"        15,250",5,1985,산호북5길 26
경상남도 창원마산합포구 산호동,10-29,0010,0029,대한맨션,67.615,201610,6,"        13,000",12,1985,산호북5길 26
경상남도 창원마산합포구 산호동,10-29,0010,0029,대한맨션,84.895,201610,26,"        15,800",10,1985,산호북5길 26
경상남도 창원마산합포구 산호동,10-29,0010,0029,대한맨션,67.615,201612,25,"        12,400",2,1985,산호북5길 26
경상남도 창원마산합포구 산호동,10-29,0010,0029,대한맨션,84.895,201705,10,"        14,500",12,1985,산호북5길 26
경상남도 창원마산합포구 산호동,209-6,0209,0006,무궁화,59.17,201607,11,"         7,600",2,1982,해안대로 553
경상남도 창원마산합포구 산호동,209-6,0209,0006,무궁화,53.88,201704,19,"         8,900",4,1982,해안대로 553
경상남도 창원마산합포구 산호동,209-6,0209,0006,무궁화,53.88,201704,25,"         8,200",4,1982,해안대로 553
경상남도 창원마산합포구 산호동,336-8,0336,0008,무학,81.16,201607,18,"        14,000",2,1979,회원천북길 545
