시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,1335,1335,0000,경남(1335),48.015,201912,27,"        11,500",2,1985,소계천서길 49
경상남도 창원마산회원구 구암동,1335,1335,0000,경남(1335),48.015,202001,11,"        10,000",2,1985,소계천서길 49
경상남도 창원마산회원구 구암동,1335,1335,0000,경남(1335),48.015,202003,5,"         7,500",5,1985,소계천서길 49
경상남도 창원마산회원구 구암동,28-5,0028,0005,경남(28-5),42.81,201908,26,"         6,000",1,1980,구암남3길 33
경상남도 창원마산회원구 구암동,28-5,0028,0005,경남(28-5),42.81,201912,7,"         5,000",5,1980,구암남3길 33
경상남도 창원마산회원구 구암동,28-5,0028,0005,경남(28-5),42.81,202004,3,"         6,300",2,1980,구암남3길 33
경상남도 창원마산회원구 구암동,18-2,0018,0002,교직원,66.69,202002,1,"         8,000",5,1977,구암서5길 15
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201908,5,"        16,000",21,1998,구암남16길 54
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201908,29,"        18,000",11,1998,구암남16길 54
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201909,5,"        10,800",20,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201909,16,"        12,500",4,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201909,16,"        12,500",15,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201909,21,"        13,000",11,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,58.87,201910,28,"        12,500",14,1998,구암남14길 18
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201910,30,"        12,100",18,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201911,6,"        15,800",8,1998,구암남14길 18
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201911,7,"        12,500",5,1998,구암남14길 18
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201911,13,"        16,960",16,1998,구암남16길 54
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201911,14,"        17,500",16,1998,구암남16길 54
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201911,14,"        11,000",1,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,201912,7,"        13,000",8,1998,구암남14길 13
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,84.99,201912,26,"        18,000",14,1998,구암남16길 54
경상남도 창원마산회원구 구암동,87,0087,0000,구암대동,59.925,202001,3,"        12,900",1,1998,구암남16길 54
