NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산합포구 월영동,736,0736,0000,월영동SK오션뷰,73.9220,202212,31,"41,000",-,26,-,-,2017,월영남12길 12,-,중개거래,경남 창원마산합포구 경남 창원의창구,-,아파트
2,경상남도 창원시 마산합포구 중앙동3가,1-27,0001,0027,연화,37.2200,202212,31,"4,050",-,4,-,-,1980,중앙북6길 109,-,중개거래,경남 창원마산합포구,-,아파트
3,경상남도 창원시 마산합포구 진동면 진동리,424,0424,0000,마산진동협성엠파이어,84.9789,202212,31,"22,000",-,14,-,-,2014,진북산업로 55,-,중개거래,경남 창원마산합포구,-,아파트
4,경상남도 창원시 마산합포구 교원동,46,0046,0000,무학자이,84.9785,202212,30,"31,500",-,22,-,-,2011,노산서18길 19,-,중개거래,경남 창원마산합포구,-,아파트
5,경상남도 창원시 마산합포구 월영동,738,0738,0000,마린애시앙부영,84.9463,202212,30,"37,000",-,17,-,-,2019,가포순환로 33,-,중개거래,경남 창원마산합포구,-,아파트
6,경상남도 창원시 마산합포구 오동동,28-1,0028,0001,오동동다:숲,45.1163,202212,30,"14,500",-,5,-,-,2017,오동북3길 5,-,직거래,-,-,아파트
7,경상남도 창원시 마산합포구 월영동,738,0738,0000,마린애시앙부영,84.9883,202212,30,"36,000",-,18,-,-,2019,가포순환로 33,-,중개거래,경남 창원마산합포구,-,아파트
8,경상남도 창원시 마산합포구 월영동,710-1,0710,0001,현대5,84.9400,202212,30,"19,000",-,1,-,-,1998,월영마을로 52,-,중개거래,경남 창원마산합포구,-,아파트
9,경상남도 창원시 마산합포구 월영동,738,0738,0000,마린애시앙부영,124.5005,202212,30,"55,000",-,5,-,-,2019,가포순환로 33,-,중개거래,경남 창원마산합포구,-,아파트
10,경상남도 창원시 마산합포구 현동,608,0608,0000,창원현동하늘채,59.9790,202212,30,"17,300",-,2,-,-,2018,현동9길 13,-,직거래,-,-,아파트
11,경상남도 창원시 마산합포구 진북면 지산리,221-7,0221,0007,성원,69.7600,202212,29,"4,600",-,4,-,-,1992,지산2길 31,-,직거래,-,-,아파트
12,경상남도 창원시 마산합포구 진동면 진동리,492,0492,0000,성원맨션,75.3300,202212,28,"8,450",-,4,-,-,1989,진북산업로 10,20230207,중개거래,경남 창원마산합포구,-,아파트
13,경상남도 창원시 마산합포구 교방동,379-5,0379,0005,수영,54.9000,202212,28,"13,000",-,5,-,-,1986,무학로 504,-,직거래,-,-,아파트
