NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 의창구 명서동,27,0027,0000,명곡두산위브,137.8600,202212,30,"57,000",-,12,-,-,2010,도계로 135,-,중개거래,경남 창원의창구,-,아파트
2,경상남도 창원시 의창구 북면 무동리,155-1,0155,0001,창원무동STX칸2차,84.9900,202212,30,"20,000",-,2,-,-,2015,무동로267번길 10,-,중개거래,경남 창원의창구,-,아파트
3,경상남도 창원시 의창구 팔용동,122,0122,0000,벽산블루밍B,84.9050,202212,30,"46,400",-,9,-,-,1999,반계로 104-21,-,중개거래,경남 창원의창구,-,아파트
4,경상남도 창원시 의창구 중동,786,0786,0000,창원중동유니시티3단지,84.7886,202212,30,"62,000",-,25,-,-,2019,중동로 77,-,중개거래,경남 창원의창구,-,아파트
5,경상남도 창원시 의창구 중동,790,0790,0000,창원중동유니시티1단지,72.8848,202212,29,"62,000",-,16,-,-,2019,중동로 34,-,중개거래,경남 창원의창구,-,아파트
6,경상남도 창원시 의창구 북면 감계리,225-1,0225,0001,창원감계힐스테이트4차,59.0283,202212,29,"23,000",-,23,-,-,2017,감계로 233,-,중개거래,경남 창원의창구,-,아파트
7,경상남도 창원시 의창구 중동,786,0786,0000,창원중동유니시티3단지,84.7886,202212,28,"69,000",-,35,-,-,2019,중동로 77,-,중개거래,경남 창원의창구,-,아파트
8,경상남도 창원시 의창구 팔용동,123-1,0123,0001,벽산블루밍A,59.9700,202212,28,"27,500",-,9,-,-,2000,반계로 104-9,-,중개거래,경남 창원의창구,-,아파트
9,경상남도 창원시 의창구 봉림동,715,0715,0000,엘에이치피닉스포레,84.9900,202212,27,"41,500",-,15,-,-,2011,대봉로 27,-,중개거래,경남 창원의창구,-,아파트
10,경상남도 창원시 의창구 도계동,322-3,0322,0003,강남훼미리,59.4000,202212,26,"14,200",-,7,-,-,1997,하남천서길21번길 8-14,-,중개거래,경남 창원의창구,-,아파트
11,경상남도 창원시 의창구 도계동,424-6,0424,0006,부강,75.9600,202212,26,"12,800",-,3,-,-,1990,태복산로3번길 28,-,중개거래,경남 창원의창구,-,아파트
12,경상남도 창원시 의창구 북면 무동리,123-1,0123,0001,휴먼빌1단지,84.9940,202212,24,"21,000",-,4,-,-,2013,동곡로 33,-,직거래,-,-,아파트
13,경상남도 창원시 의창구 북면 무동리,144-1,0144,0001,휴먼빌3단지,84.9870,202212,23,"23,500",-,4,-,-,2014,무동로226번길 19,-,중개거래,경남 창원의창구,-,아파트
14,경상남도 창원시 의창구 팔용동,124-2,0124,0002,대동중앙,59.9000,202212,22,"23,500",-,13,-,-,1993,반계로 101,-,중개거래,경남 창원의창구,-,아파트
15,경상남도 창원시 의창구 팔용동,35-1,0035,0001,힐스테이트아티움시티,84.8605,202212,22,"49,200",-,30,-,-,2020,창원대로397번길 11,-,중개거래,경남 창원성산구 경남 창원의창구,-,아파트
