NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,71.8860,202412,31,"17,000",-,21,개인,개인,2001,호원로 361-3,-,중개거래,경남 창원시 마산회원구,-,아파트
2,경상남도 창원시 마산회원구 양덕동,3-2,0003,0002,남아그린빌라,79.6200,202412,31,"11,000",-,8,개인,개인,1995,양덕동18길 46,-,직거래,-,-,아파트
3,경상남도 창원시 마산회원구 봉암동,277,0277,0000,봉암서광,59.3400,202412,28,"10,800",-,13,개인,개인,2000,봉양로 241,20241231,중개거래,경남 창원시 마산회원구,-,아파트
4,경상남도 창원시 마산회원구 봉암동,277,0277,0000,봉암서광,59.3400,202412,28,"10,800",-,13,개인,개인,2000,봉양로 241,-,중개거래,경남 창원시 마산회원구,-,아파트
5,경상남도 창원시 마산회원구 봉암동,277,0277,0000,봉암서광,59.3400,202412,28,"10,800",-,13,개인,개인,2000,봉양로 241,20241231,중개거래,경남 창원시 마산회원구,-,아파트
6,경상남도 창원시 마산회원구 합성동,144-5,0144,0005,고려맨션,69.7800,202412,26,"9,700",-,1,개인,개인,1986,합성옛길 324,-,중개거래,경남 창원시 마산회원구,-,아파트
7,경상남도 창원시 마산회원구 구암동,87,0087,0000,구암대동,59.9250,202412,26,"15,000",-,3,개인,개인,1998,구암남14길 18,-,중개거래,경남 창원시 마산회원구,-,아파트
8,경상남도 창원시 마산회원구 내서읍 호계리,10,0010,0000,코오롱하늘채1차아파트,59.9460,202412,26,"16,700",-,13,개인,개인,2001,호원로 361-3,-,중개거래,경남 창원시 마산회원구,-,아파트
9,경상남도 창원시 마산회원구 양덕동,84-14,0084,0014,메트로시티2단지,74.9440,202412,26,"50,500",-,9,개인,개인,2015,삼호로 80,-,중개거래,경남 창원시 마산회원구,-,아파트
10,경상남도 창원시 마산회원구 내서읍 삼계리,260,0260,0000,대동이미지2단지,59.9573,202412,26,"13,500",-,13,개인,개인,2003,광려로 29,-,중개거래,경남 창원시 마산회원구,-,아파트
