NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 성산구 대방동,358,0358,0000,대동,49.9400,202412,31,"18,000",-,3,개인,법인,1992,대정로 142,-,직거래,-,-,아파트
2,경상남도 창원시 성산구 성주동,101,0101,0000,프리빌리지,101.9708,202412,31,"46,000",-,1,개인,개인,2003,대암로 253,-,중개거래,경남 창원시 성산구,-,아파트
3,경상남도 창원시 성산구 성주동,101,0101,0000,프리빌리지,101.9708,202412,31,"46,000",-,1,개인,개인,2003,대암로 253,20241231,중개거래,경남 창원시 성산구,-,아파트
4,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,84.9200,202412,29,"34,000",-,14,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
5,경상남도 창원시 성산구 가음동,12,0012,0000,창원센텀푸르지오,59.9573,202412,28,"55,200",-,9,개인,개인,2018,가음정로 59,-,중개거래,경남 창원시 성산구,-,아파트
6,경상남도 창원시 성산구 남양동,20,0020,0000,성원1차,84.9700,202412,28,"26,700",-,15,개인,개인,1991,대정로 73,-,중개거래,경남 창원시 성산구,-,아파트
7,경상남도 창원시 성산구 남양동,23,0023,0000,위드파크아파트,53.8200,202412,27,"18,300",-,13,개인,개인,1998,가양로 99,-,중개거래,경남 창원시 성산구,-,아파트
8,경상남도 창원시 성산구 대방동,356,0356,0000,덕산타운1,59.9500,202412,26,"19,500",101,10,개인,개인,1992,대정로 131,-,중개거래,경남 창원시 성산구,24.12.26,아파트
9,경상남도 창원시 성산구 내동,454-9,0454,0009,내동주공1단지,49.4900,202412,26,"12,000",3,4,개인,개인,1976,삼동로128번길 60,-,직거래,-,24.12.26,아파트
10,경상남도 창원시 성산구 사파정동,1127,1127,0000,성산반도유보라아이비파크,78.9547,202412,26,"55,000",-,12,개인,개인,2022,비음로 191,-,중개거래,"경남 창원시 성산구, 경남 창원시 의창구",-,아파트
11,경상남도 창원시 성산구 가음동,15,0015,0000,창원더샵센트럴파크3단지,71.8621,202412,25,"53,900",-,3,개인,개인,2017,원이대로863번길 7,-,중개거래,경남 창원시 성산구,-,아파트
12,경상남도 창원시 성산구 사파동,93,0093,0000,동성,84.7100,202412,25,"29,000",-,25,개인,개인,1992,창이대로 737,20241225,중개거래,경남 거제시,-,아파트
13,경상남도 창원시 성산구 사파동,93,0093,0000,동성,84.7100,202412,25,"29,000",-,25,개인,개인,1992,창이대로 737,-,중개거래,경남 거제시,-,아파트
14,경상남도 창원시 성산구 대방동,374,0374,0000,대방동성,84.9700,202412,24,"27,000",-,1,개인,개인,1996,대암로 282,-,중개거래,"경남 김해시, 경남 창원시 성산구",-,아파트
15,경상남도 창원시 성산구 성주동,101,0101,0000,프리빌리지,84.8782,202412,24,"43,000",-,7,개인,개인,2003,대암로 253,-,중개거래,경남 창원시 성산구,-,아파트
16,경상남도 창원시 성산구 성주동,102,0102,0000,한림푸르지오,84.9384,202412,24,"44,000",103,13,개인,개인,2003,외리로34번길 13,-,중개거래,경남 창원시 성산구,24.12.30,아파트
17,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,59.3400,202412,24,"17,700",-,6,개인,개인,1992,대암로 82,-,중개거래,경남 창원시 성산구,-,아파트
18,경상남도 창원시 성산구 남양동,23,0023,0000,위드파크아파트,58.4510,202412,24,"21,500",402,4,개인,개인,1998,가양로 99,-,직거래,-,24.12.24,아파트
19,경상남도 창원시 성산구 외동,853-35,0853,0035,대동시티빌,84.9900,202412,23,"18,700",-,9,개인,개인,1997,창원대로780번길 47,-,중개거래,경남 창원시 성산구,-,아파트
20,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,108.5000,202412,23,"42,500",-,9,개인,개인,1994,원이대로 774,-,직거래,-,-,아파트
21,경상남도 창원시 성산구 사파동,142,0142,0000,대동,45.7200,202412,23,"23,800",-,4,개인,개인,1988,신사로 106,-,중개거래,경남 창원시 성산구,-,아파트
22,경상남도 창원시 성산구 반림동,10,0010,0000,노블파크,84.9500,202412,23,"63,000",-,16,개인,개인,2007,원이대로 449,-,중개거래,경남 창원시 성산구,-,아파트
23,경상남도 창원시 성산구 용호동,70,0070,0000,용지아이파크,127.3672,202412,23,"167,000",-,14,개인,개인,2017,원이대로579번길 13,-,중개거래,경남 창원시 성산구,-,아파트
24,경상남도 창원시 성산구 남양동,17,0017,0000,우성,83.4600,202412,23,"29,500",-,10,개인,개인,1989,대암로 22,-,중개거래,경남 창원시 성산구,-,아파트
25,경상남도 창원시 성산구 내동,454-1,0454,0001,목련,41.2200,202412,23,"8,750",-,5,개인,개인,1979,삼동로128번길 65,-,중개거래,경남 창원시 성산구,-,아파트
26,경상남도 창원시 성산구 사파정동,1127,1127,0000,성산반도유보라아이비파크,78.9547,202412,23,"53,500",-,8,개인,개인,2022,비음로 191,-,중개거래,경남 창원시 성산구,-,아파트
27,경상남도 창원시 성산구 상남동,44-1,0044,0001,대동,115.0320,202412,23,"49,800",-,6,개인,개인,1994,동산로 115,-,중개거래,경남 창원시 성산구,-,아파트
28,경상남도 창원시 성산구 대원동,81,0081,0000,대원파크빌,52.9200,202412,22,"12,250",-,10,개인,개인,1997,삼동로 121,-,중개거래,경남 창원시 성산구,-,아파트
29,경상남도 창원시 성산구 상남동,44-1,0044,0001,대동,84.9420,202412,22,"38,200",-,11,개인,개인,1994,동산로 115,-,중개거래,경남 창원시 성산구,-,아파트
30,경상남도 창원시 성산구 상남동,45-1,0045,0001,성원,59.9700,202412,21,"20,000",-,25,개인,개인,1994,원이대로 774,-,중개거래,경남 창원시 성산구,-,아파트
31,경상남도 창원시 성산구 반지동,23,0023,0000,대동그린파크,84.9500,202412,21,"29,000",-,10,개인,개인,1991,창원천로 292,-,중개거래,경남 창원시 성산구,-,아파트
32,경상남도 창원시 성산구 반림동,18,0018,0000,트리비앙,75.9800,202412,20,"54,700",210,12,개인,개인,2006,원이대로 495,-,중개거래,경남 창원시 성산구,24.12.20,아파트
33,경상남도 창원시 성산구 외동,853-16,0853,0016,월드메르디앙이스턴애비뉴,115.4394,202412,20,"33,300",-,4,개인,개인,2009,창원대로780번길 34,-,중개거래,경남 창원시 성산구,-,아파트
34,경상남도 창원시 성산구 남양동,1,0001,0000,동성,135.0800,202412,20,"36,300",-,13,개인,개인,1990,대암로 64,-,중개거래,경남 창원시 성산구,-,아파트
35,경상남도 창원시 성산구 대원동,40,0040,0000,포레나대원,59.0578,202412,20,"52,800",-,18,개인,개인,2018,창원천로 34,-,중개거래,경남 창원시 성산구,-,아파트
36,경상남도 창원시 성산구 대방동,355,0355,0000,성원남산3차,47.9700,202412,20,"12,000",-,18,개인,개인,1992,대암로 126,-,중개거래,"경남 창원시 마산회원구, 경남 창원시 성산구",-,아파트
