시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 대산면 가술리,387-26,0387,0026,한솔푸르네오,57.85,52.72,201608,6,"        14,000",4,2014,가술길1번길 19
경상남도 창원의창구 대산면 가술리,387-26,0387,0026,한솔푸르네오,57.85,52.72,201610,5,"        15,000",4,2014,가술길1번길 19
경상남도 창원의창구 대산면 가술리,387-26,0387,0026,한솔푸르네오,57.85,52.72,201611,16,"        11,000",2,2014,가술길1번길 19
경상남도 창원의창구 대산면 가술리,387-26,0387,0026,한솔푸르네오,57.37,52.28,201705,4,"        11,000",2,2014,가술길1번길 19
경상남도 창원의창구 대산면 제동리,334-7,0334,0007,제동별장빌라나동,66.3,78.13,201607,4,"         5,000",3,1992,제동길 47
경상남도 창원의창구 대산면 제동리,334-7,0334,0007,제동별장빌라나동,71.76,84.59,201702,27,"         6,000",3,1992,제동길 47
경상남도 창원의창구 대산면 제동리,270-3,0270,0003,하림빌라,77.67,80.45,201610,26,"         7,450",2,1990,진산대로355번길 16-17
경상남도 창원의창구 도계동,318-12,0318,0012,강남라이자빌라,61.9,35.14,201702,3,"        13,400",3,1992,도계두리길 108-9
경상남도 창원의창구 도계동,347-4,0347,0004,거부빌라,46.16,59.12,201607,8,"        10,000",5,1994,원이대로69번길 1
경상남도 창원의창구 도계동,303-1,0303,0001,금강난초빌라,35.41,19.73,201609,2,"         6,400",5,1997,도계두리길 16-8
경상남도 창원의창구 도계동,323-4,0323,0004,금강백합빌라,84.85,45.53,201612,12,"        15,700",5,1997,하남천서길15번길 6
경상남도 창원의창구 도계동,328-2,0328,0002,금강은화빌라,56.71,26.97,201608,23,"        12,550",5,1994,도계로 46
경상남도 창원의창구 도계동,360-3,0360,0003,금강초원빌라,82.18,167.02,201704,22,"        13,450",3,1994,하남천동길44번길 5-3
경상남도 창원의창구 도계동,360-3,0360,0003,금강초원빌라,82.18,41.36,201706,26,"        16,500",2,1994,하남천동길44번길 5-3
경상남도 창원의창구 도계동,321-3,0321,0003,남성빌라,101.4,57.53,201607,26,"        19,000",3,1992,하남천서길37번길 12
경상남도 창원의창구 도계동,394-1,0394,0001,담양빌라3,69.12,73.83,201706,20,"        11,700",5,1993,하남천동길16번길 3-32
경상남도 창원의창구 도계동,312-10,0312,0010,대도그린파크,51.23,45.67,201611,12,"        12,000",1,1997,하남천서길9번길 22-1
경상남도 창원의창구 도계동,415-3,0415,0003,더좋은집(원창),57.94,29.93,201706,3,"        12,000",3,1997,도계두리길 222
경상남도 창원의창구 도계동,316-7,0316,0007,동림빌라,66.63,98.73,201608,31,"        12,500",3,1995,하남천서길51번길 16
경상남도 창원의창구 도계동,316-7,0316,0007,동림빌라,66.63,98.73,201609,5,"        14,000",2,1995,하남천서길51번길 16
경상남도 창원의창구 도계동,308-7,0308,0007,동성빌라가동,76.6,44.54,201607,18,"        15,500",2,2002,도계두리길6번길 32
경상남도 창원의창구 도계동,323-5,0323,0005,동원빌라(323-5),56.52,31.68,201705,25,"        12,100",2,1994,하남천서길15번길 10
경상남도 창원의창구 도계동,321-11,0321,0011,동하초원빌라,50.83,33.6,201609,26,"        10,500",4,1997,하남천서길21번길 8-21
경상남도 창원의창구 도계동,396-2,0396,0002,리코그린빌라,47.91,34.83,201702,28,"        11,700",2,1993,도계로73번길 18
경상남도 창원의창구 도계동,322-5,0322,0005,리코프라자,75.09,27.88,201607,12,"        12,000",4,1990,하남천서길 23
경상남도 창원의창구 도계동,304-18,0304,0018,밀로캐슬파크(304-18),78.44,45.03,201703,16,"        15,000",4,2004,도계두리길6번길 8
경상남도 창원의창구 도계동,330-3,0330,0003,서원골드빌라,75.86,40.42,201706,8,"        13,000",2,2002,도계로12번길 7
경상남도 창원의창구 도계동,311-15,0311,0015,서원드림빌라,74.2628,51.07,201703,14,"        16,200",2,2001,하남천서길9번길 15
경상남도 창원의창구 도계동,417-5,0417,0005,서원래온빌5차,84.61,49.36,201705,16,"        28,800",4,2010,도계로 105
경상남도 창원의창구 도계동,335-19,0335,0019,서원리치빌,77,42.11,201607,5,"        18,300",4,2006,도계로8번길 19
경상남도 창원의창구 도계동,334-1,0334,0001,서원빌라,82.45,46.2,201610,29,"        23,800",3,2005,도계로8번길 12
경상남도 창원의창구 도계동,315-3,0315,0003,서원양지빌라,83.57,49.86,201702,17,"        15,000",3,1998,하남천서길9번길 32-5
경상남도 창원의창구 도계동,315-3,0315,0003,서원양지빌라,83.57,49.86,201704,26,"        16,800",3,1998,하남천서길9번길 32-5
경상남도 창원의창구 도계동,334-20,0334,0020,서원프리빌,76.09,42.03,201610,15,"        18,250",3,2005,도계로4번길 11
경상남도 창원의창구 도계동,348-3,0348,0003,성산빌라6차,62.46,30.72,201607,23,"        12,500",3,1993,원이대로55번길 12-22
경상남도 창원의창구 도계동,348-3,0348,0003,성산빌라6차,62.46,30.72,201609,24,"        14,000",3,1993,원이대로55번길 12-22
경상남도 창원의창구 도계동,344-1,0344,0001,성산빌라7차,57.19,26.12,201611,7,"        13,500",3,1994,도계로50번길 15
경상남도 창원의창구 도계동,314-1,0314,0001,성수빌라10차,64.74,32.42,201611,18,"        15,200",3,1996,도계두리길86번길 8
경상남도 창원의창구 도계동,352-4,0352,0004,성수빌라14차15차,67.93,75.11,201608,30,"        14,900",3,1997,도계로60번길 5-10
경상남도 창원의창구 도계동,311-8,0311,0008,성진비아트,43.15,35.19,201607,6,"         7,800",4,1994,하남천서길9번길 21
