시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 가포동,508-29,0508,0029,(508-29),44.42,31.8,201507,7,"         5,100",2,1990,가포로 176-19
경상남도 창원마산합포구 가포동,508-7,0508,0007,건우주택,48,53,201508,28,"         7,500",3,1985,가포로 170
경상남도 창원마산합포구 가포동,508-7,0508,0007,건우주택,48,53,201511,26,"         6,700",3,1985,가포로 170
경상남도 창원마산합포구 가포동,508-7,0508,0007,건우주택,46.11,50.9,201602,15,"         7,000",3,1985,가포로 170
경상남도 창원마산합포구 가포동,508-7,0508,0007,건우주택,48,53,201603,30,"         8,900",2,1985,가포로 170
경상남도 창원마산합포구 교방동,372-1,0372,0001,가원빌라,70.84,61.94,201602,19,"        15,000",5,2004,교방북1길 14-6
경상남도 창원마산합포구 교방동,185-7,0185,0007,교동국민주택,43.01,42.26,201508,3,"         6,200",2,1986,교방남1길 20
경상남도 창원마산합포구 교방동,185-7,0185,0007,교동국민주택,38.34,37.67,201508,12,"         7,500",3,1986,교방남1길 20
경상남도 창원마산합포구 교방동,360-3,0360,0003,교방빌라,63.22,48.13,201602,21,"        10,600",3,1987,회원남25길 9
경상남도 창원마산합포구 교방동,289-6,0289,0006,다보트윈빌101동,83.687,45.25,201512,13,"        16,000",4,2002,교방서2길 78
경상남도 창원마산합포구 교방동,289-16,0289,0016,다보트윈빌102동,80.53,54.23,201507,2,"        14,600",3,2002,교방서2길 78
경상남도 창원마산합포구 교방동,365-7,0365,0007,대하주택(국민),45.81,39.23,201510,15,"         7,800",2,1986,무학로 525
경상남도 창원마산합포구 교방동,359-4,0359,0004,동아,46.78,32.9,201605,23,"         8,700",3,1982,교방북2길 28
경상남도 창원마산합포구 교방동,360-1,0360,0001,동원아트빌라,80.415,35.62,201603,9,"        15,800",3,1992,교방북2길 18
경상남도 창원마산합포구 교방동,354-7,0354,0007,삼마빌라,59.87,62.17,201601,25,"        11,000",1,1983,무학로 527
경상남도 창원마산합포구 교방동,380-2,0380,0002,성호국민주택,45.9,37.08,201507,23,"         7,000",3,1985,교방동1길 10
경상남도 창원마산합포구 교방동,380-2,0380,0002,성호국민주택,45.67,37.08,201508,7,"         5,000",1,1985,교방동1길 10
경상남도 창원마산합포구 교방동,380-2,0380,0002,성호국민주택,45.9,37.08,201601,26,"         6,850",2,1985,교방동1길 10
경상남도 창원마산합포구 교방동,380-2,0380,0002,성호국민주택,45.9,37.08,201602,15,"         8,000",3,1985,교방동1길 10
경상남도 창원마산합포구 교방동,370-1,0370,0001,형제상가빌라,74.07,26.16,201509,22,"        15,000",3,1993,노산서18길 119
경상남도 창원마산합포구 교방동,373-4,0373,0004,화랑주택(국민),47.835,41.1,201508,31,"         8,400",1,1986,교방서2길 55
경상남도 창원마산합포구 교원동,3-5,0003,0005,무학상가아파트,58.76,7.4,201510,16,"         8,400",3,1979,회원천남길 128
경상남도 창원마산합포구 교원동,10-2,0010,0002,성심주택,68.13,43.1,201604,22,"        10,000",1,1992,노산서24길 32
경상남도 창원마산합포구 구산면 수정리,593-1,0593,0001,회신그린빌라,74.99,53.5,201606,16,"         8,000",2,1994,수정3길 11
경상남도 창원마산합포구 구산면 심리,477,0477,0000,별장,64.6,78.3,201507,7,"         4,000",2,1989,괭이바다길 229
경상남도 창원마산합포구 구산면 심리,477,0477,0000,별장,62.7,78.3,201507,7,"         4,000",2,1989,괭이바다길 229
경상남도 창원마산합포구 구산면 심리,477,0477,0000,별장,64.6,78.3,201606,14,"         4,000",2,1989,괭이바다길 229
경상남도 창원마산합포구 대외동,6-7,0006,0007,백제빌라,73.71,53.7,201507,1,"         9,300",3,1990,문화남3길 29
경상남도 창원마산합포구 문화동,8-1,0008,0001,동성아트빌라,130.92,74.86,201509,3,"        18,500",4,1994,문화북2길 13
경상남도 창원마산합포구 문화동,14-50,0014,0050,동원국민주택,47.7,48.16,201511,7,"         5,500",1,1983,문화서7길 28
경상남도 창원마산합포구 문화동,14-100,0014,0100,문화,59.83,60.04,201605,17,"         5,000",1,1981,문화서7길 22
경상남도 창원마산합포구 문화동,11-5,0011,0005,제일주택,61.68,57.17,201601,30,"         8,800",3,1986,문화북10길 16
경상남도 창원마산합포구 문화동,11-5,0011,0005,제일주택,72.27,66.68,201603,28,"         9,800",3,1986,문화북10길 16
경상남도 창원마산합포구 문화동,11-5,0011,0005,제일주택,58.23,54.28,201604,10,"         8,000",3,1986,문화북10길 16
경상남도 창원마산합포구 반월동,57-1,0057,0001,동명빌라,30.4,18.45,201508,6,"         4,100",4,1995,반월남1길 48
경상남도 창원마산합포구 반월동,57-1,0057,0001,동명빌라,30.4,18.45,201511,22,"         4,700",3,1995,반월남1길 48
경상남도 창원마산합포구 반월동,57-1,0057,0001,동명빌라,30.4,18.45,201603,24,"         4,900",2,1995,반월남1길 48
경상남도 창원마산합포구 반월동,57-1,0057,0001,동명빌라,30.4,18.45,201605,21,"         4,450",4,1995,반월남1길 48
경상남도 창원마산합포구 반월동,57-1,0057,0001,동명빌라,30.4,18.45,201606,24,"         4,850",4,1995,반월남1길 48
경상남도 창원마산합포구 산호동,31-57,0031,0057,(31-57),49.59,44.84,201508,22,"         6,000",2,1979,산호북14길 19-1
경상남도 창원마산합포구 산호동,31-57,0031,0057,(31-57),35.64,30.14,201510,1,"         5,300",1,1979,산호북14길 19-1
경상남도 창원마산합포구 산호동,563-1,0563,0001,산호파크빌라,188.12,129.13,201512,8,"        21,000",3,1995,합포북13길 33
경상남도 창원마산합포구 산호동,532-38,0532,0038,재민숲속빌,59.5965,53.14,201512,3,"        13,500",1,2008,산호남8길 90
경상남도 창원마산합포구 산호동,27-4,0027,0004,주택,47.37,36,201606,7,"         6,000",1,1979,용마로 68
경상남도 창원마산합포구 산호동,31-11,0031,0011,플러스빌,72.15,55.03,201512,15,"        16,300",2,2002,산호북14길 11
경상남도 창원마산합포구 산호동,46-34,0046,0034,행운빌A동,83.66,67.54,201601,23,"        19,500",1,2011,산호남6길 28
경상남도 창원마산합포구 산호동,532-33,0532,0033,화이트빌2,59.93,43.48,201605,10,"        12,700",4,2006,산호남8길 52
경상남도 창원마산합포구 상남동,42-3,0042,0003,(42-3),36.53,37,201507,20,"         5,800",2,1982,노산북4길 10
경상남도 창원마산합포구 상남동,42-3,0042,0003,(42-3),36.53,37,201605,21,"         4,750",2,1982,노산북4길 10
경상남도 창원마산합포구 상남동,41-5,0041,0005,예원시티빌,50.9642,40.28,201510,24,"        16,300",4,2012,상남시장로 11
경상남도 창원마산합포구 서성동,83-59,0083,0059,(83-59),54.7876,21.56,201606,20,"        16,500",5,2016,동서서1길 11-2
경상남도 창원마산합포구 서성동,83-59,0083,0059,(83-59),52.2628,20.65,201606,20,"        16,000",5,2016,동서서1길 11-2
경상남도 창원마산합포구 신월동,33-15,0033,0015,신우빌라,82.12,42.94,201603,14,"        11,350",4,1999,고운로 107
경상남도 창원마산합포구 신창동,18,0018,0000,평화,95.7,38.28,201508,24,"        12,700",3,1975,고운로 22
경상남도 창원마산합포구 신포동1가,63-3,0063,0003,(63-3),96.83,24.03,201602,5,"         8,400",5,1990,해안대로 296
경상남도 창원마산합포구 신흥동,2-12,0002,0012,상우다솜 비,74.76,55.88,201606,24,"        19,900",4,2012,중앙남5길 80
경상남도 창원마산합포구 신흥동,2-6,0002,0006,상우다솜씨,74.76,53.38,201603,1,"        19,000",2,2013,중앙남4길 79
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201507,29,"        20,400",3,2013,예곡길 33-14
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201507,29,"        20,400",1,2013,예곡길 33-14
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201507,29,"        20,400",2,2013,예곡길 33-14
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201507,29,"        20,400",1,2013,예곡길 33-14
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201507,29,"        20,400",2,2013,예곡길 33-14
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201509,1,"        20,600",2,2013,예곡길 33-14
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201509,1,"        20,700",3,2013,예곡길 33-14
