시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,283-27,0283,0027,(283-27),84.24,102.2,201802,7,"         9,500",2,1987,구암북4길 8-1
경상남도 창원마산회원구 구암동,283-27,0283,0027,(283-27),99.36,124.1,201802,7,"        11,000",1,1987,구암북4길 8-1
경상남도 창원마산회원구 구암동,1339-18,1339,0018,경상A,48.86,43.4,201707,30,"         8,000",2,1983,구암북12길 94
경상남도 창원마산회원구 구암동,1339-3,1339,0003,경상B,49.52,31.3,201806,8,"         5,100",3,1983,구암북12길 94
경상남도 창원마산회원구 구암동,273-1,0273,0001,대웅빌라A,48.01,26.75,201712,8,"         8,200",1,2000,구암북10길 53
경상남도 창원마산회원구 구암동,268-8,0268,0008,대지,49.05,47.92,201711,23,"         8,500",1,1983,구암북11길 3
경상남도 창원마산회원구 구암동,281-16,0281,0016,서암빌라,84.89,47.69,201710,11,"        14,000",4,1997,구암북4길 33
경상남도 창원마산회원구 구암동,22-6,0022,0006,성남,46.28,24.7,201710,20,"         8,700",1,1982,구암남6길 15
경상남도 창원마산회원구 구암동,22-6,0022,0006,성남,46.28,24.7,201804,13,"         9,500",3,1982,구암남6길 15
경상남도 창원마산회원구 구암동,285-6,0285,0006,성민베스트빌,77.2,39.79,201806,1,"        12,000",2,2003,구암북19길 8
경상남도 창원마산회원구 구암동,151-5,0151,0005,영진,80.52,60.26,201711,3,"        13,500",2,1990,구암동1길 5
경상남도 창원마산회원구 구암동,278-5,0278,0005,유성,47.54,38.93,201803,29,"         7,500",1,1981,구암북2길 18
경상남도 창원마산회원구 구암동,280-27,0280,0027,청암,36.3,34.45,201707,5,"         4,800",2,1979,구암북7길 13
경상남도 창원마산회원구 내서읍 삼계리,751-4,0751,0004,"T.S 휴먼빌라트 B,C동",84.69,100.25,201707,21,"        22,000",3,2016,삼계로 127-19
경상남도 창원마산회원구 내서읍 삼계리,751-4,0751,0004,"T.S 휴먼빌라트 B,C동",84.69,100.25,201802,14,"        22,000",2,2016,삼계로 127-19
경상남도 창원마산회원구 내서읍 삼계리,739-2,0739,0002,너울림3차,72.42,100.36,201802,10,"        15,850",2,2015,삼계로 150
경상남도 창원마산회원구 내서읍 삼계리,739-1,0739,0001,너울림빌라2차,81.535,107.9,201707,6,"        26,500",4,2014,삼계로 152
경상남도 창원마산회원구 내서읍 삼계리,739-1,0739,0001,너울림빌라2차,76.36,101.08,201805,25,"        15,300",1,2014,삼계로 152
경상남도 창원마산회원구 내서읍 삼계리,842,0842,0000,두정숲속애2차(3동),75.385,95.12,201802,27,"        12,900",3,2012,삼계숲길 169-2
경상남도 창원마산회원구 내서읍 삼계리,765-4,0765,0004,오션빌리지1동,72.9,85.63,201708,21,"        14,000",2,2012,삼계로 111
경상남도 창원마산회원구 내서읍 삼계리,765-4,0765,0004,오션빌리지1동,72.9,85.63,201712,27,"        13,000",2,2012,삼계로 111
경상남도 창원마산회원구 내서읍 삼계리,765,0765,0000,오션빌리지3동,72.9,81.5,201708,19,"        14,000",3,2012,삼계로 115
경상남도 창원마산회원구 내서읍 삼계리,766,0766,0000,위드필1,59.8497,75.58,201709,22,"        12,500",1,2013,삼계로 117
경상남도 창원마산회원구 내서읍 삼계리,766,0766,0000,위드필1,59.8497,75.58,201802,8,"        12,300",1,2013,삼계로 117
경상남도 창원마산회원구 내서읍 삼계리,766,0766,0000,위드필1,59.8497,75.58,201803,6,"         9,650",1,2013,삼계로 117
경상남도 창원마산회원구 내서읍 삼계리,766-1,0766,0001,위드필2,59.801,75.38,201709,22,"        12,500",1,2013,삼계로 117-1
경상남도 창원마산회원구 내서읍 삼계리,766-1,0766,0001,위드필2,59.801,75.38,201710,11,"        12,000",1,2013,삼계로 117-1
경상남도 창원마산회원구 내서읍 상곡리,156,0156,0000,동은빌,46.08,62.8,201802,13,"         8,000",3,2012,상곡로 93-7
경상남도 창원마산회원구 내서읍 상곡리,180-1,0180,0001,드림팰리스,83.79,80.37,201709,1,"        12,000",4,2007,상곡로 81
