시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 경화동,1146-26,1146,0026,(1146-26),56.3,45.8,201501,2,"         7,000",1,1980,충장로235번길 28-5
경상남도 창원진해구 경화동,1145-20,1145,0020,강남빌라,91.52,54.21,201501,12,"        13,000",4,1992,중초로29번길 6-1
경상남도 창원진해구 경화동,1171-1,1171,0001,건우,53.19,50,201504,6,"         7,700",1,1984,태백로 12
경상남도 창원진해구 경화동,1163-1,1163,0001,경동황토방빌라,37.51,17.33,201503,2,"         4,950",3,1998,중초로23번길 3-1
경상남도 창원진해구 경화동,1163-1,1163,0001,경동황토방빌라,66.85,30.89,201503,6,"         8,800",5,1998,중초로23번길 3-1
경상남도 창원진해구 경화동,1163-1,1163,0001,경동황토방빌라,37.51,17.33,201504,13,"         5,500",3,1998,중초로23번길 3-1
경상남도 창원진해구 경화동,1461,1461,0000,경화(1461),65.95,92,201503,17,"         6,700",1,1979,조천북로80번길 24-3
경상남도 창원진해구 경화동,1274-9,1274,0009,대성가동,40.76,45.84,201502,24,"         5,000",3,1982,조천로31번길 5
경상남도 창원진해구 경화동,1274-9,1274,0009,대성가동,48.6,45.88,201504,15,"         8,700",1,1982,조천로31번길 5
경상남도 창원진해구 경화동,1274-3,1274,0003,대운빌라,41.41,31.32,201503,20,"         8,000",4,2001,조천로17번길 7
경상남도 창원진해구 경화동,741,0741,0000,대풍타워빌라,70.98,38.61,201506,9,"         7,000",1,1993,경화로37번길 13
경상남도 창원진해구 경화동,1151-5,1151,0005,봉산하이츠빌라,80.04,36.79,201504,10,"         8,500",3,1994,충장로285번길 27-1
경상남도 창원진해구 경화동,744-4,0744,0004,성해상가,57.84,25.21,201503,19,"        11,500",3,1996,경화로37번길 2
경상남도 창원진해구 경화동,843,0843,0000,신우까치빌라,75.5683,64.58,201502,1,"        12,900",2,1999,조천북로 147
경상남도 창원진해구 경화동,843,0843,0000,신우까치빌라,75.5683,64.58,201506,17,"        12,600",4,1999,조천북로 147
경상남도 창원진해구 경화동,867-8,0867,0008,아신빌라가동,73.29,45.32,201503,16,"        12,400",3,1997,경화시장로45번길 17
경상남도 창원진해구 경화동,867-11,0867,0011,아신빌라나동,63.05,50.44,201503,23,"        10,450",3,1997,경화시장로45번길 15
경상남도 창원진해구 경화동,972-11,0972,0011,영신B,76.59,59,201503,24,"        12,550",3,1984,충장로 359
경상남도 창원진해구 경화동,1280-2,1280,0002,유일전원빌라106,84.65,65.11,201506,4,"        15,450",4,1995,조천북로98번길 10
경상남도 창원진해구 경화동,1280-4,1280,0004,유일전원빌라108,83.19,66.19,201505,20,"        15,000",2,1996,조천로31번길 11
경상남도 창원진해구 경화동,1127-9,1127,0009,유일하우스,37.86,19.5,201501,12,"         4,300",3,1992,진해대로583번길 8-4
경상남도 창원진해구 경화동,1127-9,1127,0009,유일하우스,37.86,19.5,201506,19,"         6,500",1,1992,진해대로583번길 8-4
경상남도 창원진해구 경화동,1495,1495,0000,유일하이츠빌라A,70.8,45.5,201501,4,"         8,300",1,1991,조천로7번길 24-5
경상남도 창원진해구 경화동,1495,1495,0000,유일하이츠빌라A,70.8,45.5,201506,15,"        12,500",2,1991,조천로7번길 24-5
경상남도 창원진해구 경화동,1168-2,1168,0002,장미,60.06,43,201504,3,"         8,600",2,1984,충장로285번길 6
경상남도 창원진해구 경화동,1168-2,1168,0002,장미,60.06,43,201504,28,"         8,600",1,1984,충장로285번길 6
경상남도 창원진해구 경화동,1473-1,1473,0001,조천빌라,62.64,39.31,201501,30,"         9,000",4,1996,조천로31번길 34
경상남도 창원진해구 경화동,1164-1,1164,0001,중부상가,50.84,6.6,201502,5,"         5,900",2,1980,중초로 20
경상남도 창원진해구 경화동,1164-1,1164,0001,중부상가,50.84,6.6,201505,4,"         4,400",3,1980,중초로 20
경상남도 창원진해구 경화동,1164-1,1164,0001,중부상가,50.84,6.6,201506,18,"         6,200",2,1980,중초로 20
경상남도 창원진해구 경화동,1171-2,1171,0002,중앙,53.29,53.3,201501,30,"         6,000",2,1981,충장로235번길 3-8
경상남도 창원진해구 경화동,1148-22,1148,0022,중초(1148-22),40.83,42.6,201502,23,"         3,300",2,1980,중초로23번길 10-8
경상남도 창원진해구 경화동,1172-22,1172,0022,진양A,64.95,67.67,201505,22,"        10,000",3,1984,충장로235번길 6-1
경상남도 창원진해구 경화동,1172-64,1172,0064,진양B,48.64,48.59,201503,31,"         5,550",3,1984,충장로235번길 6
경상남도 창원진해구 경화동,846-15,0846,0015,"창성(가,나)",47.52,43.51,201501,13,"         9,500",2,1986,조천북로146번길 3
경상남도 창원진해구 경화동,846-15,0846,0015,"창성(가,나)",47.52,43.51,201502,12,"         7,990",2,1986,조천북로146번길 3
경상남도 창원진해구 경화동,846-15,0846,0015,"창성(가,나)",45,41.47,201506,12,"         6,700",3,1986,조천북로146번길 3
경상남도 창원진해구 경화동,846-15,0846,0015,"창성(가,나)",48.69,44.46,201506,22,"         4,500",4,1986,조천북로146번길 3
경상남도 창원진해구 경화동,846-15,0846,0015,"창성(가,나)",48.06,48.84,201506,25,"         7,200",4,1986,조천북로146번길 3
경상남도 창원진해구 경화동,848-7,0848,0007,창성(다),54.72,48.17,201503,9,"         6,900",3,1986,조천북로146번길 9-8
경상남도 창원진해구 경화동,1155-7,1155,0007,태백,65.64,54.7,201504,21,"         8,000",1,1983,태백로 27
경상남도 창원진해구 경화동,1508-1,1508,0001,혜성빌라(1508-1),58.35,38.7,201504,17,"         4,800",2,1990,조천로7번길 34
경상남도 창원진해구 경화동,838,0838,0000,혜성빌라(838),74.63,77.1,201503,27,"         7,000",3,1990,조천북로154번길 7-1
경상남도 창원진해구 광화동,1-12,0001,0012,광화빌라,83.655,34.3,201501,6,"        12,500",2,1987,중원로 49
경상남도 창원진해구 근화동,7-1,0007,0001,근화빌라,98.24,106.47,201505,30,"        15,000",2,1993,태평로7번길 9
경상남도 창원진해구 근화동,23-3,0023,0003,보문빌딩,58.8,19.22,201501,6,"         8,800",6,1995,백구로 13
경상남도 창원진해구 근화동,23-3,0023,0003,보문빌딩,58.8,19.22,201503,2,"         8,500",5,1995,백구로 13
경상남도 창원진해구 대영동,9,0009,0000,대영연립나동,46.54,41.6,201503,2,"         2,400",1,1990,태평로34번길 36-1
