NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산합포구 반월동,57-1,0057,0001,동명빌라,30.4000,18.4500,202012,30,"3,500",4,-,-,1995,반월남1길 48,-,-,-,-,다세대
2,경상남도 창원시 마산합포구 교방동,365-5,0365,0005,무학파크뷰,64.9600,43.0381,202012,28,"16,000",2,-,-,2016,회원서10길 109-1,-,-,-,-,다세대
3,경상남도 창원시 마산합포구 교방동,365-1,0365,0001,럭키하이츠빌라,76.4400,35.8000,202012,24,"8,600",1,-,-,1991,회원서10길 109,-,-,-,-,연립
4,경상남도 창원시 마산합포구 월영동,33-2,0033,0002,테라스더힐,86.5294,79.3525,202012,15,"45,000",2,-,-,2020,무학로 212,-,-,-,-,연립
5,경상남도 창원시 마산합포구 산호동,15-22,0015,0022,성심빌라,64.1100,40.7500,202012,14,"9,000",2,-,-,1995,산호북11길 54,-,-,-,-,다세대
6,경상남도 창원시 마산합포구 문화동,12-3,0012,0003,대주빌라맨션,152.1800,166.6700,202012,11,"35,000",3,-,-,1989,고운로 51-1,-,-,-,-,연립
7,경상남도 창원시 마산합포구 월영동,614-24,0614,0024,해동빌라,73.6000,42.4490,202012,08,"11,000",2,-,-,2002,월영남12길 39,-,-,-,-,연립
8,경상남도 창원시 마산합포구 반월동,85-5,0085,0005,신흥프라자,91.3400,27.2965,202012,07,"12,500",3,-,-,1995,반월남1길 12,-,-,-,-,연립
9,경상남도 창원시 마산합포구 중성동,16-8,0016,0008,중석뉴타운,83.5700,42.8250,202012,04,"14,000",4,-,-,2014,오동서16길 23,-,-,-,-,연립
10,경상남도 창원시 마산합포구 산호동,46-34,0046,0034,행운빌A동,83.6600,67.5422,202012,03,"17,500",2,-,-,2011,산호남6길 28,-,-,-,-,다세대
11,경상남도 창원시 마산합포구 산호동,243-18,0243,0018,조은빌라,49.1700,35.7865,202011,23,"8,000",3,-,-,2014,산호남8길 100,-,-,-,-,다세대
12,경상남도 창원시 마산합포구 반월동,57-1,0057,0001,동명빌라,30.4000,18.4500,202011,19,"5,000",3,-,-,1995,반월남1길 48,-,-,-,-,다세대
13,경상남도 창원시 마산합포구 교방동,373-3,0373,0003,3.2맨션B동,61.8000,56.1900,202011,18,"5,100",1,-,-,1984,노산서18길 97,-,-,-,-,연립
14,경상남도 창원시 마산합포구 진동면 고현리,127-1,0127,0001,고현빌라(나동),75.9800,67.6250,202011,17,"6,000",3,-,-,1997,고현새동네길 9,-,-,-,-,다세대
15,경상남도 창원시 마산합포구 반월동,85-5,0085,0005,신흥프라자,82.6900,24.7115,202011,10,"5,800",6,-,-,1995,반월남1길 12,-,-,-,-,연립
16,경상남도 창원시 마산합포구 반월동,57-1,0057,0001,동명빌라,30.4000,18.4500,202011,10,"4,200",3,-,-,1995,반월남1길 48,-,-,-,-,연립다세대
17,경상남도 창원시 마산합포구 해운동,64-1,0064,0001,동방그랜드타운,22.6500,6.3900,202011,06,"4,450",5,-,-,1998,해안대로 25,-,-,-,-,연립
18,경상남도 창원시 마산합포구 문화동,8-1,0008,0001,동성아트빌라,136.4700,78.0320,202010,31,"13,000",3,-,-,1994,문화북2길 13,-,-,-,-,연립
19,경상남도 창원시 마산합포구 중앙동3가,2-3,0002,0003,경남데파트,78.1100,30.5500,202010,28,"8,500",5,-,-,1983,3·15대로 255,-,-,-,-,연립다세대
20,경상남도 창원시 마산합포구 구산면 심리,477,0477,0000,별장,62.7000,78.3000,202010,26,"6,200",2,-,-,1989,괭이바다길 229,-,-,-,-,다세대
21,경상남도 창원시 마산합포구 문화동,9-14,0009,0014,문화빌라,164.3600,145.9778,202010,22,"12,500",3,-,-,1988,고운로 58,-,-,-,-,연립
22,경상남도 창원시 마산합포구 월영동,602-8,0602,0008,부성상가빌라,52.1600,25.5300,202010,19,"5,000",3,-,-,1997,밤밭고개로 401,-,-,-,-,연립
23,경상남도 창원시 마산합포구 진북면 지산리,81-8,0081,0008,지산빌라,61.2900,66.0000,202010,09,"3,000",1,-,-,1990,지산4길 45,-,-,-,-,연립
24,경상남도 창원시 마산합포구 구산면 심리,477,0477,0000,별장,62.7000,78.3000,202010,06,"4,000",1,-,-,1989,괭이바다길 229,-,-,-,-,연립
25,경상남도 창원시 마산합포구 구산면 심리,477,0477,0000,별장,62.7000,78.3000,202010,06,"4,000",1,-,-,1989,괭이바다길 229,20201103,-,-,-,연립
26,경상남도 창원시 마산합포구 완월동,217-7,0217,0007,완월빌라,82.9400,48.6560,202010,05,"9,000",5,-,-,2005,고운로 181,-,-,-,-,다세대
27,경상남도 창원시 마산합포구 완월동,284-7,0284,0007,태화가든타운,130.9500,75.9800,202009,30,"20,000",2,-,-,1991,장군천로 8,-,-,-,-,연립
28,경상남도 창원시 마산합포구 교방동,184-13,0184,0013,성호맨션,71.6000,50.5723,202009,17,"7,000",1,-,-,1984,천하장사로 16,-,-,-,-,연립
29,경상남도 창원시 마산합포구 문화동,12-3,0012,0003,대주빌라맨션,152.1800,166.6700,202008,27,"34,000",3,-,-,1989,고운로 51-1,-,-,-,-,연립
30,경상남도 창원시 마산합포구 교방동,289-16,0289,0016,다보트윈빌102동,80.9150,54.4910,202008,18,"9,500",3,-,-,2002,교방서2길 78,-,-,-,-,다세대
31,경상남도 창원시 마산합포구 교방동,183-9,0183,0009,태우,54.9000,49.4200,202008,04,"5,300",2,-,-,1985,교방남1길 10,20200824,-,-,-,연립
32,경상남도 창원시 마산합포구 월영동,602-8,0602,0008,부성상가빌라,52.1600,25.5300,202007,25,"4,600",5,-,-,1997,밤밭고개로 401,-,-,-,-,연립
