NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산회원구 회성동,466-25,0466,0025,회성(466-25),33.6000,13.5556,202012,28,"2,500",2,-,-,1982,회성남20길 13-1,-,-,-,-,연립
2,경상남도 창원시 마산회원구 회원동,668-8,0668,0008,삼성,49.4500,41.0875,202012,28,"6,600",3,-,-,1982,회원북24길 42,-,-,-,-,연립
3,경상남도 창원시 마산회원구 봉암동,194,0194,0000,82주택,46.0700,50.6400,202012,28,"4,350",3,-,-,1982,무역로 271,-,-,-,-,연립
4,경상남도 창원시 마산회원구 양덕동,73-3,0073,0003,(73-3),44.4300,43.6740,202012,24,"9,300",1,-,-,1981,산호천서길 165,-,-,-,-,연립
5,경상남도 창원시 마산회원구 회원동,644-1,0644,0001,78화란주택49동,63.4200,53.0000,202012,24,"5,000",2,-,-,1979,회원서3길 13,-,-,-,-,연립
6,경상남도 창원시 마산회원구 양덕동,73-3,0073,0003,(73-3),44.4300,43.6740,202012,22,"8,500",1,-,-,1981,양덕서6길 22,-,-,-,-,연립
7,경상남도 창원시 마산회원구 회성동,578,0578,0000,퀀텀로제,68.7783,51.8255,202012,09,"15,200",2,-,-,2017,회성남20길 47,-,-,-,-,연립
8,경상남도 창원시 마산회원구 회원동,645-11,0645,0011,78화란주택56동,64.5100,54.0500,202012,09,"6,600",1,-,-,1980,회원서3길 17-1,-,-,-,-,연립
9,경상남도 창원시 마산회원구 회성동,578,0578,0000,퀀텀로제,84.7916,64.0429,202012,09,"18,200",1,-,-,2017,회성남20길 47,-,-,-,-,연립
10,경상남도 창원시 마산회원구 구암동,22-6,0022,0006,성남,46.2800,24.7000,202012,08,"8,800",3,-,-,1982,구암남6길 15,-,-,-,-,연립
11,경상남도 창원시 마산회원구 회성동,459-10,0459,0010,82회성국민주택(신광),42.9100,46.0583,202012,03,"2,300",2,-,-,1982,회성남17길 14,-,-,-,-,연립
12,경상남도 창원시 마산회원구 회성동,578,0578,0000,퀀텀로제,84.9895,64.0565,202012,03,"18,200",1,-,-,2017,회성남20길 47,-,-,-,-,연립
13,경상남도 창원시 마산회원구 양덕동,73-3,0073,0003,(73-3),44.4300,43.6740,202012,02,"9,300",1,-,-,1981,양덕서6길 22,-,-,-,-,연립
14,경상남도 창원시 마산회원구 내서읍 삼계리,341-10,0341,0010,삼계위드필타운하우스3단지,70.8353,120.0417,202012,02,"13,000",2,-,-,2015,광려로 78-85,-,-,-,-,연립
15,경상남도 창원시 마산회원구 회성동,459-10,0459,0010,82회성국민주택(신광),42.9100,46.0583,202011,30,"3,500",1,-,-,1982,회성남17길 14,-,-,-,-,연립
16,경상남도 창원시 마산회원구 회원동,640-3,0640,0003,78화란주택27동,70.7200,59.2500,202011,30,"5,000",2,-,-,1980,회원서2길 21,-,-,-,-,연립
17,경상남도 창원시 마산회원구 회성동,469-28,0469,0028,(469-28),40.8900,44.1000,202011,30,"3,200",2,-,-,1980,회성동4길 12,-,-,-,-,연립
18,경상남도 창원시 마산회원구 봉암동,457-14,0457,0014,봉암동봉황,48.0300,40.4000,202011,27,"2,100",1,-,-,1980,봉암북2길 29-3,-,-,-,-,다세대
19,경상남도 창원시 마산회원구 회원동,248-1,0248,0001,"향기나라창(가동,나동)",67.1700,52.1300,202011,26,"17,000",2,-,-,2012,무학로 677,-,-,-,-,다세대
20,경상남도 창원시 마산회원구 합성동,67-10,0067,0010,(67-10),30.4400,23.0685,202011,24,"5,000",1,-,-,1978,합포성지길 50,-,-,-,-,연립
21,경상남도 창원시 마산회원구 내서읍 삼계리,739-2,0739,0002,너울림3차,72.4200,98.1475,202011,24,"15,600",3,-,-,2015,삼계로 150,-,-,-,-,다세대
22,경상남도 창원시 마산회원구 양덕동,73-3,0073,0003,(73-3),44.4300,43.6740,202011,21,"8,500",2,-,-,1981,양덕서6길 22,-,-,-,-,연립
23,경상남도 창원시 마산회원구 내서읍 상곡리,145,0145,0000,수신파크빌,62.8800,43.7229,202011,20,"10,500",3,-,-,2012,상곡로 91,-,-,-,-,다세대
24,경상남도 창원시 마산회원구 구암동,266-2,0266,0002,낙원빌라,76.2900,45.3625,202011,18,"7,000",2,-,-,1993,구암북14길 36,-,-,-,-,다세대
25,경상남도 창원시 마산회원구 석전동,226-2,0226,0002,통합상가,47.4700,3.3000,202011,12,"5,900",4,-,-,1980,석전동15길 23,-,-,-,-,연립
26,경상남도 창원시 마산회원구 봉암동,454-30,0454,0030,경동빌라,41.8800,26.3500,202011,12,"5,000",4,-,-,1997,봉암북3길 37,-,-,-,-,연립
27,경상남도 창원시 마산회원구 내서읍 삼계리,531,0531,0000,e조은집,74.5300,60.8800,202011,11,"10,000",2,-,-,2012,삼계본동2길 10,-,-,-,-,다세대
28,경상남도 창원시 마산회원구 석전동,194-27,0194,0027,화원주택,64.2000,71.7350,202011,11,"6,050",2,-,-,1981,석전서6길 133,-,-,-,-,연립
29,경상남도 창원시 마산회원구 회원동,667-2,0667,0002,거북,41.1900,44.8800,202011,09,"7,000",1,-,-,1981,회원북24길 61,-,-,-,-,연립
30,경상남도 창원시 마산회원구 회원동,667-2,0667,0002,거북,41.1900,44.8800,202011,09,"8,500",1,-,-,1981,회원북24길 61,20201110,-,-,-,연립
31,경상남도 창원시 마산회원구 내서읍 원계리,520,0520,0000,유강빌리지2,63.5378,87.2500,202011,04,"12,000",2,-,-,2015,원계증산길 43,-,-,-,-,다세대
32,경상남도 창원시 마산회원구 구암동,80-8,0080,0008,성경주택,50.1600,52.9700,202011,02,"5,000",2,-,-,1987,구암남5길 80,-,-,-,-,연립다세대
33,경상남도 창원시 마산회원구 회원동,640-1,0640,0001,78화란주택1동,39.6700,60.2250,202010,30,"4,800",2,-,-,1980,회원서2길 25,-,-,-,-,연립
34,경상남도 창원시 마산회원구 내서읍 삼계리,341-6,0341,0006,삼계위드필타운하우스5단지,70.8353,103.3520,202010,30,"12,500",1,-,-,2015,광려로 78-115,-,-,-,-,연립
35,경상남도 창원시 마산회원구 구암동,29-4,0029,0004,구암,75.5800,62.8979,202010,28,"11,500",1,-,-,1979,구암남6길 41,20201117,-,-,-,다세대
36,경상남도 창원시 마산회원구 구암동,29-4,0029,0004,구암,75.5800,62.8979,202010,28,"11,500",1,-,-,1979,구암남6길 41,-,-,-,-,연립
37,경상남도 창원시 마산회원구 내서읍 삼계리,341-6,0341,0006,삼계위드필타운하우스5단지,70.8353,103.3520,202010,26,"12,500",2,-,-,2015,광려로 78-115,-,-,-,-,연립
38,경상남도 창원시 마산회원구 회원동,30-56,0030,0056,(30-56),44.4600,41.4375,202010,20,"4,900",2,-,-,1979,북성로 154-1,-,-,-,-,연립
39,경상남도 창원시 마산회원구 내서읍 삼계리,739-1,0739,0001,너울림빌라2차,81.5350,105.6627,202010,13,"22,500",4,-,-,2014,삼계로 152,-,-,-,-,연립
40,경상남도 창원시 마산회원구 회성동,229-8,0229,0008,배성,45.5100,25.2500,202010,12,"5,000",3,-,-,1992,회성북6길 47,-,-,-,-,다세대
41,경상남도 창원시 마산회원구 석전동,170-2,0170,0002,대우(170-2),60.6300,50.3100,202010,08,"6,700",3,-,-,1983,석전북7길 32,-,-,-,-,연립
42,경상남도 창원시 마산회원구 회원동,49-14,0049,0014,대림빌라맨숀,84.6900,72.5600,202010,06,"14,800",1,-,-,1985,회원동15길 6,-,-,-,-,연립
43,경상남도 창원시 마산회원구 회성동,459-10,0459,0010,82회성국민주택(신광),42.9100,46.0583,202010,06,"5,500",1,-,-,1982,회성남17길 14,-,-,-,-,연립
44,경상남도 창원시 마산회원구 석전동,258-11,0258,0011,서광,77.6400,40.0300,202009,29,"9,500",2,-,-,1985,석전동6길 49,-,-,-,-,연립
45,경상남도 창원시 마산회원구 회원동,409-3,0409,0003,금광아일린,66.4374,34.6300,202009,26,"15,800",3,-,-,2016,회원동서로 8,-,-,-,-,연립
46,경상남도 창원시 마산회원구 구암동,1034-3,1034,0003,송백챔프빌라,73.1400,41.3750,202009,25,"10,000",5,-,-,2000,구암동1길 134,-,-,-,-,다세대
47,경상남도 창원시 마산회원구 회성동,442-28,0442,0028,삼성주택,48.2600,40.3000,202009,21,"5,800",3,-,-,1982,회성남5길 20,-,-,-,-,연립
48,경상남도 창원시 마산회원구 회원동,643-7,0643,0007,무학AB,49.9800,50.4750,202009,21,"3,100",1,-,-,1981,회원남33길 37,-,-,-,-,연립
49,경상남도 창원시 마산회원구 석전동,175-2,0175,0002,한진맨션,56.9600,32.8880,202009,09,"5,900",2,-,-,1997,석전북7길 43,-,-,-,-,다세대
50,경상남도 창원시 마산회원구 회원동,657-8,0657,0008,신우빌라(3차),120.8700,78.4900,202009,01,"15,000",2,-,-,1997,회원남33길 12,-,-,-,-,연립다세대
51,경상남도 창원시 마산회원구 내서읍 원계리,520,0520,0000,유강빌리지2,63.5378,87.2500,202008,29,"10,500",2,-,-,2015,원계증산길 43,20201029,-,-,-,다세대
52,경상남도 창원시 마산회원구 석전동,281-1,0281,0001,하이아트빌2차,71.1100,37.6277,202008,25,"8,000",3,-,-,2004,석전서8길 91,-,-,-,-,다세대
53,경상남도 창원시 마산회원구 회원동,409-3,0409,0003,금광아일린,66.4374,34.6300,202008,20,"16,500",2,-,-,2016,회원동서로 8,-,-,-,-,연립
54,경상남도 창원시 마산회원구 내서읍 중리,1451-48,1451,0048,의창국민주택,55.9800,52.6833,202008,15,"5,800",1,-,-,1985,광려천서로 149,-,-,-,-,연립
55,경상남도 창원시 마산회원구 양덕동,73-3,0073,0003,(73-3),44.4300,43.6740,202008,12,"8,000",2,-,-,1981,양덕서6길 22,-,-,-,-,연립
56,경상남도 창원시 마산회원구 회원동,248-3,0248,0003,배성빌라,63.1400,39.5200,202008,04,"8,500",4,-,-,1997,회원서1길 50-4,-,-,-,-,다세대
57,경상남도 창원시 마산회원구 구암동,275-3,0275,0003,대광빌라,74.3500,41.3500,202008,04,"10,000",2,-,-,1991,구암북9길 39,-,-,-,-,다세대
58,경상남도 창원시 마산회원구 합성동,134-7,0134,0007,(134-7),25.8300,13.6700,202007,30,"2,000",2,-,-,2003,합성옛길 319,-,-,-,-,다세대
59,경상남도 창원시 마산회원구 합성동,129-13,0129,0013,세종,48.4700,27.0500,202007,27,"6,300",3,-,-,1981,합성서1길 153,-,-,-,-,연립다세대
60,경상남도 창원시 마산회원구 회원동,497-15,0497,0015,새한3,33.4200,26.8800,202007,23,"11,140",2,-,-,1980,회원남20길 32,-,-,-,-,연립다세대
61,경상남도 창원시 마산회원구 구암동,27-14,0027,0014,한효A,59.0150,49.5667,202007,07,"11,200",1,-,-,1983,구암남7길 18,20200806,-,-,-,연립
62,경상남도 창원시 마산회원구 합성동,72-12,0072,0012,동원,59.2000,60.7310,202007,07,"7,000",1,-,-,1983,합성북15길 65,-,-,-,-,연립
63,경상남도 창원시 마산회원구 봉암동,456-5,0456,0005,봉암동팔용,50.3800,44.3200,202007,07,"7,000",1,-,-,1981,봉암북3길 8,-,-,-,-,다세대
64,경상남도 창원시 마산회원구 회원동,480-31,0480,0031,금강목화,72.1800,52.6800,202007,06,"14,415",2,-,-,1997,회원남14길 56-1,-,-,-,-,다세대
65,경상남도 창원시 마산회원구 봉암동,452-9,0452,0009,봉암동무궁화,53.2900,53.7700,202007,05,"4,800",2,-,-,1980,봉암북7길 50,-,-,-,-,연립
