NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 성산구 내동,456-17,0456,0017,내동상가,46.9400,37.9000,202012,10,"7,900",2,-,-,1976,창원대로 726,-,-,-,-,연립다세대
2,경상남도 창원시 성산구 안민동,53,0053,0000,안민빌라,75.3400,37.2700,202012,05,"7,000",4,-,-,1999,안민안길 43,-,-,-,-,다세대
3,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202012,05,"47,000",4,-,-,2013,삼정자로 78,-,-,-,-,연립
4,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202012,03,"45,000",2,-,-,2013,삼정자로 78,-,-,-,-,연립
5,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,21,"47,900",4,-,-,2013,삼정자로 78,-,-,-,-,연립
6,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,100.4100,129.5711,202011,15,"54,500",2,-,-,2013,삼정자로 78,-,-,-,-,연립
7,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,14,"41,700",2,-,-,2013,삼정자로 78,-,-,-,-,연립
8,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,14,"43,900",4,-,-,2013,삼정자로 78,-,-,-,-,연립
9,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,12,"48,000",4,-,-,2013,삼정자로 78,-,-,-,-,연립
10,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,12,"42,900",2,-,-,2013,삼정자로 78,-,-,-,-,연립
11,경상남도 창원시 성산구 내동,456-17,0456,0017,내동상가,41.3200,32.8000,202011,12,"4,800",3,-,-,1976,창원대로 726,-,-,-,-,연립다세대
12,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,11,"50,000",1,-,-,2013,삼정자로 78,-,-,-,-,연립
13,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,07,"43,000",4,-,-,2013,삼정자로 78,-,-,-,-,연립
14,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,06,"43,500",4,-,-,2013,삼정자로 78,-,-,-,-,연립
15,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,04,"41,500",2,-,-,2013,삼정자로 78,-,-,-,-,연립
16,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,03,"38,000",2,-,-,2013,삼정자로 78,-,-,-,-,연립
17,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,03,"40,000",1,-,-,2013,삼정자로 78,-,-,-,-,연립
18,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202011,03,"46,000",1,-,-,2013,삼정자로 78,-,-,-,-,연립
19,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202010,31,"45,400",1,-,-,2013,삼정자로 78,-,-,-,-,연립
20,경상남도 창원시 성산구 내동,456-17,0456,0017,내동상가,46.9400,37.9000,202010,31,"7,250",4,-,-,1976,창원대로 726,-,-,-,-,연립다세대
21,경상남도 창원시 성산구 성주동,169,0169,0000,성주중앙블루아템,84.7600,142.9095,202010,29,"47,000",2,-,-,2015,삼정자로72번길 99,-,-,-,-,연립
22,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202010,22,"39,000",3,-,-,2013,삼정자로 78,-,-,-,-,연립다세대
23,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.2500,108.7179,202010,21,"38,000",2,-,-,2013,삼정자로 78,-,-,-,-,연립
24,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202010,19,"41,900",1,-,-,2013,삼정자로 78,-,-,-,-,연립
25,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202010,17,"42,200",4,-,-,2013,삼정자로 78,-,-,-,-,연립다세대
26,경상남도 창원시 성산구 내동,456-17,0456,0017,내동상가,46.9400,37.9000,202010,11,"6,500",3,-,-,1976,창원대로 726,-,-,-,-,연립다세대
27,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202009,30,"38,000",2,-,-,2013,삼정자로 78,-,-,-,-,연립
28,경상남도 창원시 성산구 성주동,143,0143,0000,루이젠하우스,176.5200,238.5895,202009,22,"84,000",4,-,-,2008,창원대로1137번길 18,-,-,-,-,연립
29,경상남도 창원시 성산구 성주동,157,0157,0000,효성해링턴코트,84.8800,109.5309,202009,16,"39,000",1,-,-,2013,삼정자로 78,-,-,-,-,연립
