NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산합포구 교방동,382-30,0382,0030,대남그린빌B동,84.7500,55.3000,202412,09,"13,500",2,개인,개인,2003,교방동2길 9,-,중개거래,경남 창원시 마산합포구,-,다세대
2,경상남도 창원시 마산합포구 산호동,269-8,0269,0008,아진파크빌,70.4100,31.1316,202411,29,"8,700",5,개인,개인,2003,합포북13길 90,-,직거래,-,24.11.29,다세대
3,경상남도 창원시 마산합포구 월영동,33-2,0033,0002,테라스더힐,84.1350,42.6992,202411,08,"38,000",3,개인,개인,2020,무학로 212,-,중개거래,경남 창원시 마산합포구,-,다세대
4,경상남도 창원시 마산합포구 진동면 진동리,126-9,0126,0009,선우3차,68.5900,53.2875,202410,28,"9,000",5,개인,개인,2012,신성산로 6-21,-,중개거래,경남 창원시 마산합포구,24.11.07,다세대
5,경상남도 창원시 마산합포구 진동면 진동리,128-2,0128,0002,선우하이츠,74.2500,52.6625,202410,26,"10,000",2,개인,개인,2011,신성산1길 12-5,-,직거래,-,24.10.31,다세대
6,경상남도 창원시 마산합포구 완월동,284-7,0284,0007,태화가든타운,130.9500,75.9800,202410,14,"16,000",2,개인,개인,1991,장군천로 8,-,중개거래,경남 창원시 마산합포구,24.11.27,연립
7,경상남도 창원시 마산합포구 진동면 진동리,128-2,0128,0002,선우하이츠,74.2500,52.6625,202410,04,"9,850",3,개인,개인,2011,신성산1길 12-5,-,중개거래,경남 창원시 마산합포구,24.11.14,다세대
8,경상남도 창원시 마산합포구 산호동,31-11,0031,0011,플러스빌,72.1500,55.0250,202410,03,"16,200",2,개인,개인,2002,산호북14길 11,-,중개거래,경남 창원시 마산합포구,24.10.31,다세대
9,경상남도 창원시 마산합포구 월영동,620-5,0620,0005,형제빌라,36.9600,41.8900,202409,19,"4,000",2,개인,개인,1999,월영서10길 14,-,직거래,-,24.09.19,다세대
10,경상남도 창원시 마산합포구 장군동4가,26-12,0026,0012,청원그린빌라B,71.5800,33.5000,202409,10,"10,500",2,개인,개인,2002,완월동15길 13,-,중개거래,경남 창원시 마산합포구,24.10.30,다세대
