NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 마산회원구 석전동,252-29,0252,0029,보광주택,56.7300,47.4600,202412,19,"7,500",3,개인,개인,1986,석전동1길 17,-,중개거래,경남 창원시 마산회원구,-,연립
2,경상남도 창원시 마산회원구 양덕동,158-7,0158,0007,타코마,54.9400,42.0250,202412,12,"8,100",1,개인,개인,1976,양덕로 65,-,중개거래,경남 창원시 마산회원구,-,연립
3,경상남도 창원시 마산회원구 봉암동,452-18,0452,0018,봉덕상가빌라,72.5950,44.6000,202412,09,"7,100",3,개인,개인,1986,봉암북5길 29,-,직거래,-,-,연립
4,경상남도 창원시 마산회원구 회성동,527,0527,0000,파크캐슬,55.4528,63.1291,202412,07,"16,500",4,개인,개인,2014,회성남20길 40,-,중개거래,경남 창원시 마산회원구,-,연립
5,경상남도 창원시 마산회원구 양덕동,55-20,0055,0020,(55-20),57.6500,21.0500,202412,06,"3,000",2,개인,개인,1976,양덕로 102,-,중개거래,경남 창원시 의창구,-,다세대
6,경상남도 창원시 마산회원구 내서읍 원계리,643,0643,0000,유강빌리지103동,65.6430,65.6250,202412,04,"8,000",4,개인,개인,2013,원계증산길 70-17,-,중개거래,경남 창원시 마산회원구,24.12.16,다세대
7,경상남도 창원시 마산회원구 회원동,31-8,0031,0008,대양빌라(가동),78.1650,63.4800,202411,30,"8,400",2,개인,개인,1984,회원동15길 32,-,중개거래,경남 창원시 마산회원구,-,연립
8,경상남도 창원시 마산회원구 회성동,578,0578,0000,퀀텀로제,84.9895,64.0565,202411,26,"11,351",3,개인,법인,2017,회성남20길 47,-,직거래,-,-,연립
9,경상남도 창원시 마산회원구 내서읍 원계리,520,0520,0000,유강빌리지2,63.5378,87.2500,202411,22,"11,600",3,개인,개인,2015,원계증산길 43,-,중개거래,경남 창원시 마산회원구,-,다세대
10,경상남도 창원시 마산회원구 내서읍 삼계리,341-6,0341,0006,삼계위드필타운하우스5단지,70.8353,103.3520,202411,09,"12,500",3,개인,개인,2015,광려로 78-115,-,중개거래,경남 창원시 마산회원구,24.12.26,연립
11,경상남도 창원시 마산회원구 내서읍 삼계리,326-1,0326,0001,라임하우스(326-1),59.9600,59.6900,202411,07,"9,400",4,개인,개인,2013,광려로 72,-,중개거래,경남 창원시 마산회원구,-,연립
12,경상남도 창원시 마산회원구 석전동,225-21,0225,0021,무진드림빌딩,38.0700,10.2330,202411,02,"3,000",4,개인,개인,2002,석전동17길 3,-,중개거래,경남 창원시 마산회원구,24.11.27,연립
13,경상남도 창원시 마산회원구 봉암동,454-30,0454,0030,경동빌라,65.4300,41.1700,202410,28,"7,000",2,개인,개인,1997,봉암북3길 37,-,직거래,-,24.10.30,연립
14,경상남도 창원시 마산회원구 석전동,278-12,0278,0012,성진나,42.9000,45.9400,202410,22,"5,000",3,개인,개인,1982,석전서9길 13-1,-,직거래,-,24.10.24,연립
15,경상남도 창원시 마산회원구 회원동,668-2,0668,0002,청호,41.1200,35.1900,202410,22,"6,600",1,개인,개인,1981,회원북26길 45,-,직거래,-,24.10.23,연립
16,경상남도 창원시 마산회원구 합성동,602-6,0602,0006,웰하우스,40.9986,45.3027,202410,21,"8,500",2,개인,개인,2013,금강로 90,-,직거래,-,24.10.22,다세대
17,경상남도 창원시 마산회원구 회원동,641-32,0641,0032,78화란주택53동,39.6700,48.4750,202410,20,"4,000",2,개인,개인,1979,회원서2길 7-29,-,중개거래,경남 창원시 마산회원구,24.10.24,연립
18,경상남도 창원시 마산회원구 봉암동,194,0194,0000,82주택,52.1500,56.9600,202410,18,"6,000",1,개인,개인,1982,무역로 271,-,직거래,-,24.10.22,연립
19,경상남도 창원시 마산회원구 회원동,666-11,0666,0011,국희,43.6900,41.2000,202410,17,"5,950",1,개인,개인,1982,회원북24길 43,-,중개거래,경남 창원시 마산회원구,24.10.22,연립
20,경상남도 창원시 마산회원구 내서읍 삼계리,341-15,0341,0015,삼계위드필타운하우스1단지,70.8353,94.0415,202410,12,"12,000",2,개인,개인,2015,광려로 78-51,-,중개거래,경남 창원시 마산회원구,24.10.28,다세대
21,경상남도 창원시 마산회원구 회원동,637-15,0637,0015,한솔빌리지,79.3350,51.8375,202410,11,"15,700",4,개인,개인,2014,회원북13길 142,-,중개거래,경남 창원시 마산합포구,24.12.18,연립
22,경상남도 창원시 마산회원구 구암동,1338-7,1338,0007,성창빌라,66.9300,49.8000,202410,06,"12,000",2,개인,개인,1997,구암북18길 47,-,중개거래,경남 창원시 의창구,-,다세대
23,경상남도 창원시 마산회원구 회원동,666-11,0666,0011,국희,43.6900,41.2000,202410,03,"5,950",1,개인,개인,1982,회원북24길 43,20241017,중개거래,경남 창원시 마산회원구,-,연립
24,경상남도 창원시 마산회원구 내서읍 삼계리,341-14,0341,0014,삼계위드필타운하우스2단지,70.8353,92.6250,202410,01,"13,000",2,개인,개인,2015,광려로 78-73,20241112,중개거래,경남 창원시 마산회원구,-,연립
25,경상남도 창원시 마산회원구 내서읍 삼계리,341-14,0341,0014,삼계위드필타운하우스2단지,70.8353,92.6250,202410,01,"12,950",2,개인,개인,2015,광려로 78-73,-,중개거래,경남 창원시 마산회원구,24.11.12,연립
26,경상남도 창원시 마산회원구 내서읍 삼계리,341-14,0341,0014,삼계위드필타운하우스2단지,70.8353,92.6250,202410,01,"13,000",2,개인,개인,2015,광려로 78-73,20241111,중개거래,경남 창원시 마산회원구,-,연립
27,경상남도 창원시 마산회원구 합성동,602-102,0602,0102,대암빌라B동,80.3200,40.8824,202409,29,"11,200",1,개인,개인,2002,합성북9길 2,-,중개거래,경남 창원시 마산회원구,24.10.25,다세대
28,경상남도 창원시 마산회원구 석전동,250-8,0250,0008,(250-8),36.5600,131.2000,202409,26,"4,000",2,개인,개인,1979,석전동3길 17-2,-,직거래,-,24.10.02,연립
29,경상남도 창원시 마산회원구 석전동,238-3,0238,0003,(238-3),53.9500,31.7308,202409,25,"6,000",2,개인,개인,1980,석전동8길 53,-,중개거래,경남 창원시 마산회원구,24.09.25,다세대
30,경상남도 창원시 마산회원구 구암동,27-4,0027,0004,새한,37.7500,36.4000,202409,25,"6,000",1,개인,개인,1980,구암남6길 20,-,직거래,-,24.09.25,연립
31,경상남도 창원시 마산회원구 양덕동,62-17,0062,0017,중앙국민주택,43.2900,36.4760,202409,24,"5,670",2,개인,개인,1986,양덕남5길 16,-,중개거래,경남 창원시 마산회원구,24.10.18,연립
32,경상남도 창원시 마산회원구 구암동,988,0988,0000,금복빌라,84.3900,62.2300,202408,25,"9,000",4,개인,개인,2002,구암동1길 107,-,중개거래,경남 창원시 의창구,24.10.02,연립
33,경상남도 창원시 마산회원구 회원동,49-14,0049,0014,대림빌라맨숀,83.9700,72.7000,202408,24,"15,800",1,개인,개인,1985,회원동15길 6,-,중개거래,경남 창원시 마산회원구,24.11.08,연립
34,경상남도 창원시 마산회원구 석전동,278-12,0278,0012,성진나,42.9000,45.9400,202408,21,"4,000",1,개인,개인,1982,석전서9길 13-1,-,직거래,-,24.08.22,연립
35,경상남도 창원시 마산회원구 구암동,280-13,0280,0013,진흥,53.7800,35.1790,202408,17,"8,200",1,개인,개인,1999,구암북7길 23-1,-,중개거래,경남 창원시 마산회원구,24.09.05,다세대
36,경상남도 창원시 마산회원구 구암동,22-1,0022,0001,삼진,36.6300,33.2000,202408,15,"7,100",2,개인,개인,1979,구암남3길 16,-,중개거래,경남 창원시 마산회원구,24.09.19,연립
37,경상남도 창원시 마산회원구 내서읍 삼계리,341-10,0341,0010,삼계위드필타운하우스3단지,70.8353,120.0417,202408,13,"13,000",3,개인,개인,2015,광려로 78-85,-,중개거래,경남 창원시 마산회원구,24.10.10,연립
38,경상남도 창원시 마산회원구 회원동,248-1,0248,0001,"향기나라창(가동,나동)",78.5200,60.9300,202408,09,"15,000",4,개인,개인,2012,무학로 677,-,중개거래,경남 창원시 마산회원구,24.08.16,연립다세대
39,경상남도 창원시 마산회원구 회원동,633-3,0633,0003,봉화빌라맨션,79.2000,64.2400,202408,08,"8,700",3,개인,개인,1985,무학로 628,-,중개거래,경남 창원시 마산합포구,24.09.25,연립
