NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
1,경상남도 창원시 의창구 동읍 용정리,150-6,0150,0006,헬리체자여,72.4093,56.9499,202412,23,"13,000",4,개인,개인,2018,자여로112번길 21,-,중개거래,경남 창원시 의창구,24.12.27,연립
2,경상남도 창원시 의창구 도계동,331-5,0331,0005,성신데파트,82.3500,30.2100,202412,11,"15,000",4,개인,개인,1992,도계로8번길 1,-,중개거래,경남 창원시 의창구,-,연립다세대
3,경상남도 창원시 의창구 도계동,308-16,0308,0016,동성빌라나동,76.6000,44.5400,202412,06,"15,100",3,개인,개인,2002,도계두리길6번길 34,-,중개거래,경남 창원시 의창구,-,연립다세대
4,경상남도 창원시 의창구 북면 신촌리,879-1,0879,0001,올라빌,71.4433,74.1700,202412,06,"8,100",4,개인,개인,2013,신리길30번길 20,-,중개거래,경남 창원시 성산구,-,연립
5,경상남도 창원시 의창구 서상동,319,0319,0000,백합맨션,63.5400,55.0413,202411,28,"9,500",2,개인,개인,1984,천주로12번길 14-1,-,중개거래,경남 창원시 의창구,24.12.20,연립
6,경상남도 창원시 의창구 동읍 송정리,23-27,0023,0027,송정빌라,88.4529,55.6963,202411,18,"10,000",3,개인,개인,2016,자여로93번길 24,-,중개거래,경남 창원시 의창구,24.12.19,다세대
7,경상남도 창원시 의창구 소계동,720-3,0720,0003,뜨라페,63.9900,48.2274,202411,17,"12,000",2,개인,법인,2016,소계로 131-9,-,중개거래,경남 창원시 의창구,24.11.26,다세대
8,경상남도 창원시 의창구 북동,2-3,0002,0003,성원큐브타운D동,83.9550,67.1950,202411,16,"17,500",2,개인,개인,2015,천주로36번길 44,-,중개거래,경남 창원시 의창구,-,다세대
9,경상남도 창원시 의창구 소답동,120-1,0120,0001,소답시장,55.6200,28.9700,202411,01,"5,500",3,개인,개인,1986,읍성로 70,-,중개거래,경남 창원시 의창구,24.11.14,연립
10,경상남도 창원시 의창구 동읍 용잠리,233-10,0233,0010,춘광파크맨션(233-10),56.1600,23.7400,202411,01,"4,300",4,개인,개인,1991,용잠로41번길 17-5,-,중개거래,경남 김해시,24.11.05,다세대
